"line","lyric","element","element_artist"
1,"It feels like a perfect night","Verse 1","Taylor Swift"
2,"To dress up like hipsters","Verse 1","Taylor Swift"
3,"And make fun of our exes, uh-uh, uh-uh","Verse 1","Taylor Swift"
4,"It feels like a perfect night","Verse 1","Taylor Swift"
5,"For breakfast at midnight","Verse 1","Taylor Swift"
6,"To fall in love with strangers, uh-uh, uh-uh","Verse 1","Taylor Swift"
7,"Yeah","Pre-Chorus","Taylor Swift"
8,"We're happy, free, confused, and lonely at the same time","Pre-Chorus","Taylor Swift"
9,"It's miserable and magical, oh, yeah","Pre-Chorus","Taylor Swift"
10,"Tonight's the night when we forget about the deadlines","Pre-Chorus","Taylor Swift"
11,"It's time, oh-oh","Pre-Chorus","Taylor Swift"
12,"I don't know about you, but I'm feeling 22","Chorus","Taylor Swift"
13,"Everything will be alright if you keep me next to you","Chorus","Taylor Swift"
14,"You don't know about me, but I'll bet you want to","Chorus","Taylor Swift"
15,"Everything will be alright if we just keep dancing like we're","Chorus","Taylor Swift"
16,"22, 22","Chorus","Taylor Swift"
17,"It seems like one of those nights","Verse 2","Taylor Swift"
18,"This place is too crowded","Verse 2","Taylor Swift"
19,"Too many cool kids, uh-uh, uh-uh","Verse 2","Taylor Swift"
20,"(Who's Taylor Swift, anyway? Ew)","Verse 2","Taylor Swift"
21,"It seems like one of those nights","Verse 2","Taylor Swift"
22,"We ditch the whole scene","Verse 2","Taylor Swift"
23,"And end up dreaming","Verse 2","Taylor Swift"
24,"Instead of sleeping","Verse 2","Taylor Swift"
25,"Yeah","Pre-Chorus","Taylor Swift"
26,"We're happy, free, confused, and lonely in the best way","Pre-Chorus","Taylor Swift"
27,"It's miserable and magical, oh, yeah","Pre-Chorus","Taylor Swift"
28,"Tonight's the night when we forget about the heartbreaks","Pre-Chorus","Taylor Swift"
29,"It's time, oh-oh","Pre-Chorus","Taylor Swift"
30,"(Hey!)","Chorus","Taylor Swift"
31,"I don't know about you, but I'm feeling 22","Chorus","Taylor Swift"
32,"Everything will be alright (Ooh) if you keep me next to you","Chorus","Taylor Swift"
33,"You don't know about me, but I'll bet you want to","Chorus","Taylor Swift"
34,"Everything will be alright if (Alright)","Chorus","Taylor Swift"
35,"We just keep dancing like we're 22 (Oh, oh, oh, oh, oh)","Chorus","Taylor Swift"
36,"22 (I don't know about you)","Chorus","Taylor Swift"
37,"22, 22","Chorus","Taylor Swift"
38,"It feels like one of those nights","Bridge","Taylor Swift"
39,"We ditch the whole scene","Bridge","Taylor Swift"
40,"It feels like one of those nights","Bridge","Taylor Swift"
41,"We won't be sleeping","Bridge","Taylor Swift"
42,"It feels like one of those nights","Bridge","Taylor Swift"
43,"You look like bad news","Bridge","Taylor Swift"
44,"I gotta have you","Bridge","Taylor Swift"
45,"I gotta have you","Bridge","Taylor Swift"
46,"Ooh, ooh, yeah","Bridge","Taylor Swift"
47,"(Hey!)","Chorus","Taylor Swift"
48,"I don't know about you, but I'm feeling 22","Chorus","Taylor Swift"
49,"Everything will be alright if (Ooh) you keep me next to you","Chorus","Taylor Swift"
50,"You don't know about me, but I'll bet you want to","Chorus","Taylor Swift"
51,"Everything will be alright if we just keep dancing like we're","Chorus","Taylor Swift"
52,"22 (Whoa, oh)","Chorus","Taylor Swift"
53,"22 (Dancing like)","Chorus","Taylor Swift"
54,"22 (Yeah, yeah), 22, (Yeah, yeah, yeah)","Chorus","Taylor Swift"
55,"It feels like one of those nights","Outro","Taylor Swift"
56,"We ditch the whole scene","Outro","Taylor Swift"
57,"It feels like one of those nights","Outro","Taylor Swift"
58,"We won't be sleeping","Outro","Taylor Swift"
59,"It feels like one of those nights","Outro","Taylor Swift"
60,"You look like bad news","Outro","Taylor Swift"
61,"I gotta have you","Outro","Taylor Swift"
62,"I gotta have you","Outro","Taylor Swift"
