"line","lyric","element","element_artist"
1,"I walked through the door with you, the air was cold","Intro","Taylor Swift"
2,"But something 'bout it felt like home somehow","Intro","Taylor Swift"
3,"And I left my scarf there at your sister's house","Intro","Taylor Swift"
4,"And you've still got it in your drawer, even now","Intro","Taylor Swift"
5,"Oh, your sweet disposition and my wide-eyed gaze","Verse 1","Taylor Swift"
6,"We're singing in the car, getting lost upstate","Verse 1","Taylor Swift"
7,"Autumn leaves falling down like pieces into place","Verse 1","Taylor Swift"
8,"And I can picture it after all these days","Verse 1","Taylor Swift"
9,"And I know it's long gone and","Pre-Chorus","Taylor Swift"
10,"That magic's not here no more","Pre-Chorus","Taylor Swift"
11,"And I might be okay, but I'm not fine at all","Pre-Chorus","Taylor Swift"
12,"Oh, oh, oh","Pre-Chorus","Taylor Swift"
13,"'Cause there we are again on that little town street","Chorus","Taylor Swift"
14,"You almost ran the red 'cause you were lookin' over at me","Chorus","Taylor Swift"
15,"Wind in my hair, I was there","Chorus","Taylor Swift"
16,"I remember it all too well","Chorus","Taylor Swift"
17,"Photo album on the counter, your cheeks were turning red","Verse 2","Taylor Swift"
18,"You used to be a little kid with glasses in a twin-sized bed","Verse 2","Taylor Swift"
19,"And your mother's telling stories 'bout you on the tee-ball team","Verse 2","Taylor Swift"
20,"You tell me 'bout your past, thinking your future was me","Verse 2","Taylor Swift"
21,"And I know it's long gone and","Pre-Chorus","Taylor Swift"
22,"There was nothing else I could do","Pre-Chorus","Taylor Swift"
23,"And I forget about you long enough","Pre-Chorus","Taylor Swift"
24,"To forget why I needed to","Pre-Chorus","Taylor Swift"
25,"'Cause there we are again in the middle of the night","Chorus","Taylor Swift"
26,"We're dancing 'round the kitchen in the refrigerator light","Chorus","Taylor Swift"
27,"Down the stairs, I was there","Chorus","Taylor Swift"
28,"I remember it all too well, yeah","Chorus","Taylor Swift"
29,"Maybe we got lost in translation","Bridge","Taylor Swift"
30,"Maybe I asked for too much","Bridge","Taylor Swift"
31,"But maybe this thing was a masterpiece","Bridge","Taylor Swift"
32,"'Til you tore it all up","Bridge","Taylor Swift"
33,"Running scared, I was there","Bridge","Taylor Swift"
34,"I remember it all too well","Bridge","Taylor Swift"
35,"And you call me up again","Bridge","Taylor Swift"
36,"Just to break me like a promise","Bridge","Taylor Swift"
37,"So casually cruel in the name of being honest","Bridge","Taylor Swift"
38,"I'm a crumpled up piece of paper lying here","Bridge","Taylor Swift"
39,"'Cause I remember it all, all, all","Bridge","Taylor Swift"
40,"Too well","Bridge","Taylor Swift"
41,"Time won't fly, it's like I'm paralyzed by it","Verse 3","Taylor Swift"
42,"I'd like to be my old self again, but I'm still trying to find it","Verse 3","Taylor Swift"
43,"After plaid shirt days and nights when you made me your own","Verse 3","Taylor Swift"
44,"Now you mail back my things and I walk home alone","Verse 3","Taylor Swift"
45,"But you keep my old scarf from that very first week","Verse 3","Taylor Swift"
46,"'Cause it reminds you of innocence and it smells like me","Verse 3","Taylor Swift"
47,"You can't get rid of it","Verse 3","Taylor Swift"
48,"'Cause you remember it all too well, yeah","Verse 3","Taylor Swift"
49,"'Cause there we are again when I loved you so","Chorus","Taylor Swift"
50,"Back before you lost the one real thing you've ever known","Chorus","Taylor Swift"
51,"It was rare, I was there","Chorus","Taylor Swift"
52,"I remember it all too well","Chorus","Taylor Swift"
53,"Wind in my hair, you were there","Outro","Taylor Swift"
54,"You remember it all","Outro","Taylor Swift"
55,"Down the stairs, you were there","Outro","Taylor Swift"
56,"You remember it all","Outro","Taylor Swift"
57,"It was rare, I was there","Outro","Taylor Swift"
58,"I remember it all too well","Outro","Taylor Swift"
