"line","lyric","element","element_artist"
1,"What a shame","Verse 1","Taylor Swift"
2,"Didn't wanna be the one that got away, yeah","Verse 1","Taylor Swift"
3,"Big mistake, broke the sweetest promise","Verse 1","Taylor Swift"
4,"That you never should have made","Verse 1","Taylor Swift"
5,"I'm here on the kitchen floor","Pre-Chorus","Taylor Swift"
6,"You call, but I won't hear it","Pre-Chorus","Taylor Swift"
7,"You said ""No one else,"" how could you do this, babe?","Pre-Chorus","Taylor Swift"
8,"You really blew this, babe","Chorus","Taylor Swift"
9,"We ain't gettin' through this one, babe","Chorus","Taylor Swift"
10,"This is the last time I'll ever call you, babe","Chorus","Taylor Swift"
11,"This is the last time, this is the last time","Chorus","Taylor Swift"
12,"This is the last time, I'll ever call you ""babe""","Chorus","Taylor Swift"
13,"What a waste","Verse 2","Taylor Swift"
14,"Takin' down the pictures and the plans we made, yeah","Verse 2","Taylor Swift"
15,"And it's strange how your face doesn't look so innocent","Verse 2","Taylor Swift"
16,"Your secret has its consequence and that's on you, babe","Verse 2","Taylor Swift"
17,"I break down every time you call","Pre-Chorus","Taylor Swift"
18,"We're a wreck, you're the wreckin' ball","Pre-Chorus","Taylor Swift"
19,"We said, ""No one else"", how could you do this, babe?","Pre-Chorus","Taylor Swift"
20,"You really blew this, babe","Chorus","Taylor Swift"
21,"We ain't gettin' through this one, babe","Chorus","Taylor Swift"
22,"This is the last time I'll ever call you, babe","Chorus","Taylor Swift"
23,"This is the last time, this is the last time","Chorus","Taylor Swift"
24,"This is the last time","Chorus","Taylor Swift"
25,"Since you admitted it (oh), I keep picturin' (oh)","Bridge","Taylor Swift"
26,"Her lips on your neck (oh), I can't unsee it (oh)","Bridge","Taylor Swift"
27,"I hate that because of you (oh), I can't love you, babe","Bridge","Taylor Swift"
28,"What a shame, didn't want to be the one that got away","Bridge","Taylor Swift"
29,"How could you do this, babe?","Bridge","Taylor Swift"
30,"You really blew this, babe","Chorus","Taylor Swift"
31,"We ain't gettin' through this one, babe","Chorus","Taylor Swift"
32,"How could you do this, babe?","Chorus","Taylor Swift"
33,"This is the last time, this is the last time","Chorus","Taylor Swift"
34,"This is the last time I'll ever call you, babe","Chorus","Taylor Swift"
35,"How could you do this, babe?","Outro","Taylor Swift"
36,"I'm here on the kitchen floor, you call but I won't hear it","Outro","Taylor Swift"
37,"You said ""No one else,"" we ain't gettin' through this one, babe","Outro","Taylor Swift"
38,"I break down every time you call, this is the last time","Outro","Taylor Swift"
39,"We're a wreck, you're the wreckin' ball","Outro","Taylor Swift"
40,"This is the last time","Outro","Taylor Swift"
41,"You said ""No one else""","Outro","Taylor Swift"
42,"This is the last time I'll ever call you ""babe""","Outro","Taylor Swift"
