"line","lyric","element","element_artist"
1,"I'm so glad you made time to see me","Verse 1","Taylor Swift"
2,"How's life? Tell me, how's your family?","Verse 1","Taylor Swift"
3,"I haven't seen them in a while","Verse 1","Taylor Swift"
4,"You've been good, busier than ever","Verse 1","Taylor Swift"
5,"We small talk, work and the weather","Verse 1","Taylor Swift"
6,"Your guard is up and I know why","Verse 1","Taylor Swift"
7,"Because the last time you saw me","Pre-Chorus","Taylor Swift"
8,"Is still burned in the back of your mind","Pre-Chorus","Taylor Swift"
9,"You gave me roses, and I left them there to die","Pre-Chorus","Taylor Swift"
10,"So this is me swallowing my pride","Chorus","Taylor Swift"
11,"Standing in front of you, saying I'm sorry for that night","Chorus","Taylor Swift"
12,"And I go back to December all the time","Chorus","Taylor Swift"
13,"It turns out freedom ain't nothing but missing you","Chorus","Taylor Swift"
14,"Wishing I'd realized what I had when you were mine","Chorus","Taylor Swift"
15,"I'd go back to December, turn around and make it alright","Chorus","Taylor Swift"
16,"I go back to December all the time","Chorus","Taylor Swift"
17,"These days, I haven't been sleeping","Verse 2","Taylor Swift"
18,"Staying up, playing back myself leaving","Verse 2","Taylor Swift"
19,"When your birthday passed and I didn't call","Verse 2","Taylor Swift"
20,"And I think about summer, all the beautiful times","Verse 2","Taylor Swift"
21,"I watched you laughing from the passenger side and","Verse 2","Taylor Swift"
22,"Realized I loved you in the fall","Verse 2","Taylor Swift"
23,"And then the cold came","Pre-Chorus","Taylor Swift"
24,"The dark days when fear crept into my mind","Pre-Chorus","Taylor Swift"
25,"You gave me all your love, and all I gave you was goodbye","Pre-Chorus","Taylor Swift"
26,"So this is me swallowing my pride","Chorus","Taylor Swift"
27,"Standing in front of you, saying I'm sorry for that night","Chorus","Taylor Swift"
28,"And I go back to December all the time","Chorus","Taylor Swift"
29,"It turns out freedom ain't nothing but missing you","Chorus","Taylor Swift"
30,"Wishing I'd realized what I had when you were mine","Chorus","Taylor Swift"
31,"I'd go back to December, turn around and change my own mind","Chorus","Taylor Swift"
32,"I go back to December all the time","Chorus","Taylor Swift"
33,"I miss your tan skin, your sweet smile","Bridge","Taylor Swift"
34,"So good to me, so right","Bridge","Taylor Swift"
35,"And how you held me in your arms that September night","Bridge","Taylor Swift"
36,"The first time you ever saw me cry","Bridge","Taylor Swift"
37,"Maybe this is wishful thinking","Bridge","Taylor Swift"
38,"Probably mindless dreaming","Bridge","Taylor Swift"
39,"But if we loved again, I swear I'd love you right","Bridge","Taylor Swift"
40,"I'd go back in time and change it, but I can't","Bridge","Taylor Swift"
41,"So if the chain is on your door, I understand","Bridge","Taylor Swift"
42,"But this is me swallowing my pride","Chorus","Taylor Swift"
43,"Standing in front of you, saying I'm sorry for that night","Chorus","Taylor Swift"
44,"And I go back to December","Chorus","Taylor Swift"
45,"It turns out freedom ain't nothing but missing you","Chorus","Taylor Swift"
46,"Wishing I'd realized what I had when you were mine","Chorus","Taylor Swift"
47,"I'd go back to December, turn around and make it alright","Chorus","Taylor Swift"
48,"I'd go back to December, turn around and change my own mind","Chorus","Taylor Swift"
49,"I go back to December all the time","Chorus","Taylor Swift"
50,"All the time","Chorus","Taylor Swift"
