"line","lyric","element","element_artist"
1,"'Cause, baby, now we've got bad blood","Intro","Taylor Swift"
2,"You know it used to be mad love (Uh)","Intro","Taylor Swift"
3,"So take a look what you've done (Uh)","Intro","Taylor Swift"
4,"'Cause, baby, now we've got bad blood (Uh), hey! (Hey!)","Intro","Taylor Swift"
5,"I can't take it back, look where I'm at (Uh)","Verse 1","Taylor Swift"
6,"We was OG like D.O.C., remember that? (Remember that?)","Verse 1","Taylor Swift"
7,"My TLC was quite OD, ID my facts (ID my)","Verse 1","Taylor Swift"
8,"Now POV of you and me, similar Iraq","Verse 1","Taylor Swift"
9,"I don't hate you, but I hate to critique, overrate you","Verse 1","Taylor Swift"
10,"These beats of a dark heart, use basslines to replace you","Verse 1","Taylor Swift"
11,"Take time and erase you, love don't hear no more","Verse 1","Taylor Swift"
12,"No, I don't fear no more","Verse 1","Taylor Swift"
13,"Better yet, respect ain't quite sincere no more, ah!","Verse 1","Taylor Swift"
14,"Oh, it's so sad to","Pre-Chorus","Taylor Swift"
15,"Think about the good times","Pre-Chorus","Taylor Swift"
16,"You and I","Pre-Chorus","Taylor Swift"
17,"'Cause, baby, now we've got bad blood","Chorus","Taylor Swift"
18,"You know it used to be mad love","Chorus","Taylor Swift"
19,"So take a look what you've done","Chorus","Taylor Swift"
20,"'Cause, baby, now we've got bad blood, hey!","Chorus","Taylor Swift"
21,"Now we've got problems","Chorus","Taylor Swift"
22,"And I don't think we can solve 'em (Uh)","Chorus","Taylor Swift"
23,"You made a really deep cut (Uh)","Chorus","Taylor Swift"
24,"And, baby, now we've got bad blood, hey! (Hey!)","Chorus","Taylor Swift"
25,"Remember when you tried to write me off? (Uh-huh)","Verse 2","Taylor Swift"
26,"Remember when you thought I'd take a loss?","Verse 2","Taylor Swift"
27,"Don't you remember? You thought that I would need ya","Verse 2","Taylor Swift"
28,"Follow procedure, remember? Oh, wait, you got amnesia","Verse 2","Taylor Swift"
29,"It was my season for battle wounds","Verse 2","Taylor Swift"
30,"Battle scars, body bumped, bruised","Verse 2","Taylor Swift"
31,"Stabbed in the back; brimstone, fire jumping through","Verse 2","Taylor Swift"
32,"Still, all my life, I got money and power","Verse 2","Taylor Swift"
33,"And you gotta live with the bad blood now","Verse 2","Taylor Swift"
34,"Oh, it's so sad to","Pre-Chorus","Taylor Swift"
35,"Think about the good times","Pre-Chorus","Taylor Swift"
36,"You and I","Pre-Chorus","Taylor Swift"
37,"'Cause, baby, now we've got bad blood","Chorus","Taylor Swift"
38,"You know it used to be mad love","Chorus","Taylor Swift"
39,"So take a look what you've done","Chorus","Taylor Swift"
40,"'Cause, baby, now we've got bad blood, hey!","Chorus","Taylor Swift"
41,"Now we've got problems","Chorus","Taylor Swift"
42,"And I don't think we can solve 'em","Chorus","Taylor Swift"
43,"You made a really deep cut","Chorus","Taylor Swift"
44,"And, baby, now we've got bad blood, hey!","Chorus","Taylor Swift"
45,"Band-Aids don't fix bullet holes","Bridge","Taylor Swift"
46,"You say sorry just for show","Bridge","Taylor Swift"
47,"If you live like that, you live with ghosts","Bridge","Taylor Swift"
48,"You forgive, you forget, but you never let it go","Bridge","Taylor Swift"
49,"Band-Aids don't fix bullet holes","Bridge","Taylor Swift"
50,"You say sorry just for show","Bridge","Taylor Swift"
51,"If you live like that, you live with ghosts (Uh, uh)","Bridge","Taylor Swift"
52,"If you love like that, blood runs cold","Bridge","Taylor Swift"
53,"'Cause, baby, now we've got bad blood","Chorus","Taylor Swift"
54,"You know it used to be mad love","Chorus","Taylor Swift"
55,"So take a look what you've done","Chorus","Taylor Swift"
56,"'Cause, baby, now we've got bad blood, hey! (Bad blood)","Chorus","Taylor Swift"
57,"Now we've got problems","Chorus","Taylor Swift"
58,"And I don't think we can solve 'em (Think we can solve 'em)","Chorus","Taylor Swift"
59,"You made a really deep cut","Chorus","Taylor Swift"
60,"And, baby, now we've got bad blood, hey!","Chorus","Taylor Swift"
61,"'Cause, baby, now we've got bad blood","Chorus","Taylor Swift"
62,"You know it used to be mad love","Chorus","Taylor Swift"
63,"So take a look what you've done (Look what you've done)","Chorus","Taylor Swift"
64,"'Cause, baby, now we've got bad blood, hey!","Chorus","Taylor Swift"
65,"Now we've got problems","Chorus","Taylor Swift"
66,"And I don't think we can solve 'em","Chorus","Taylor Swift"
67,"You made a really deep cut","Chorus","Taylor Swift"
68,"And, baby, now we've got bad blood, hey!","Chorus","Taylor Swift"
