"line","lyric","element","element_artist"
1,"'Cause, baby, now we've got bad blood","Intro","Taylor Swift"
2,"You know it used to be mad love (Uh)","Intro","Taylor Swift"
3,"So take a look what you've done (Uh)","Intro","Taylor Swift"
4,"'Cause, baby, now we've got bad blood (Uh), hey (Hey)","Intro","Taylor Swift"
5,"I can't take it back, look where I'm at (Uh)","Verse 1","Taylor Swift"
6,"We was OG like D.O.C., remember that? (Remember that?)","Verse 1","Taylor Swift"
7,"My TLC was quite OD, ID my facts (ID my)","Verse 1","Taylor Swift"
8,"Now POV of you and me, similar Iraq","Verse 1","Taylor Swift"
9,"I don't hate you, but I hate to critique, overrate you","Verse 1","Taylor Swift"
10,"These beats of a dark heart, use basslines to replace you","Verse 1","Taylor Swift"
11,"Take time and erase you, love don't hear no more, no, I don't fear no more","Verse 1","Taylor Swift"
12,"Better yet, respect ain't quite sincere no more","Verse 1","Taylor Swift"
13,"Oh, it's so sad to","Pre-Chorus","Taylor Swift"
14,"Think about the good times","Pre-Chorus","Taylor Swift"
15,"You and I","Pre-Chorus","Taylor Swift"
16,"'Cause, baby, now we've got bad blood","Chorus","Taylor Swift"
17,"You know it used to be mad love","Chorus","Taylor Swift"
18,"So take a look what you've done","Chorus","Taylor Swift"
19,"'Cause, baby, now we've got bad blood, hey","Chorus","Taylor Swift"
20,"Now we've got problems","Chorus","Taylor Swift"
21,"And I don't think we can solve them (Uh)","Chorus","Taylor Swift"
22,"You made a really deep cut (Uh)","Chorus","Taylor Swift"
23,"And, baby, now we've got bad blood, hey (Hey)","Chorus","Taylor Swift"
24,"Remember when you tried to write me off? (Haha)","Verse 2","Taylor Swift"
25,"Remember when you thought I'd take a loss?","Verse 2","Taylor Swift"
26,"Don't you remember? You thought that I would need ya","Verse 2","Taylor Swift"
27,"Follow procedure, remember? Oh, wait, you've got amnesia?","Verse 2","Taylor Swift"
28,"It was my season for battle wounds, battle scars, body bumped, bruised","Verse 2","Taylor Swift"
29,"Stabbed in the back; brimstone, fire jumping through","Verse 2","Taylor Swift"
30,"Still, all my life, I got money and power","Verse 2","Taylor Swift"
31,"And you gotta live with the bad blood now (Haha)","Verse 2","Taylor Swift"
32,"Oh, it's so sad to","Pre-Chorus","Taylor Swift"
33,"Think about the good times","Pre-Chorus","Taylor Swift"
34,"You and I","Pre-Chorus","Taylor Swift"
35,"'Cause, baby, now we've got bad blood (Hey, hey, hey, hey)","Chorus","Taylor Swift"
36,"You know it used to be mad love (Hey, hey, hey, hey)","Chorus","Taylor Swift"
37,"So take a look what you've done (Hey, hey, hey, hey)","Chorus","Taylor Swift"
38,"'Cause, baby, now we've got bad blood, hey (Hey, hey, hey)","Chorus","Taylor Swift"
39,"Now we've got problems (Hey, hey, hey, hey)","Chorus","Taylor Swift"
40,"And I don't think we can solve them (Hey, hey, hey, hey)","Chorus","Taylor Swift"
41,"You made a really deep cut (Hey, hey, hey, hey)","Chorus","Taylor Swift"
42,"And, baby, now we've got bad blood, hey (Hey, hey, hey)","Chorus","Taylor Swift"
43,"Band-aids don't fix bullet holes","Bridge","Taylor Swift"
44,"You say sorry just for show","Bridge","Taylor Swift"
45,"If you live like that, you live with ghosts","Bridge","Taylor Swift"
46,"You forgive, you forget, but you never let it go","Bridge","Taylor Swift"
47,"Band-aids don't fix bullet holes (Hey; Yeah)","Bridge","Taylor Swift"
48,"You say sorry just for show (Hey; Uh-huh)","Bridge","Taylor Swift"
49,"If you live like that, you live with ghosts (Uh, uh), mmm","Bridge","Taylor Swift"
50,"If you love like that, blood runs cold","Bridge","Taylor Swift"
51,"'Cause, baby, now we've got bad blood (Uh)","Chorus","Taylor Swift"
52,"You know it used to be mad love (Mad love)","Chorus","Taylor Swift"
53,"So take a look what you've done (Hey)","Chorus","Taylor Swift"
54,"'Cause, baby, now we've got bad blood, hey (Bad blood, bad blood)","Chorus","Taylor Swift"
55,"Now we've got problems","Chorus","Taylor Swift"
56,"And I don't think we can solve them (Think we can solve them)","Chorus","Taylor Swift"
57,"You made a really deep cut","Chorus","Taylor Swift"
58,"And, baby, now we've got bad blood, hey ('Cause now we've got bad blood)","Chorus","Taylor Swift"
59,"'Cause, baby, now we've got bad blood (Uh)","Chorus","Taylor Swift"
60,"You know it used to be mad love (Uh)","Chorus","Taylor Swift"
61,"So take a look what you've done (Look what you've done; Hey)","Chorus","Taylor Swift"
62,"'Cause, baby, now we've got bad blood, hey (Woah, woah, no)","Chorus","Taylor Swift"
63,"Now we've got problems (Uh)","Chorus","Taylor Swift"
64,"And I don't think we can solve them (Uh)","Chorus","Taylor Swift"
65,"You made a really deep cut","Chorus","Taylor Swift"
66,"And, baby, now we've got bad blood, hey","Chorus","Taylor Swift"
