"line","lyric","element","element_artist"
1,"Took a deep breath in the mirror","Verse 1","Taylor Swift"
2,"He didn't like it when I wore high heels, but I do","Verse 1","Taylor Swift"
3,"Turn the lock and put my headphones on","Verse 1","Taylor Swift"
4,"He always said he didn't get this song but I do, I do","Verse 1","Taylor Swift"
5,"Walked in, expecting you'd be late","Verse 1","Taylor Swift"
6,"But you got here early and you stand and wave","Verse 1","Taylor Swift"
7,"I walk to you","Verse 1","Taylor Swift"
8,"You pull my chair out and help me in","Verse 1","Taylor Swift"
9,"And you don't know how nice that is, but I do","Verse 1","Taylor Swift"
10,"And you throw your head back laughing like a little kid","Chorus","Taylor Swift"
11,"I think it's strange that you think I'm funny 'cause he never did","Chorus","Taylor Swift"
12,"I've been spending the last eight months","Chorus","Taylor Swift"
13,"Thinking all love ever does is break and burn and end","Chorus","Taylor Swift"
14,"But on a Wednesday in a café, I watched it begin again","Chorus","Taylor Swift"
15,"You said you never met one girl who","Verse 2","Taylor Swift"
16,"Had as many James Taylor records as you, but I do","Verse 2","Taylor Swift"
17,"We tell stories and you don't know why","Verse 2","Taylor Swift"
18,"I'm coming off a little shy, but I do","Verse 2","Taylor Swift"
19,"But you throw your head back laughing like a little kid","Chorus","Taylor Swift"
20,"I think it's strange that you think I'm funny 'cause he never did","Chorus","Taylor Swift"
21,"I've been spending the last eight months","Chorus","Taylor Swift"
22,"Thinking all love ever does is break and burn and end","Chorus","Taylor Swift"
23,"But on a Wednesday in a café, I watched it begin again","Chorus","Taylor Swift"
24,"And we walked down the block to my car","Bridge","Taylor Swift"
25,"And I almost brought him up","Bridge","Taylor Swift"
26,"But you start to talk about the movies","Bridge","Taylor Swift"
27,"That your family watches every single Christmas","Bridge","Taylor Swift"
28,"And I want to talk about that","Bridge","Taylor Swift"
29,"And for the first time, what's past is past","Bridge","Taylor Swift"
30,"'Cause you throw your head back laughing like a little kid","Chorus","Taylor Swift"
31,"I think it's strange that you think I'm funny 'cause he never did","Chorus","Taylor Swift"
32,"I've been spending the last eight months","Chorus","Taylor Swift"
33,"Thinking all love ever does is break and burn and end","Chorus","Taylor Swift"
34,"But on a Wednesday in a café, I watched it begin again","Chorus","Taylor Swift"
35,"But on a Wednesday in a café, I watched it begin again","Outro","Taylor Swift"
