"line","lyric","element","element_artist"
1,"Baby love, I think I've been a little too kind","Verse 1","Taylor Swift"
2,"Didn't notice you walkin' all over my peace of mind","Verse 1","Taylor Swift"
3,"In the shoes I gave you as a present","Verse 1","Taylor Swift"
4,"Puttin' someone first only works when you're in their top five","Verse 1","Taylor Swift"
5,"And by the way, I'm goin' out tonight","Verse 1","Taylor Swift"
6,"Best believe I'm still bejeweled","Chorus","Taylor Swift"
7,"When I walk in the room","Chorus","Taylor Swift"
8,"I can still make the whole place shimmer","Chorus","Taylor Swift"
9,"And when I meet the band","Chorus","Taylor Swift"
10,"They ask, ""Do you have a man?""","Chorus","Taylor Swift"
11,"I could still say, ""I don't remember""","Chorus","Taylor Swift"
12,"Familiarity breeds contempt","Chorus","Taylor Swift"
13,"So put me in the basement","Chorus","Taylor Swift"
14,"When I want the penthouse of your heart","Chorus","Taylor Swift"
15,"Diamonds in my eyes","Chorus","Taylor Swift"
16,"I polish up real, I polish up real nice","Chorus","Taylor Swift"
17,"Nice","Post-Chorus","Taylor Swift"
18,"Baby boy, I think I've been too good of a girl (Too good of a girl)","Verse 2","Taylor Swift"
19,"Did all the extra credit, then got graded on a curve","Verse 2","Taylor Swift"
20,"I think it's time to teach some lessons","Verse 2","Taylor Swift"
21,"I made you my world (Huh), have you heard? (Huh)","Verse 2","Taylor Swift"
22,"I can reclaim the land","Verse 2","Taylor Swift"
23,"And I miss you (Miss you)","Verse 2","Taylor Swift"
24,"But I miss sparklin' (Nice)","Verse 2","Taylor Swift"
25,"Best believe I'm still bejeweled","Chorus","Taylor Swift"
26,"When I walk in the room","Chorus","Taylor Swift"
27,"I can still make the whole place shimmer","Chorus","Taylor Swift"
28,"And when I meet the band","Chorus","Taylor Swift"
29,"They ask, ""Do you have a man?""","Chorus","Taylor Swift"
30,"I could still say, ""I don't remember""","Chorus","Taylor Swift"
31,"Familiarity breeds contempt","Chorus","Taylor Swift"
32,"So put me in the basement","Chorus","Taylor Swift"
33,"When I want the penthouse of your heart","Chorus","Taylor Swift"
34,"Diamonds in my eyes","Chorus","Taylor Swift"
35,"I polish up real, I polish up real nice","Chorus","Taylor Swift"
36,"Nice","Post-Chorus","Taylor Swift"
37,"Sapphire tears on my face","Bridge","Taylor Swift"
38,"Sadness became my whole sky","Bridge","Taylor Swift"
39,"But some guy said my aura's moonstone","Bridge","Taylor Swift"
40,"Just 'cause he was high","Bridge","Taylor Swift"
41,"And we danced all night","Bridge","Taylor Swift"
42,"And you can try to change my mind","Bridge","Taylor Swift"
43,"But you might have to wait in line","Bridge","Taylor Swift"
44,"What's a girl gonna do?","Bridge","Taylor Swift"
45,"A diamond's gotta shine","Bridge","Taylor Swift"
46,"Best believe I'm still bejeweled","Chorus","Taylor Swift"
47,"When I walk in the room","Chorus","Taylor Swift"
48,"I can still make the whole place shimmer (Shimmer)","Chorus","Taylor Swift"
49,"And when I meet the band","Chorus","Taylor Swift"
50,"They ask, ""Do you have a man?""","Chorus","Taylor Swift"
51,"I could still say, ""I don't remember""","Chorus","Taylor Swift"
52,"Familiarity breeds contempt","Chorus","Taylor Swift"
53,"So put me in the basement","Chorus","Taylor Swift"
54,"When I want the penthouse of your heart","Chorus","Taylor Swift"
55,"Diamonds in my eyes","Chorus","Taylor Swift"
56,"I polish up real (Nice), I polish up real nice","Chorus","Taylor Swift"
57,"And we danced all night","Outro","Taylor Swift"
58,"And you can try to change my mind","Outro","Taylor Swift"
59,"But you might have to wait in line","Outro","Taylor Swift"
60,"What's a girl gonna do? What's a girl gonna do?","Outro","Taylor Swift"
61,"I polish up nice","Outro","Taylor Swift"
62,"Best believe I'm still bejeweled","Outro","Taylor Swift"
63,"When I walk in the room","Outro","Taylor Swift"
64,"I can still make the whole place shimmer","Outro","Taylor Swift"
