"line","lyric","element","element_artist"
1,"Now go stand in the corner and think about what you did","Intro","Taylor Swift"
2,"Ha, time for a little revenge","Intro","Taylor Swift"
3,"The story starts when it was hot and it was summer and","Verse 1","Taylor Swift"
4,"I had it all, I had him right there where I wanted him","Verse 1","Taylor Swift"
5,"She came along, got him alone and let's hear the applause","Verse 1","Taylor Swift"
6,"She took him faster than you can say ""Sabotage""","Verse 1","Taylor Swift"
7,"I never saw it coming, wouldn't have suspected it","Verse 1","Taylor Swift"
8,"I underestimated just who I was dealing with","Verse 1","Taylor Swift"
9,"She had to know the pain was beating on me like a drum","Verse 1","Taylor Swift"
10,"She underestimated just who she was stealing from","Verse 1","Taylor Swift"
11,"She's not a saint and she's not what you think","Chorus","Taylor Swift"
12,"She's an actress, whoa","Chorus","Taylor Swift"
13,"She's better known for the things that she does","Chorus","Taylor Swift"
14,"On the mattress, whoa","Chorus","Taylor Swift"
15,"Soon she's gonna find stealing other people's toys","Chorus","Taylor Swift"
16,"On the playground won't make you many friends","Chorus","Taylor Swift"
17,"She should keep in mind, she should keep in mind","Chorus","Taylor Swift"
18,"There is nothing I do better than revenge, ha","Chorus","Taylor Swift"
19,"She looks at life like it's a party and she's on the list","Verse 2","Taylor Swift"
20,"She looks at me like I'm a trend and she's so over it","Verse 2","Taylor Swift"
21,"I think her ever-present frown is a little troubling","Verse 2","Taylor Swift"
22,"And she thinks I'm psycho 'cause I like to rhyme her name with things","Verse 2","Taylor Swift"
23,"But sophistication isn't what you wear or who you know","Verse 2","Taylor Swift"
24,"Or pushing people down to get you where you wanna go","Verse 2","Taylor Swift"
25,"Oh, they didn't teach you that in prep school so it's up to me","Verse 2","Taylor Swift"
26,"But no amount of vintage dresses gives you dignity","Verse 2","Taylor Swift"
27,"(Think about what you did)","Verse 2","Taylor Swift"
28,"She's not a saint and she's not what you think","Chorus","Taylor Swift"
29,"She's an actress, whoa","Chorus","Taylor Swift"
30,"She's better known for the things that she does","Chorus","Taylor Swift"
31,"On the mattress, whoa","Chorus","Taylor Swift"
32,"Soon she's gonna find stealing other people's toys","Chorus","Taylor Swift"
33,"On the playground won't make you many friends","Chorus","Taylor Swift"
34,"She should keep in mind, she should keep in mind","Chorus","Taylor Swift"
35,"There is nothing I do better than revenge, ha","Chorus","Taylor Swift"
36,"I'm just another thing for you to roll your eyes at, honey","Bridge","Taylor Swift"
37,"You might have him, but haven't you heard?","Bridge","Taylor Swift"
38,"I'm just another thing for you to roll your eyes at, honey","Bridge","Taylor Swift"
39,"You might have him, but I always get the last word","Bridge","Taylor Swift"
40,"Whoa, whoa-ah-oh","Bridge","Taylor Swift"
41,"She's not a saint and she's not what you think","Chorus","Taylor Swift"
42,"She's an actress, whoa (She deserved it)","Chorus","Taylor Swift"
43,"She's better known for the things that she does","Chorus","Taylor Swift"
44,"On the mattress, whoa","Chorus","Taylor Swift"
45,"Soon she's gonna find stealing other people's toys","Chorus","Taylor Swift"
46,"On the playground won't make you many friends","Chorus","Taylor Swift"
47,"She should keep in mind, she should keep in mind","Chorus","Taylor Swift"
48,"There is nothing I do better than revenge, ha","Chorus","Taylor Swift"
49,"Do you still feel like you know what you're doing?","Outro","Taylor Swift"
50,"'Cause I don't think you do, oh (No, no, no, no)","Outro","Taylor Swift"
51,"Do you still feel like you know what you're doing? (No)","Outro","Taylor Swift"
52,"I don't think you do, I don't think you do","Outro","Taylor Swift"
53,"Let's hear the applause (Come on, come on)","Outro","Taylor Swift"
54,"Come on, show me how much better you are","Outro","Taylor Swift"
55,"(So much better, yeah?)","Outro","Taylor Swift"
56,"See you deserve some applause","Outro","Taylor Swift"
57,"'Cause you're so much better","Outro","Taylor Swift"
58,"She took him faster than you could say ""Sabotage""","Outro","Taylor Swift"
