"line","lyric","element","element_artist"
1,"Nice to meet you, where you been?","Verse 1","Taylor Swift"
2,"I could show you incredible things","Verse 1","Taylor Swift"
3,"Magic, madness, heaven, sin","Verse 1","Taylor Swift"
4,"Saw you there, and I thought","Verse 1","Taylor Swift"
5,"""Oh my God, look at that face","Verse 1","Taylor Swift"
6,"You look like my next mistake","Verse 1","Taylor Swift"
7,"Love's a game, wanna play?""","Verse 1","Taylor Swift"
8,"Ayy","Verse 1","Taylor Swift"
9,"New money, suit and tie","Verse 2","Taylor Swift"
10,"I can read you like a magazine","Verse 2","Taylor Swift"
11,"Ain't it funny? Rumors fly","Verse 2","Taylor Swift"
12,"And I know you heard about me","Verse 2","Taylor Swift"
13,"So hey, let's be friends","Verse 2","Taylor Swift"
14,"I'm dyin' to see how this one ends","Verse 2","Taylor Swift"
15,"Grab your passport and my hand","Verse 2","Taylor Swift"
16,"I can make the bad guys good for a weekend","Verse 2","Taylor Swift"
17,"So it's gonna be forever","Chorus","Taylor Swift"
18,"Or it's gonna go down in flames","Chorus","Taylor Swift"
19,"You can tell me when it's over, mm","Chorus","Taylor Swift"
20,"If the high was worth the pain","Chorus","Taylor Swift"
21,"Got a long list of ex-lovers","Chorus","Taylor Swift"
22,"They'll tell you I'm insane","Chorus","Taylor Swift"
23,"'Cause you know I love the players","Chorus","Taylor Swift"
24,"And you love the game","Chorus","Taylor Swift"
25,"'Cause we're young and we're reckless","Chorus","Taylor Swift"
26,"We'll take this way too far","Chorus","Taylor Swift"
27,"It'll leave you breathless, hmm","Chorus","Taylor Swift"
28,"Or with a nasty scar","Chorus","Taylor Swift"
29,"Got a long list of ex-lovers","Chorus","Taylor Swift"
30,"They'll tell you I'm insane","Chorus","Taylor Swift"
31,"But I've got a blank space, baby","Chorus","Taylor Swift"
32,"And I'll write your name","Chorus","Taylor Swift"
33,"Cherry lips, crystal skies","Verse 3","Taylor Swift"
34,"I could show you incredible things","Verse 3","Taylor Swift"
35,"Stolen kisses, pretty lies","Verse 3","Taylor Swift"
36,"You're the King, baby, I'm your Queen","Verse 3","Taylor Swift"
37,"Find out what you want","Verse 3","Taylor Swift"
38,"Be that girl for a month","Verse 3","Taylor Swift"
39,"Wait, the worst is yet to come","Verse 3","Taylor Swift"
40,"Oh, no","Verse 3","Taylor Swift"
41,"Screaming, crying, perfect storms","Verse 4","Taylor Swift"
42,"I can make all the tables turn","Verse 4","Taylor Swift"
43,"Rose garden filled with thorns","Verse 4","Taylor Swift"
44,"Keep you second guessin' like","Verse 4","Taylor Swift"
45,"""Oh my God, who is she?""","Verse 4","Taylor Swift"
46,"I get drunk on jealousy","Verse 4","Taylor Swift"
47,"But you'll come back each time you leave","Verse 4","Taylor Swift"
48,"'Cause, darling, I'm a nightmare dressed like a daydream","Verse 4","Taylor Swift"
49,"So it's gonna be forever","Chorus","Taylor Swift"
50,"Or it's gonna go down in flames","Chorus","Taylor Swift"
51,"You can tell me when it's over, mm","Chorus","Taylor Swift"
52,"If the high was worth the pain","Chorus","Taylor Swift"
53,"Got a long list of ex-lovers","Chorus","Taylor Swift"
54,"They'll tell you I'm insane","Chorus","Taylor Swift"
55,"'Cause you know I love the players","Chorus","Taylor Swift"
56,"And you love the game","Chorus","Taylor Swift"
57,"'Cause we're young and we're reckless","Chorus","Taylor Swift"
58,"We'll take this way too far","Chorus","Taylor Swift"
59,"It'll leave you breathless, hmm","Chorus","Taylor Swift"
60,"Or with a nasty scar","Chorus","Taylor Swift"
61,"Got a long list of ex-lovers","Chorus","Taylor Swift"
62,"They'll tell you I'm insane","Chorus","Taylor Swift"
63,"But I've got a blank space, baby","Chorus","Taylor Swift"
64,"And I'll write your name","Chorus","Taylor Swift"
65,"Boys only want love if it's torture","Bridge","Taylor Swift"
66,"Don't say I didn't, say I didn't warn ya","Bridge","Taylor Swift"
67,"Boys only want love if it's torture","Bridge","Taylor Swift"
68,"Don't say I didn't, say I didn't warn ya","Bridge","Taylor Swift"
69,"So it's gonna be forever","Chorus","Taylor Swift"
70,"Or it's gonna go down in flames","Chorus","Taylor Swift"
71,"You can tell me when it's over, mm","Chorus","Taylor Swift"
72,"If the high was worth the pain","Chorus","Taylor Swift"
73,"Got a long list of ex-lovers","Chorus","Taylor Swift"
74,"They'll tell you I'm insane","Chorus","Taylor Swift"
75,"'Cause you know I love the players","Chorus","Taylor Swift"
76,"And you love the game","Chorus","Taylor Swift"
77,"'Cause we're young and we're reckless","Chorus","Taylor Swift"
78,"We'll take this way too far","Chorus","Taylor Swift"
79,"It'll leave you breathless, hmm","Chorus","Taylor Swift"
80,"Or with a nasty scar","Chorus","Taylor Swift"
81,"Got a long list of ex-lovers","Chorus","Taylor Swift"
82,"They'll tell you I'm insane","Chorus","Taylor Swift"
83,"But I've got a blank space, baby","Chorus","Taylor Swift"
84,"And I'll write your name","Chorus","Taylor Swift"
