"line","lyric","element","element_artist"
1,"I see your face in my mind as I drive away","Verse 1","Taylor Swift"
2,"'Cause none of us thought it was gonna end that way","Verse 1","Taylor Swift"
3,"People are people and sometimes we change our minds","Verse 1","Taylor Swift"
4,"But it's killing me to see you go after all this time","Verse 1","Taylor Swift"
5,"Music starts playing like the end of a sad movie","Verse 2","Taylor Swift"
6,"It's the kind of ending you don't really wanna see","Verse 2","Taylor Swift"
7,"'Cause it's tragedy and it'll only bring you down","Verse 2","Taylor Swift"
8,"Now I don't know what to be without you around","Verse 2","Taylor Swift"
9,"And we know it's never simple, never easy","Pre-Chorus","Taylor Swift"
10,"Never a clean break, no one here to save me","Pre-Chorus","Taylor Swift"
11,"You're the only thing I know like the back of my hand","Pre-Chorus","Taylor Swift"
12,"And I can't breathe without you, but I have to","Chorus","Taylor Swift"
13,"Breathe without you, but I have to","Chorus","Taylor Swift"
14,"Never wanted this, never wanna see you hurt","Verse 3","Taylor Swift"
15,"Every little bump in the road, I tried to swerve","Verse 3","Taylor Swift"
16,"But people are people and sometimes it doesn't work out","Verse 3","Taylor Swift"
17,"Nothing we say is gonna save us from the fall out","Verse 3","Taylor Swift"
18,"And we know it's never simple, never easy","Pre-Chorus","Taylor Swift"
19,"Never a clean break, no one here to save me","Pre-Chorus","Taylor Swift"
20,"You're the only thing I know like the back of my hand","Pre-Chorus","Taylor Swift"
21,"And I can't breathe without you, but I have to","Chorus","Taylor Swift"
22,"Breathe without you but I have to","Chorus","Taylor Swift"
23,"It's 2 A.M, feeling like I just lost a friend","Bridge","Taylor Swift"
24,"Hope you know it's not easy, easy for me","Bridge","Taylor Swift"
25,"It's 2 A.M, feeling like I just lost a friend","Bridge","Taylor Swift"
26,"Hope you know this ain't easy, easy for me","Bridge","Taylor Swift"
27,"And we know it's never simple, never easy","Pre-Chorus","Taylor Swift"
28,"Never a clean break, no one here to save me, oh-oh","Pre-Chorus","Taylor Swift"
29,"I can't breathe without you, but I have to","Chorus","Taylor Swift"
30,"Breathe without you, but I have to","Chorus","Taylor Swift"
31,"Breathe without you, but I have to","Chorus","Taylor Swift"
32,"I'm sorry, I'm sorry (Mmm)","Outro","Taylor Swift"
33,"I'm sorry, (Yeah, yeah) I'm sorry","Outro","Taylor Swift"
34,"I'm sorry, I'm sorry","Outro","Taylor Swift"
35,"I'm sorry","Outro","Taylor Swift"
