"line","lyric","element","element_artist"
1,"And it's a sad picture, the final blow hits you","Verse 1","Taylor Swift"
2,"Somebody else gets what you wanted again and","Verse 1","Taylor Swift"
3,"You know it's all the same, another time and place","Verse 1","Taylor Swift"
4,"Repeating history and you're getting sick of it","Verse 1","Taylor Swift"
5,"But I believe in whatever you do","Verse 1","Taylor Swift"
6,"And I'll do anything to see it through","Verse 1","Taylor Swift"
7,"Because these things will change","Chorus","Taylor Swift"
8,"Can you feel it now?","Chorus","Taylor Swift"
9,"These walls that they put up to hold us back will fall down","Chorus","Taylor Swift"
10,"This revolution, the time will come","Chorus","Taylor Swift"
11,"For us to finally win","Chorus","Taylor Swift"
12,"And we'll sing hallelujah, we'll sing hallelujah","Chorus","Taylor Swift"
13,"Oh, oh","Chorus","Taylor Swift"
14,"So we've been outnumbered, raided, and now cornered","Verse 2","Taylor Swift"
15,"It's hard to fight when the fight ain't fair","Verse 2","Taylor Swift"
16,"We're getting stronger now, find things they never found","Verse 2","Taylor Swift"
17,"They might be bigger but we're faster and never scared","Verse 2","Taylor Swift"
18,"You can walk away, say we don't need this","Verse 2","Taylor Swift"
19,"But there's something in your eyes says we can beat this","Verse 2","Taylor Swift"
20,"'Cause these things will change","Chorus","Taylor Swift"
21,"Can you feel it now?","Chorus","Taylor Swift"
22,"These walls that they put up to hold us back will fall down","Chorus","Taylor Swift"
23,"This revolution, the time will come","Chorus","Taylor Swift"
24,"For us to finally win","Chorus","Taylor Swift"
25,"And we'll sing hallelujah, we'll sing hallelujah","Chorus","Taylor Swift"
26,"Oh, oh","Chorus","Taylor Swift"
27,"Tonight we stand, get off our knees","Bridge","Taylor Swift"
28,"Fight for what we've worked for all these years","Bridge","Taylor Swift"
29,"And the battle was long, it's the fight of our lives","Bridge","Taylor Swift"
30,"But we'll stand up champions tonight","Bridge","Taylor Swift"
31,"It was the night things changed","Chorus","Taylor Swift"
32,"Can you see it now?","Chorus","Taylor Swift"
33,"These walls that they put up to hold us back fell down","Chorus","Taylor Swift"
34,"It's a revolution, throw your hands up","Chorus","Taylor Swift"
35,"'Cause we never gave in","Chorus","Taylor Swift"
36,"And we'll sing hallelujah, we sang hallelujah","Chorus","Taylor Swift"
37,"Hallelujah","Chorus","Taylor Swift"
