"line","lyric","element","element_artist"
1,"I could go back to every laugh","Verse 1","Taylor Swift"
2,"But I don't wanna go there anymore","Verse 1","Taylor Swift"
3,"And I know all the steps up to your door","Verse 1","Taylor Swift"
4,"But I don't wanna go there anymore","Verse 1","Taylor Swift"
5,"Talk to the wind, talk to the sky","Pre-Chorus","Taylor Swift"
6,"Talk to the man with the reasons why","Pre-Chorus","Taylor Swift"
7,"And let me know what you find","Pre-Chorus","Taylor Swift"
8,"I'll leave my window open","Chorus","Taylor Swift"
9,"'Cause I'm too tired at night to call your name","Chorus","Taylor Swift"
10,"Just know I'm right here hoping","Chorus","Taylor Swift"
11,"That you'll come in with the rain","Chorus","Taylor Swift"
12,"I could stand up and sing you a song","Verse 2","Taylor Swift"
13,"But I don't wanna have to go that far","Verse 2","Taylor Swift"
14,"And I, I've got you down, I know you by heart","Verse 2","Taylor Swift"
15,"And you don't even know where I start","Verse 2","Taylor Swift"
16,"Talk to yourself, talk to the tears","Pre-Chorus","Taylor Swift"
17,"Talk to the man who put you here","Pre-Chorus","Taylor Swift"
18,"And don't wait for the sky to clear","Pre-Chorus","Taylor Swift"
19,"I'll leave my window open","Chorus","Taylor Swift"
20,"'Cause I'm too tired at night to call your name","Chorus","Taylor Swift"
21,"Just know I'm right here hoping","Chorus","Taylor Swift"
22,"That you'll come in with the rain","Chorus","Taylor Swift"
23,"I've watched you so long, screamed your name","Bridge","Taylor Swift"
24,"I don't know what else I can say","Bridge","Taylor Swift"
25,"But I'll leave my window open","Chorus","Taylor Swift"
26,"'Cause I'm too tired at night for all these games","Chorus","Taylor Swift"
27,"Just know I'm right here hoping","Chorus","Taylor Swift"
28,"That you'll come in with the rain","Chorus","Taylor Swift"
29,"I could go back to every laugh","Outro","Taylor Swift"
30,"But I don't wanna go there anymore","Outro","Taylor Swift"
