"line","lyric","element","element_artist"
1,"Long were the nights when","Verse 1","Taylor Swift"
2,"My days once revolved around you","Verse 1","Taylor Swift"
3,"Counting my footsteps","Verse 1","Taylor Swift"
4,"Praying the floor won't fall through... again","Verse 1","Taylor Swift"
5,"My mother accused me of losing my mind","Verse 1","Taylor Swift"
6,"But I swore I was fine","Verse 1","Taylor Swift"
7,"You paint me a blue sky","Verse 1","Taylor Swift"
8,"Then go back and turn it to rain","Verse 1","Taylor Swift"
9,"And I lived in your chess game","Verse 1","Taylor Swift"
10,"But you changed the rules everyday","Verse 1","Taylor Swift"
11,"Wonderin' which version of you I might get on the phone, tonight","Verse 1","Taylor Swift"
12,"Well I stopped pickin' up and this song is to let you know why","Verse 1","Taylor Swift"
13,"Dear John, I see it all now that you're gone","Chorus","Taylor Swift"
14,"Don't you think I was too young to be messed with?","Chorus","Taylor Swift"
15,"The girl in the dress cried the whole way home","Chorus","Taylor Swift"
16,"I shoulda known","Chorus","Taylor Swift"
17,"Well maybe it's me","Verse 2","Taylor Swift"
18,"And my blind optimism to blame","Verse 2","Taylor Swift"
19,"Or maybe it's you and your sick need","Verse 2","Taylor Swift"
20,"To give love and take it away","Verse 2","Taylor Swift"
21,"And you'll add my name to your long list of traitors","Verse 2","Taylor Swift"
22,"Who don't understand","Verse 2","Taylor Swift"
23,"And I look back in regret how I ignored when they said","Verse 2","Taylor Swift"
24,"""Run as fast as you can""","Verse 2","Taylor Swift"
25,"Dear John, I see it all now that you're gone","Chorus","Taylor Swift"
26,"Don't you think I was too young to be messed with?","Chorus","Taylor Swift"
27,"The girl in the dress cried the whole way home","Chorus","Taylor Swift"
28,"Dear John, I see it all now, it was wrong","Chorus","Taylor Swift"
29,"Don't you think nineteen's too young","Chorus","Taylor Swift"
30,"To be played by your dark, twisted games","Chorus","Taylor Swift"
31,"When I loved you so?","Chorus","Taylor Swift"
32,"I shoulda known","Chorus","Taylor Swift"
33,"You are an expert at sorry","Bridge","Taylor Swift"
34,"And keeping lines blurry","Bridge","Taylor Swift"
35,"Never impressed by me acing your tests","Bridge","Taylor Swift"
36,"All the girls that you've run dry have tired lifeless eyes","Bridge","Taylor Swift"
37,"'Cause you burned them out","Bridge","Taylor Swift"
38,"But I took your matches","Bridge","Taylor Swift"
39,"Before fire could catch me","Bridge","Taylor Swift"
40,"So don't look now","Bridge","Taylor Swift"
41,"I'm shining like fireworks","Bridge","Taylor Swift"
42,"Over your sad empty town, yeah","Bridge","Taylor Swift"
43,"Oh, oh, oh, oh, oh, oh","Bridge","Taylor Swift"
44,"Dear John, I see it all now that you're gone","Chorus","Taylor Swift"
45,"Don't you think I was too young to be messed with?","Chorus","Taylor Swift"
46,"The girl in the dress cried the whole way home","Chorus","Taylor Swift"
47,"I see it all now that you're gone","Chorus","Taylor Swift"
48,"Don't you think I was too young to be messed with?","Chorus","Taylor Swift"
49,"The girl in the dress wrote you a song","Chorus","Taylor Swift"
50,"You shoulda known","Chorus","Taylor Swift"
51,"You shoulda known","Outro","Taylor Swift"
52,"Don't you think I was too young?","Outro","Taylor Swift"
53,"You shoulda known","Outro","Taylor Swift"
