"line","lyric","element","element_artist"
1,"There I was again tonight","Verse 1","Taylor Swift"
2,"Forcing laughter, faking smiles","Verse 1","Taylor Swift"
3,"Same old tired, lonely place","Verse 1","Taylor Swift"
4,"Walls of insincerity, shifting eyes and vacancy","Verse 1","Taylor Swift"
5,"Vanished when I saw your face","Verse 1","Taylor Swift"
6,"All I can say is, it was enchanting to meet you","Verse 1","Taylor Swift"
7,"Your eyes whispered, ""Have we met?""","Verse 2","Taylor Swift"
8,"'Cross the room your silhouette","Verse 2","Taylor Swift"
9,"Starts to make its way to me","Verse 2","Taylor Swift"
10,"The playful conversation starts","Verse 2","Taylor Swift"
11,"Counter all your quick remarks","Verse 2","Taylor Swift"
12,"Like passing notes in secrecy","Verse 2","Taylor Swift"
13,"And it was enchanting to meet you","Pre-Chorus","Taylor Swift"
14,"All I can say is, I was enchanted to meet you","Pre-Chorus","Taylor Swift"
15,"This night is sparkling","Chorus","Taylor Swift"
16,"Don't you let it go","Chorus","Taylor Swift"
17,"I'm wonderstruck","Chorus","Taylor Swift"
18,"Blushing all the way home","Chorus","Taylor Swift"
19,"I'll spend forever","Chorus","Taylor Swift"
20,"Wondering if you knew","Chorus","Taylor Swift"
21,"I was enchanted to meet you","Chorus","Taylor Swift"
22,"The lingering question kept me up","Verse 3","Taylor Swift"
23,"2AM, who do you love?","Verse 3","Taylor Swift"
24,"I wonder 'til I'm wide awake","Verse 3","Taylor Swift"
25,"And now I'm pacing back and forth","Verse 3","Taylor Swift"
26,"Wishing you were at my door","Verse 3","Taylor Swift"
27,"I'd open up and you would say, ""Hey""","Verse 3","Taylor Swift"
28,"It was enchanting to meet you","Pre-Chorus","Taylor Swift"
29,"All I know is I was enchanted to meet you","Pre-Chorus","Taylor Swift"
30,"This night is sparkling","Chorus","Taylor Swift"
31,"Don't you let it go","Chorus","Taylor Swift"
32,"I'm wonderstruck","Chorus","Taylor Swift"
33,"Blushing all the way home","Chorus","Taylor Swift"
34,"I'll spend forever","Chorus","Taylor Swift"
35,"Wondering if you knew","Chorus","Taylor Swift"
36,"This night is flawless","Chorus","Taylor Swift"
37,"Don't you let it go","Chorus","Taylor Swift"
38,"I'm wonderstruck","Chorus","Taylor Swift"
39,"Dancing around all alone","Chorus","Taylor Swift"
40,"I'll spend forever","Chorus","Taylor Swift"
41,"Wondering if you knew","Chorus","Taylor Swift"
42,"I was enchanted to meet you","Chorus","Taylor Swift"
43,"This is me praying that","Bridge","Taylor Swift"
44,"This was the very first page","Bridge","Taylor Swift"
45,"Not where the storyline ends","Bridge","Taylor Swift"
46,"My thoughts will echo your name","Bridge","Taylor Swift"
47,"Until I see you again","Bridge","Taylor Swift"
48,"These are the words I held back","Bridge","Taylor Swift"
49,"As I was leaving too soon","Bridge","Taylor Swift"
50,"I was enchanted to meet you","Bridge","Taylor Swift"
51,"Please don't be in love","Breakdown","Taylor Swift"
52,"With someone else","Breakdown","Taylor Swift"
53,"Please don't have somebody","Breakdown","Taylor Swift"
54,"Waiting on you","Breakdown","Taylor Swift"
55,"Please don't be in love (Ooh)","Breakdown","Taylor Swift"
56,"With someone else","Breakdown","Taylor Swift"
57,"Please don't have somebody (Ooh, hey)","Breakdown","Taylor Swift"
58,"Waiting on you","Breakdown","Taylor Swift"
59,"This night is sparkling","Chorus","Taylor Swift"
60,"Don't you let it go","Chorus","Taylor Swift"
61,"I'm wonderstruck","Chorus","Taylor Swift"
62,"Blushing all the way home","Chorus","Taylor Swift"
63,"I'll spend forever","Chorus","Taylor Swift"
64,"Wondering if you knew","Chorus","Taylor Swift"
65,"This night is flawless (Please don't be in love with someone else)","Chorus","Taylor Swift"
66,"Don't you let it go","Chorus","Taylor Swift"
67,"I'm wonderstruck (Please don't have somebody waiting on you)","Chorus","Taylor Swift"
68,"Dancing around all alone","Chorus","Taylor Swift"
69,"I'll spend forever (Please don't be in love with someone else)","Chorus","Taylor Swift"
70,"Wondering if you knew","Chorus","Taylor Swift"
71,"I was enchanted to meet you","Chorus","Taylor Swift"
72,"Please don't be in love","Outro","Taylor Swift"
73,"With someone else","Outro","Taylor Swift"
74,"Please don't have somebody","Outro","Taylor Swift"
75,"Waiting on you","Outro","Taylor Swift"
