"line","lyric","element","element_artist"
1,"You take a deep breath and you walk through the doors","Verse 1","Taylor Swift"
2,"It's the mornin' of your very first day","Verse 1","Taylor Swift"
3,"You say hi to your friends you ain't seen in a while","Verse 1","Taylor Swift"
4,"Try and stay out of everybody's way","Verse 1","Taylor Swift"
5,"It's your freshman year and you're gonna be here","Verse 1","Taylor Swift"
6,"For the next four years in this town","Verse 1","Taylor Swift"
7,"Hopin' one of those senior boys will wink at you and say","Verse 1","Taylor Swift"
8,"""You know, I haven't seen you around before""","Verse 1","Taylor Swift"
9,"'Cause when you're fifteen and somebody tells you they love you","Chorus","Taylor Swift"
10,"You're gonna believe them","Chorus","Taylor Swift"
11,"And when you're fifteen, feelin' like there's nothin' to figure out","Chorus","Taylor Swift"
12,"Well, count to ten, take it in","Chorus","Taylor Swift"
13,"This is life before you know who you're gonna be","Chorus","Taylor Swift"
14,"Fifteen","Chorus","Taylor Swift"
15,"You sit in class next to a redhead named Abigail","Verse 2","Taylor Swift"
16,"And soon enough, you're best friends","Verse 2","Taylor Swift"
17,"Laughin' at the other girls who think they're so cool","Verse 2","Taylor Swift"
18,"We'll be outta here as soon as we can","Verse 2","Taylor Swift"
19,"And then you're on your very first date and he's got a car","Verse 2","Taylor Swift"
20,"And you're feelin' like flyin'","Verse 2","Taylor Swift"
21,"And your mama's waitin' up and you're thinkin' he's the one","Verse 2","Taylor Swift"
22,"And you're dancin' 'round your room when the night ends","Verse 2","Taylor Swift"
23,"When the night ends","Verse 2","Taylor Swift"
24,"'Cause when you're fifteen and somebody tells you they love you","Chorus","Taylor Swift"
25,"You're gonna believe them","Chorus","Taylor Swift"
26,"And when you're fifteen and your first kiss","Chorus","Taylor Swift"
27,"Makes your head spin 'round","Chorus","Taylor Swift"
28,"But in your life you'll do things greater than","Chorus","Taylor Swift"
29,"Dating the boy on the football team","Chorus","Taylor Swift"
30,"But I didn't know it at fifteen","Chorus","Taylor Swift"
31,"When all you wanted was to be wanted","Bridge","Taylor Swift"
32,"Wish you could go back and tell yourself what you know now","Bridge","Taylor Swift"
33,"Back then, I swore I was gonna marry him someday","Bridge","Taylor Swift"
34,"But I realized some bigger dreams of mine","Bridge","Taylor Swift"
35,"And Abigail gave everything she had","Bridge","Taylor Swift"
36,"To a boy who changed his mind","Bridge","Taylor Swift"
37,"And we both cried","Bridge","Taylor Swift"
38,"'Cause when you're fifteen and somebody tells you they love you","Chorus","Taylor Swift"
39,"You're gonna believe them","Chorus","Taylor Swift"
40,"And when you're fifteen, don't forget to look before you fall","Chorus","Taylor Swift"
41,"I've found time can heal most anything","Chorus","Taylor Swift"
42,"And you just might find who you're supposed to be","Chorus","Taylor Swift"
43,"I didn't know who I was supposed to be","Chorus","Taylor Swift"
44,"At fifteen","Chorus","Taylor Swift"
45,"La-la-la, la-la-la, la-la-la-la","Post-Chorus","Taylor Swift"
46,"La-la-la, la-la-la, la-la-la-la","Post-Chorus","Taylor Swift"
47,"La-la-la, la-la-la","Post-Chorus","Taylor Swift"
48,"Your very first day","Outro","Taylor Swift"
49,"Take a deep breath, girl","Outro","Taylor Swift"
50,"Take a deep breath as you walk through the doors","Outro","Taylor Swift"
