"line","lyric","element","element_artist"
1,"I was reminiscing just the other day","Verse 1","Taylor Swift"
2,"While having coffee all alone, and Lord, it took me away","Verse 1","Taylor Swift"
3,"Back to a first-glance feeling on New York time","Verse 1","Taylor Swift"
4,"Back when you fit in my poems like a perfect rhyme","Verse 1","Taylor Swift"
5,"Took off faster than a green light, go","Verse 1","Taylor Swift"
6,"Hey, you skip the conversation when you already know","Verse 1","Taylor Swift"
7,"I left a note on the door with a joke we'd made","Verse 1","Taylor Swift"
8,"And that was the first day","Verse 1","Taylor Swift"
9,"And darling, it was good","Chorus","Taylor Swift"
10,"Never looking down","Chorus","Taylor Swift"
11,"And right there where we stood","Chorus","Taylor Swift"
12,"Was holy ground","Chorus","Taylor Swift"
13,"Spinning like a girl in a brand new dress","Verse 2","Taylor Swift"
14,"We had this big wide city all to ourselves","Verse 2","Taylor Swift"
15,"We blocked the noise with the sound of, ""I need you""","Verse 2","Taylor Swift"
16,"And for the first time, I had something to lose","Verse 2","Taylor Swift"
17,"And I guess we fell apart in the usual way","Verse 2","Taylor Swift"
18,"And the story's got dust on every page","Verse 2","Taylor Swift"
19,"But sometimes, I wonder how you think about it now","Verse 2","Taylor Swift"
20,"And I see your face in every crowd","Verse 2","Taylor Swift"
21,"'Cause darling, it was good","Chorus","Taylor Swift"
22,"Never looking down","Chorus","Taylor Swift"
23,"And right there where we stood","Chorus","Taylor Swift"
24,"Was holy ground","Chorus","Taylor Swift"
25,"Tonight, I'm gonna dance","Bridge","Taylor Swift"
26,"For all that we've been through","Bridge","Taylor Swift"
27,"But I don't wanna dance","Bridge","Taylor Swift"
28,"If I'm not dancing with you","Bridge","Taylor Swift"
29,"Tonight, I'm gonna dance","Bridge","Taylor Swift"
30,"Like you were in this room","Bridge","Taylor Swift"
31,"But I don't wanna dance","Bridge","Taylor Swift"
32,"If I'm not dancing with you","Bridge","Taylor Swift"
33,"It was good","Chorus","Taylor Swift"
34,"Never looking down","Chorus","Taylor Swift"
35,"And right there where we stood","Chorus","Taylor Swift"
36,"Was holy ground","Chorus","Taylor Swift"
37,"Tonight, I'm gonna dance","Outro","Taylor Swift"
38,"For all that we've been through","Outro","Taylor Swift"
39,"But I don't wanna dance","Outro","Taylor Swift"
40,"If I'm not dancing with you","Outro","Taylor Swift"
41,"Tonight, I'm gonna dance","Outro","Taylor Swift"
42,"Like you were in this room","Outro","Taylor Swift"
43,"But I don't wanna dance","Outro","Taylor Swift"
44,"If I'm not dancing with you","Outro","Taylor Swift"
