"line","lyric","element","element_artist"
1,"Once upon a time, a few mistakes ago","Verse 1","Taylor Swift"
2,"I was in your sights, you got me alone","Verse 1","Taylor Swift"
3,"You found me, you found me, you found me","Verse 1","Taylor Swift"
4,"I guess you didn't care, and I guess I liked that","Verse 1","Taylor Swift"
5,"And when I fell hard, you took a step back","Verse 1","Taylor Swift"
6,"Without me, without me, without me","Verse 1","Taylor Swift"
7,"And he's long gone when he's next to me","Pre-Chorus","Taylor Swift"
8,"And I realize the blame is on me","Pre-Chorus","Taylor Swift"
9,"'Cause I knew you were trouble when you walked in","Chorus","Taylor Swift"
10,"So shame on me now","Chorus","Taylor Swift"
11,"Flew me to places I'd never been","Chorus","Taylor Swift"
12,"'Til you put me down, oh","Chorus","Taylor Swift"
13,"I knew you were trouble when you walked in","Chorus","Taylor Swift"
14,"So shame on me now","Chorus","Taylor Swift"
15,"Flew me to places I'd never been","Chorus","Taylor Swift"
16,"Now I'm lying on the cold hard ground","Chorus","Taylor Swift"
17,"Oh, oh-oh","Post-Chorus","Taylor Swift"
18,"Trouble, trouble, trouble","Post-Chorus","Taylor Swift"
19,"Oh, oh-oh","Post-Chorus","Taylor Swift"
20,"Trouble, trouble, trouble","Post-Chorus","Taylor Swift"
21,"No apologies, he'll never see you cry","Verse 2","Taylor Swift"
22,"Pretends he doesn't know that he's the reason why","Verse 2","Taylor Swift"
23,"You're drowning, you're drowning, you're drowning","Verse 2","Taylor Swift"
24,"And I heard you moved on from whispers on the street","Verse 2","Taylor Swift"
25,"A new notch in your belt is all I'll ever be","Verse 2","Taylor Swift"
26,"And now I see, now I see, now I see","Verse 2","Taylor Swift"
27,"He was long gone when he met me","Pre-Chorus","Taylor Swift"
28,"And I realize the joke is on me, hey","Pre-Chorus","Taylor Swift"
29,"I knew you were trouble when you walked in (Oh)","Chorus","Taylor Swift"
30,"So shame on me now","Chorus","Taylor Swift"
31,"Flew me to places I'd never been","Chorus","Taylor Swift"
32,"'Til you put me down, oh","Chorus","Taylor Swift"
33,"I knew you were trouble when you walked in","Chorus","Taylor Swift"
34,"So shame on me now","Chorus","Taylor Swift"
35,"Flew me to places I'd never been (Yeah)","Chorus","Taylor Swift"
36,"Now I'm lying on the cold hard ground","Chorus","Taylor Swift"
37,"Oh, oh-oh (Yeah)","Post-Chorus","Taylor Swift"
38,"Trouble, trouble, trouble","Post-Chorus","Taylor Swift"
39,"Oh, oh-oh","Post-Chorus","Taylor Swift"
40,"Trouble, trouble, trouble","Post-Chorus","Taylor Swift"
41,"And the saddest fear","Bridge","Taylor Swift"
42,"Comes creeping in","Bridge","Taylor Swift"
43,"That you never loved me","Bridge","Taylor Swift"
44,"Or her, or anyone, or anything","Bridge","Taylor Swift"
45,"Yeah","Bridge","Taylor Swift"
46,"I knew you were trouble when you walked in","Chorus","Taylor Swift"
47,"So shame on me now","Chorus","Taylor Swift"
48,"Flew me to places I'd never been (Never been)","Chorus","Taylor Swift"
49,"'Til you put me down, oh","Chorus","Taylor Swift"
50,"I knew you were trouble when you walked in (Knew it right there)","Chorus","Taylor Swift"
51,"So shame on me now (Knew it right there)","Chorus","Taylor Swift"
52,"Flew me to places I'd never been (Ooh)","Chorus","Taylor Swift"
53,"Now I'm lying on the cold hard ground","Chorus","Taylor Swift"
54,"Oh, oh-oh","Post-Chorus","Taylor Swift"
55,"Trouble, trouble, trouble (Oh)","Post-Chorus","Taylor Swift"
56,"Oh, oh-oh","Post-Chorus","Taylor Swift"
57,"Trouble, trouble, trouble","Post-Chorus","Taylor Swift"
58,"I knew you were trouble when you walked in","Post-Chorus","Taylor Swift"
59,"Trouble, trouble, trouble","Post-Chorus","Taylor Swift"
60,"I knew you were trouble when you walked in","Post-Chorus","Taylor Swift"
61,"Trouble, trouble, trouble","Post-Chorus","Taylor Swift"
