"line","lyric","element","element_artist"
1,"It's 2AM in your car","Verse 1","Taylor Swift"
2,"Windows down, you pass my street, the memories start","Verse 1","Taylor Swift"
3,"You say it's in the past, you drive straight ahead","Verse 1","Taylor Swift"
4,"You're thinking that I hate you now","Verse 1","Taylor Swift"
5,"'Cause you still don't know what I never said","Verse 1","Taylor Swift"
6,"I wish you would come back","Chorus 1","Taylor Swift"
7,"Wish I never hung up the phone like I did, I","Chorus 1","Taylor Swift"
8,"Wish you knew that","Chorus 1","Taylor Swift"
9,"I'd never forget you as long as I live, and I","Chorus 1","Taylor Swift"
10,"Wish you were right here, right now, it's all good","Chorus 1","Taylor Swift"
11,"I wish you would","Chorus 1","Taylor Swift"
12,"It's 2AM in my room","Verse 2","Taylor Swift"
13,"Headlights pass the window pane","Verse 2","Taylor Swift"
14,"I think of you","Verse 2","Taylor Swift"
15,"We're a crooked love in a straight line down","Verse 2","Taylor Swift"
16,"Makes you want to run and hide","Verse 2","Taylor Swift"
17,"But it makes you turn right back around","Verse 2","Taylor Swift"
18,"I wish you would come back","Chorus 2","Taylor Swift"
19,"Wish I never hung up the phone like I did, I","Chorus 2","Taylor Swift"
20,"Wish you knew that","Chorus 2","Taylor Swift"
21,"I'd never forget you as long as I live, and I","Chorus 2","Taylor Swift"
22,"Wish you were right here, right now, it's all good","Chorus 2","Taylor Swift"
23,"I wish you would","Chorus 2","Taylor Swift"
24,"I wish we could go back","Chorus 2","Taylor Swift"
25,"And remember what we were fighting for, and I","Chorus 2","Taylor Swift"
26,"Wish you knew that","Chorus 2","Taylor Swift"
27,"I miss you too much to be mad anymore, and I","Chorus 2","Taylor Swift"
28,"Wish you were right here, right now, it's all good","Chorus 2","Taylor Swift"
29,"I wish you would","Chorus 2","Taylor Swift"
30,"I, I, I, I, I, I wish I, wish I","Post-Chorus","Taylor Swift"
31,"I, I, I, I, I, I wish I, wish I","Post-Chorus","Taylor Swift"
32,"I, I, I, I, I, I wish I, wish I","Post-Chorus","Taylor Swift"
33,"You always knew how to push my buttons","Bridge","Taylor Swift"
34,"You give me everything and nothing","Bridge","Taylor Swift"
35,"This mad, mad love makes you come running","Bridge","Taylor Swift"
36,"To stand back where you stood","Bridge","Taylor Swift"
37,"I wish you would, I wish you would","Bridge","Taylor Swift"
38,"(I wish you would, I wish you would)","Bridge","Taylor Swift"
39,"I wish you would, I wish you would","Bridge","Taylor Swift"
40,"(I wish you would, I wish you would)","Bridge","Taylor Swift"
41,"(I wish I, wish I)","Bridge","Taylor Swift"
42,"2AM, here we are","Verse 3","Taylor Swift"
43,"See your face, hear my voice in the dark","Verse 3","Taylor Swift"
44,"We're a crooked love in a straight line down","Verse 3","Taylor Swift"
45,"Makes you wanna run and hide","Verse 3","Taylor Swift"
46,"But it made us turn right back around","Verse 3","Taylor Swift"
47,"I wish you would come back","Chorus 2","Taylor Swift"
48,"Wish I never hung up the phone like I did, I","Chorus 2","Taylor Swift"
49,"Wish you knew that","Chorus 2","Taylor Swift"
50,"I'd never forget you as long as I live, and I","Chorus 2","Taylor Swift"
51,"Wish you were right here, right now, it's all good","Chorus 2","Taylor Swift"
52,"I wish you would","Chorus 2","Taylor Swift"
53,"I wish you would come back","Chorus 2","Taylor Swift"
54,"Wish I never hung up the phone like I did, I","Chorus 2","Taylor Swift"
55,"Wish you knew that","Chorus 2","Taylor Swift"
56,"I'd never forget you as long as I live, and I","Chorus 2","Taylor Swift"
57,"Wish you were right here, right now, it's all good","Chorus 2","Taylor Swift"
58,"I wish you would","Chorus 2","Taylor Swift"
59,"I wish we could go back","Chorus 2","Taylor Swift"
60,"And remember what we were fighting for, and I","Chorus 2","Taylor Swift"
61,"Wish you knew that","Chorus 2","Taylor Swift"
62,"I miss you too much to be mad anymore, and I","Chorus 2","Taylor Swift"
63,"Wish you were right here, right now, it's all good","Chorus 2","Taylor Swift"
64,"I wish you would","Chorus 2","Taylor Swift"
65,"(I, I, I, I, I, I wish I, wish I)","Outro","Taylor Swift"
66,"You always knew how to push my buttons","Outro","Taylor Swift"
67,"You give me everything and nothing","Outro","Taylor Swift"
68,"This mad, mad love makes you come running","Outro","Taylor Swift"
69,"To stand back where you stood","Outro","Taylor Swift"
70,"I wish you would, I wish you would","Outro","Taylor Swift"
71,"(I wish you would, I wish you would)","Outro","Taylor Swift"
72,"I wish you would, I wish you would","Outro","Taylor Swift"
73,"(I wish you would, I wish you would, I wish you would)","Outro","Taylor Swift"
74,"(I, I, I, I, I, I wish I, wish I)","Outro","Taylor Swift"
75,"I, I, I, I, I, I wish I, wish I","Outro","Taylor Swift"
76,"I, I, I, I, I, I wish I, wish I","Outro","Taylor Swift"
77,"I wish you would","Outro","Taylor Swift"
