"line","lyric","element","element_artist"
1,"Last night, I heard my own heart beating","Verse 1","Taylor Swift"
2,"Sounded like footsteps on my stairs","Verse 1","Taylor Swift"
3,"Six months gone and I'm still reaching","Verse 1","Taylor Swift"
4,"Even though I know you're not there","Verse 1","Taylor Swift"
5,"I was playing back a thousand memories, baby","Verse 1","Taylor Swift"
6,"Thinkin' 'bout everything we've been through","Verse 1","Taylor Swift"
7,"Maybe I've been going back too much lately","Verse 1","Taylor Swift"
8,"When time stood still and I had you","Verse 1","Taylor Swift"
9,"Come back, come back, come back to me like","Chorus","Taylor Swift"
10,"You would, you would if this was a movie","Chorus","Taylor Swift"
11,"Stand in the rain outside till I came out","Chorus","Taylor Swift"
12,"Come back, come back, come back to me like","Chorus","Taylor Swift"
13,"You could, you could if you just said you're sorry","Chorus","Taylor Swift"
14,"I know that we could work it out somehow","Chorus","Taylor Swift"
15,"But if this was a movie you'd be here by now","Chorus","Taylor Swift"
16,"I know people change and these things happen","Verse 2","Taylor Swift"
17,"But I remember how it was back then","Verse 2","Taylor Swift"
18,"Wrapped up in your arms and our friends were laughing","Verse 2","Taylor Swift"
19,"'Cause nothing like this ever happened to them","Verse 2","Taylor Swift"
20,"Now I'm pacing down the hall, chasing down your street","Verse 2","Taylor Swift"
21,"Flashback to the night when you said to me","Verse 2","Taylor Swift"
22,"""Nothing's gonna change, not for me and you""","Verse 2","Taylor Swift"
23,"Not before I knew how much I had to lose","Verse 2","Taylor Swift"
24,"Come back, come back, come back to me like","Chorus","Taylor Swift"
25,"You would, you would if this was a movie","Chorus","Taylor Swift"
26,"Stand in the rain outside till I came out","Chorus","Taylor Swift"
27,"Come back, come back, come back to me like","Chorus","Taylor Swift"
28,"You could, you could if you just said you're sorry","Chorus","Taylor Swift"
29,"I know that we could work it out somehow","Chorus","Taylor Swift"
30,"But if this was a movie you'd be here by now","Chorus","Taylor Swift"
31,"If you're out there, if you're somewhere, if you're moving on","Bridge","Taylor Swift"
32,"I've been waiting for you every day since you've been gone","Bridge","Taylor Swift"
33,"I just want it back the way it was before","Bridge","Taylor Swift"
34,"And I just want to see you back at my front door","Bridge","Taylor Swift"
35,"And I say, ""Come back, come back, come back to me like","Chorus - Variation","Taylor Swift"
36,"You would before you said it's not that easy","Chorus - Variation","Taylor Swift"
37,"Before the fight, before I locked you out""","Chorus - Variation","Taylor Swift"
38,"But I take it all back now","Chorus - Variation","Taylor Swift"
39,"Come back, come back, come back to me like","Chorus","Taylor Swift"
40,"You would, you would if this was a movie","Chorus","Taylor Swift"
41,"Stand in the rain outside till I came out","Chorus","Taylor Swift"
42,"Come back, come back, come back to me like","Chorus","Taylor Swift"
43,"You could, you could if you just said you're sorry","Chorus","Taylor Swift"
44,"I know that we could work it out somehow","Chorus","Taylor Swift"
45,"But if this was a movie you'd be here by now","Chorus","Taylor Swift"
46,"You'd be here by now","Outro","Taylor Swift"
47,"It's not the kind of ending you want to see now","Outro","Taylor Swift"
48,"Baby, what about the ending?","Outro","Taylor Swift"
49,"Oh, I thought you'd be here by now","Outro","Taylor Swift"
50,"Thought you'd be here by now","Outro","Taylor Swift"
