"line","lyric","element","element_artist"
1,"I guess you really did it this time","Verse 1","Taylor Swift"
2,"Left yourself in your war path","Verse 1","Taylor Swift"
3,"Lost your balance on a tightrope","Verse 1","Taylor Swift"
4,"Lost your mind trying to get it back","Verse 1","Taylor Swift"
5,"Wasn't it easier in your lunchbox days?","Pre-Chorus","Taylor Swift"
6,"Always a bigger bed to crawl into","Pre-Chorus","Taylor Swift"
7,"Wasn't it beautiful when you believed in everything","Pre-Chorus","Taylor Swift"
8,"And everybody believed in you?","Pre-Chorus","Taylor Swift"
9,"It's alright, just wait and see","Chorus","Taylor Swift"
10,"Your string of lights is still bright to me","Chorus","Taylor Swift"
11,"Oh, who you are is not where you've been","Chorus","Taylor Swift"
12,"You're still an innocent, you're still an innocent","Chorus","Taylor Swift"
13,"Did some things you can't speak of","Verse 2","Taylor Swift"
14,"But at night you live it all again","Verse 2","Taylor Swift"
15,"You wouldn't be shattered on the floor now","Verse 2","Taylor Swift"
16,"If only you had seen what you know now then","Verse 2","Taylor Swift"
17,"Wasn't it easier in your firefly-catching days?","Pre-Chorus","Taylor Swift"
18,"When everything out of reach","Pre-Chorus","Taylor Swift"
19,"Someone bigger brought down to you","Pre-Chorus","Taylor Swift"
20,"Wasn't it beautiful running wild 'til you fell asleep","Pre-Chorus","Taylor Swift"
21,"Before the monsters caught up to you?","Pre-Chorus","Taylor Swift"
22,"It's alright, just wait and see","Chorus","Taylor Swift"
23,"Your string of lights is still bright to me","Chorus","Taylor Swift"
24,"Oh, who you are is not where you've been","Chorus","Taylor Swift"
25,"You're still an innocent","Chorus","Taylor Swift"
26,"It's okay, life is a tough crowd","Chorus","Taylor Swift"
27,"32 and still growing up now","Chorus","Taylor Swift"
28,"Who you are is not what you did","Chorus","Taylor Swift"
29,"You're still an innocent","Chorus","Taylor Swift"
30,"Time turns flames to embers","Bridge","Taylor Swift"
31,"You'll have new Septembers","Bridge","Taylor Swift"
32,"Every one of us has messed up too","Bridge","Taylor Swift"
33,"Lives change like the weather","Bridge","Taylor Swift"
34,"I hope you remember","Bridge","Taylor Swift"
35,"Today is never too late to be brand new, oh","Bridge","Taylor Swift"
36,"It's alright, just wait and see","Chorus","Taylor Swift"
37,"Your string of lights is still bright to me","Chorus","Taylor Swift"
38,"Oh, who you are is not where you've been","Chorus","Taylor Swift"
39,"You're still an innocent","Chorus","Taylor Swift"
40,"It's okay, life is a tough crowd","Chorus","Taylor Swift"
41,"32 and still growing up now","Chorus","Taylor Swift"
42,"Who you are is not what you did","Chorus","Taylor Swift"
43,"You're still an innocent, you're still an innocent","Chorus","Taylor Swift"
44,"Lost your balance on a tightrope, oh","Outro","Taylor Swift"
45,"It's never too late to get it back","Outro","Taylor Swift"
