"line","lyric","element","element_artist"
1,"Karma is that girl, like (Grrah)","Intro","Taylor Swift"
2,"You're talking shit for the hell of it","Verse 1","Taylor Swift"
3,"Addicted to betrayal, but you're relevant","Verse 1","Taylor Swift"
4,"You're terrified to look down","Verse 1","Taylor Swift"
5,"'Cause if you dare, you'll see the glare","Verse 1","Taylor Swift"
6,"Of everyone you burned just to get there","Verse 1","Taylor Swift"
7,"It's comin' back around","Verse 1","Taylor Swift"
8,"And I keep my side of the street clean","Pre-Chorus","Taylor Swift"
9,"You wouldn't know what I mean","Pre-Chorus","Taylor Swift"
10,"'Cause karma is my boyfriend","Chorus","Taylor Swift"
11,"Karma is a god","Chorus","Taylor Swift"
12,"Karma is the breeze in my hair on the weekend","Chorus","Taylor Swift"
13,"Karma's a relaxing thought","Chorus","Taylor Swift"
14,"Aren't you envious that for you it's not?","Chorus","Taylor Swift"
15,"Sweet like honey, karma is a cat","Chorus","Taylor Swift"
16,"Purring in my lap 'cause it loves me","Chorus","Taylor Swift"
17,"Flexing like a goddamn acrobat","Chorus","Taylor Swift"
18,"Me and karma vibe like that","Chorus","Taylor Swift"
19,"Karma is your check's 'boutta bounce (Damn)","Verse 2","Taylor Swift"
20,"Karma is the fire in your house (Grrah)","Verse 2","Taylor Swift"
21,"And she 'boutta pop up unannounced (Like)","Verse 2","Taylor Swift"
22,"And she never leavin' you alone (Damn)","Verse 2","Taylor Swift"
23,"Watch her put ya opps on a throne (Damn)","Verse 2","Taylor Swift"
24,"Got you wavin' pretty white flags, feenin' for that cash","Verse 2","Taylor Swift"
25,"Thinkin' it'll save ya, now you switchin' up your behavior","Verse 2","Taylor Swift"
26,"It's okay, baby, you ain't gotta worry, karma never gets lazy","Verse 2","Taylor Swift"
27,"So, I keep my head up, my bread up, I won't let up (Never)","Verse 2","Taylor Swift"
28,"Promise that you'll never endeavor with none lesser (Ever, ever)","Verse 2","Taylor Swift"
29,"I be draggin' that wagon, karma is a beauty winning that pageant, grrah","Verse 2","Taylor Swift"
30,"'Cause karma is my boyfriend (Damn)","Chorus","Taylor Swift"
31,"Karma is a god","Chorus","Taylor Swift"
32,"Karma is the breeze in my hair on the weekend","Chorus","Taylor Swift"
33,"Karma's a relaxing thought","Chorus","Taylor Swift"
34,"Aren't you envious that for you it's not?","Chorus","Taylor Swift"
35,"Sweet like honey, karma is a cat","Chorus","Taylor Swift"
36,"Purring in my lap 'cause it loves me","Chorus","Taylor Swift"
37,"Flexing like a goddamn acrobat","Chorus","Taylor Swift"
38,"Me and karma vibe like that (Grrah)","Chorus","Taylor Swift"
39,"Ask me what I learned from all those years","Bridge","Taylor Swift"
40,"Ask me what I earned from all those tears","Bridge","Taylor Swift"
41,"Ask me why so many fade, but I'm still here","Bridge","Taylor Swift"
42,"(I'm still here, I'm still here)","Bridge","Taylor Swift"
43,"'Cause karma is the thunder","Breakdown","Taylor Swift"
44,"Rattlin' your ground","Breakdown","Taylor Swift"
45,"Karma's on your scent like a bounty hunter","Breakdown","Taylor Swift"
46,"And karma's gonna track you down","Breakdown","Taylor Swift"
47,"Step by step, from town to town","Breakdown","Taylor Swift"
48,"Sweet like justice, karma is a queen","Breakdown","Taylor Swift"
49,"Karma takes all my friends to the summit (Facts)","Breakdown","Taylor Swift"
50,"Karma is the guy on the screen","Breakdown","Taylor Swift"
51,"Coming straight home to me","Breakdown","Taylor Swift"
52,"'Cause karma is my boyfriend (Karma is my boyfriend)","Chorus","Taylor Swift"
53,"Karma is a god (Damn)","Chorus","Taylor Swift"
54,"Karma is the breeze in my hair on the weekend (Weekend)","Chorus","Taylor Swift"
55,"Karma's a relaxing thought","Chorus","Taylor Swift"
56,"Aren't you envious that for you it's not?","Chorus","Taylor Swift"
57,"Sweet like honey, karma is a cat","Chorus","Taylor Swift"
58,"Purring in my lap 'cause it loves me","Chorus","Taylor Swift"
59,"Flexing like a goddamn acrobat","Chorus","Taylor Swift"
60,"Me and karma vibe like that","Chorus","Taylor Swift"
61,"Karma is my boyfriend","Outro","Taylor Swift"
62,"Karma is a god (Ah)","Outro","Taylor Swift"
63,"Karma is my bestie (Mmm)","Outro","Taylor Swift"
64,"Karma's a relaxing thought","Outro","Taylor Swift"
65,"Karma's gonna hold you down","Outro","Taylor Swift"
