"line","lyric","element","element_artist"
1,"We were both young when I first saw you","Verse 1","Taylor Swift"
2,"I close my eyes, and the flashback starts","Verse 1","Taylor Swift"
3,"I'm standing there","Verse 1","Taylor Swift"
4,"On a balcony in summer air","Verse 1","Taylor Swift"
5,"See the lights, see the party, the ball gowns","Verse 1","Taylor Swift"
6,"See you make your way through the crowd","Verse 1","Taylor Swift"
7,"And say, ""Hello""","Verse 1","Taylor Swift"
8,"Little did I know","Verse 1","Taylor Swift"
9,"That you were Romeo, you were throwing pebbles","Pre-Chorus","Taylor Swift"
10,"And my daddy said, ""Stay away from Juliet""","Pre-Chorus","Taylor Swift"
11,"And I was crying on the staircase","Pre-Chorus","Taylor Swift"
12,"Begging you, ""Please don't go,"" and I said","Pre-Chorus","Taylor Swift"
13,"Romeo, take me somewhere we can be alone","Chorus","Taylor Swift"
14,"I'll be waiting, all there's left to do is run","Chorus","Taylor Swift"
15,"You'll be the prince and I'll be the princess","Chorus","Taylor Swift"
16,"It's a love story, baby, just say ""Yes""","Chorus","Taylor Swift"
17,"So I sneak out to the garden to see you","Verse 2","Taylor Swift"
18,"We keep quiet, 'cause we're dead if they knew","Verse 2","Taylor Swift"
19,"So close your eyes","Verse 2","Taylor Swift"
20,"Escape this town for a little while, oh, oh","Verse 2","Taylor Swift"
21,"'Cause you were Romeo, I was a scarlet letter","Pre-Chorus","Taylor Swift"
22,"And my daddy said, ""Stay away from Juliet""","Pre-Chorus","Taylor Swift"
23,"But you were everything to me","Pre-Chorus","Taylor Swift"
24,"I was begging you, ""Please don't go,"" and I said","Pre-Chorus","Taylor Swift"
25,"Romeo, take me somewhere we can be alone","Chorus","Taylor Swift"
26,"I'll be waiting, all there's left to do is run","Chorus","Taylor Swift"
27,"You'll be the prince and I'll be the princess","Chorus","Taylor Swift"
28,"It's a love story, baby, just say ""Yes""","Chorus","Taylor Swift"
29,"Romeo, save me, they're trying to tell me how to feel","Chorus","Taylor Swift"
30,"This love is difficult, but it's real","Chorus","Taylor Swift"
31,"Don't be afraid, we'll make it out of this mess","Chorus","Taylor Swift"
32,"It's a love story, baby, just say ""Yes""","Chorus","Taylor Swift"
33,"Oh, oh","Post-Chorus","Taylor Swift"
34,"I got tired of waiting","Bridge","Taylor Swift"
35,"Wondering if you were ever coming around","Bridge","Taylor Swift"
36,"My faith in you was fading","Bridge","Taylor Swift"
37,"When I met you on the outskirts of town","Bridge","Taylor Swift"
38,"And I said, ""Romeo, save me, I've been feeling so alone","Breakdown","Taylor Swift"
39,"I keep waiting for you but you never come","Breakdown","Taylor Swift"
40,"Is this in my head? I don't know what to think""","Breakdown","Taylor Swift"
41,"He knelt to the ground and pulled out a ring, and said","Breakdown","Taylor Swift"
42,"""Marry me, Juliet, you'll never have to be alone","Chorus","Taylor Swift"
43,"I love you, and that's all I really know","Chorus","Taylor Swift"
44,"I talked to your dad, go pick out a white dress","Chorus","Taylor Swift"
45,"It's a love story, baby, just say 'Yes'""","Chorus","Taylor Swift"
46,"Oh, oh, oh","Outro","Taylor Swift"
47,"Oh, oh, oh","Outro","Taylor Swift"
48,"'Cause we were both young when I first saw you","Outro","Taylor Swift"
