"line","lyric","element","element_artist"
1,"We could leave the Christmas lights up 'til January","Verse 1","Taylor Swift"
2,"And this is our place, we make the rules","Verse 1","Taylor Swift"
3,"And there's a dazzling haze, a mysterious way about you, dear","Verse 1","Taylor Swift"
4,"Have I known you 20 seconds or 20 years?","Verse 1","Taylor Swift"
5,"Can I go where you go?","Chorus","Taylor Swift"
6,"Can we always be this close?","Chorus","Taylor Swift"
7,"Forever and ever, ah","Chorus","Taylor Swift"
8,"Take me out, and take me home","Chorus","Taylor Swift"
9,"You're my, my, my, my lover","Chorus","Taylor Swift"
10,"We could light a bunch of candles","Verse 2","Taylor Swift"
11,"And dance around the kitchen, baby","Verse 2","Taylor Swift"
12,"Pictures of when we were young would hang on the wall","Verse 2","Taylor Swift"
13,"We would sit on the stoop","Verse 2","Taylor Swift"
14,"I'll sing love songs to you when we're eighty","Verse 2","Taylor Swift"
15,"See, I finally got you now, honey, I won't let you fall","Verse 2","Taylor Swift"
16,"Can I go where you go?","Chorus","Taylor Swift"
17,"Can we always be this close?","Chorus","Taylor Swift"
18,"Forever and ever, ah","Chorus","Taylor Swift"
19,"Take me out, and take me home (Forever and ever)","Chorus","Taylor Swift"
20,"You're my, my, my, my lover","Chorus","Taylor Swift"
21,"Ladies and gentlemen, will you please stand?","Bridge","Taylor Swift"
22,"With every guitar string scar on my hand","Bridge","Taylor Swift"
23,"I take this magnetic force of a man to be my lover","Bridge","Taylor Swift"
24,"Look in my eyes, they will tell you the truth","Bridge","Taylor Swift"
25,"The girl in my story has always been you","Bridge","Taylor Swift"
26,"I'd go down with the Titanic, it's true, for you, lover","Bridge","Taylor Swift"
27,"And you'll save all your dirtiest jokes for me","Bridge","Taylor Swift"
28,"And at every table, I'll save you a seat, lover (Save you a seat)","Bridge","Taylor Swift"
29,"Can I go where you go? (Can I go where you go, baby?)","Chorus","Taylor Swift"
30,"Can we always be this close?","Chorus","Taylor Swift"
31,"Forever and ever, ah","Chorus","Taylor Swift"
32,"Take me out, and take me home (Forever and ever)","Chorus","Taylor Swift"
33,"You're my, my, my, my","Chorus","Taylor Swift"
34,"Oh, you're my, my, my, my","Chorus","Taylor Swift"
35,"Darling, you're my, my, my, my lover","Chorus","Taylor Swift"
