"line","lyric","element","element_artist"
1,"Your little hand's wrapped around my finger","Verse 1","Taylor Swift"
2,"And it's so quiet in the world tonight","Verse 1","Taylor Swift"
3,"Your little eyelids flutter cause you're dreaming","Verse 1","Taylor Swift"
4,"So I tuck you in, turn on your favorite night light","Verse 1","Taylor Swift"
5,"To you everything's funny, you got nothing to regret","Verse 1","Taylor Swift"
6,"I'd give all I have, honey","Verse 1","Taylor Swift"
7,"If you could stay like that","Verse 1","Taylor Swift"
8,"Oh darling, don't you ever grow up","Chorus","Taylor Swift"
9,"Don't you ever grow up, just stay this little","Chorus","Taylor Swift"
10,"Oh darling, don't you ever grow up","Chorus","Taylor Swift"
11,"Don't you ever grow up, it could stay this simple","Chorus","Taylor Swift"
12,"I won't let nobody hurt you, won't let no one break your heart","Chorus","Taylor Swift"
13,"And no one will desert you","Chorus","Taylor Swift"
14,"Just try to never grow up, never grow up","Chorus","Taylor Swift"
15,"You're in the car on the way to the movies","Verse 2","Taylor Swift"
16,"And you're mortified your mom's dropping you off","Verse 2","Taylor Swift"
17,"At fourteen, there's just so much you can't do","Verse 2","Taylor Swift"
18,"And you can't wait to move out someday and call your own shots","Verse 2","Taylor Swift"
19,"But don't make her drop you off around the block","Verse 2","Taylor Swift"
20,"Remember that she's getting older too","Verse 2","Taylor Swift"
21,"And don't lose the way that you dance around in your pj's getting ready for school","Verse 2","Taylor Swift"
22,"Oh darling, don't you ever grow up","Chorus","Taylor Swift"
23,"Don't you ever grow up, just stay this little","Chorus","Taylor Swift"
24,"Oh darling, don't you ever grow up","Chorus","Taylor Swift"
25,"Don't you ever grow up, it could stay this simple","Chorus","Taylor Swift"
26,"No one's ever burned you, nothing's ever left you scarred","Chorus","Taylor Swift"
27,"And even though you want to, just try to never grow up","Chorus","Taylor Swift"
28,"Take pictures in your mind of your childhood room","Bridge","Taylor Swift"
29,"Memorize what it sounded like when your dad gets home","Bridge","Taylor Swift"
30,"Remember the footsteps, remember the words said","Bridge","Taylor Swift"
31,"And all your little brother's favorite songs","Bridge","Taylor Swift"
32,"I just realized everything I have is someday gonna be gone","Bridge","Taylor Swift"
33,"So here I am in my new apartment","Bridge","Taylor Swift"
34,"In a big city, they just dropped me off","Bridge","Taylor Swift"
35,"It's so much colder than I thought it would be","Bridge","Taylor Swift"
36,"So I tuck myself in and turn my night light on","Bridge","Taylor Swift"
37,"Wish I'd never grown up","Bridge","Taylor Swift"
38,"I wish I'd never grown up","Bridge","Taylor Swift"
39,"Oh, I don't wanna grow up, wish I'd never grown up","Chorus","Taylor Swift"
40,"I could still be little","Chorus","Taylor Swift"
41,"Oh, I don't wanna grow up, wish I'd never grown up","Chorus","Taylor Swift"
42,"It could still be simple","Chorus","Taylor Swift"
43,"Oh darling, don't you ever grow up","Chorus","Taylor Swift"
44,"Don't you ever grow up, just stay this little","Chorus","Taylor Swift"
45,"Oh darling, don't you ever grow up","Chorus","Taylor Swift"
46,"Don't you ever grow up, it could stay this simple","Chorus","Taylor Swift"
47,"Won't let nobody hurt you","Chorus","Taylor Swift"
48,"Won't let no one break your heart","Chorus","Taylor Swift"
49,"And even though you want to, please try to never grow up","Chorus","Taylor Swift"
50,"Oh, don't you ever grow up","Chorus","Taylor Swift"
51,"Oh, never grow up, just never grow up","Chorus","Taylor Swift"
