"line","lyric","element","element_artist"
1,"We're all bored, we're all so tired of everything","Verse 1","Taylor Swift"
2,"We wait for trains that just aren't coming","Verse 1","Taylor Swift"
3,"We show off our different scarlet letters","Verse 1","Taylor Swift"
4,"Trust me, mine is better","Verse 1","Taylor Swift"
5,"We're so young, but we're on the road to ruin","Verse 1","Taylor Swift"
6,"We play dumb, but we know exactly what we're doing","Verse 1","Taylor Swift"
7,"We cry tears of mascara in the bathroom","Verse 1","Taylor Swift"
8,"Honey, life is just a classroom","Verse 1","Taylor Swift"
9,"(Ah, ah, ah, ah, ah, ah)","Verse 1","Taylor Swift"
10,"'Cause baby, I could build a castle","Chorus","Taylor Swift"
11,"Out of all the bricks they threw at me","Chorus","Taylor Swift"
12,"And every day is like a battle","Chorus","Taylor Swift"
13,"But every night with us is like a dream","Chorus","Taylor Swift"
14,"Baby, we're the new romantics","Chorus","Taylor Swift"
15,"Come on, come along with me","Chorus","Taylor Swift"
16,"Heartbreak is the national anthem","Chorus","Taylor Swift"
17,"We sing it proudly","Chorus","Taylor Swift"
18,"We are too busy dancing to get knocked off our feet","Chorus","Taylor Swift"
19,"Baby, we're the new romantics","Chorus","Taylor Swift"
20,"The best people in life are free","Chorus","Taylor Swift"
21,"We're all here, the lights and noise are blinding","Verse 2","Taylor Swift"
22,"We hang back, it's all in the timing","Verse 2","Taylor Swift"
23,"It's poker","Verse 2","Taylor Swift"
24,"He can't see it in my face","Verse 2","Taylor Swift"
25,"But I'm about to play my Ace (Ahh)","Verse 2","Taylor Swift"
26,"We need love, but all we want is danger","Verse 2","Taylor Swift"
27,"We team up, then switch sides like a record changer","Verse 2","Taylor Swift"
28,"The rumors are terrible and cruel","Verse 2","Taylor Swift"
29,"But honey, most of them are true","Verse 2","Taylor Swift"
30,"(Ah, ah, ah, ah, ah, ah)","Verse 2","Taylor Swift"
31,"'Cause baby, I could build a castle","Chorus","Taylor Swift"
32,"Out of all the bricks they threw at me","Chorus","Taylor Swift"
33,"And every day is like a battle","Chorus","Taylor Swift"
34,"But every night with us is like a dream","Chorus","Taylor Swift"
35,"Baby, we're the new romantics","Chorus","Taylor Swift"
36,"Come on, come along with me","Chorus","Taylor Swift"
37,"Heartbreak is the national anthem","Chorus","Taylor Swift"
38,"We sing it proudly","Chorus","Taylor Swift"
39,"We are too busy dancing (Yeah) to get knocked off our feet","Chorus","Taylor Swift"
40,"Baby, we're the new romantics","Chorus","Taylor Swift"
41,"The best people in life are free","Chorus","Taylor Swift"
42,"(Oh, oh, oh-oh, oh)","Post-Chorus","Taylor Swift"
43,"Oh-oh","Post-Chorus","Taylor Swift"
44,"(Oh, oh, oh-oh, oh)","Post-Chorus","Taylor Swift"
45,"So, come on, come along with me","Post-Chorus","Taylor Swift"
46,"(Oh, oh, oh-oh, oh)","Post-Chorus","Taylor Swift"
47,"The best people in life are free","Post-Chorus","Taylor Swift"
48,"(Oh, oh, oh-oh, oh)","Post-Chorus","Taylor Swift"
49,"Please take my hand and","Bridge","Taylor Swift"
50,"Please take me dancing, and","Bridge","Taylor Swift"
51,"Please leave me stranded","Bridge","Taylor Swift"
52,"It's so romantic (it's so romantic)","Bridge","Taylor Swift"
53,"(Ah, ah, ah, ah, ah, ah)","Bridge","Taylor Swift"
54,"Oh, 'cause baby, I could build a castle","Breakdown","Taylor Swift"
55,"Out of all the bricks they threw at me","Breakdown","Taylor Swift"
56,"And every day is like a battle, oh-oh","Breakdown","Taylor Swift"
57,"But every night with us is like a dream","Breakdown","Taylor Swift"
58,"'Cause baby, I could build a castle (castle)","Chorus","Taylor Swift"
59,"Out of all the bricks they threw at me","Chorus","Taylor Swift"
60,"And every day is like a battle","Chorus","Taylor Swift"
61,"But every night with us is like a dream","Chorus","Taylor Swift"
62,"Baby, we're the new romantics","Chorus","Taylor Swift"
63,"Come on, come along with me","Chorus","Taylor Swift"
64,"Heartbreak is the national anthem","Chorus","Taylor Swift"
65,"We sing it proudly","Chorus","Taylor Swift"
66,"We are too busy dancing to get knocked off our feet","Chorus","Taylor Swift"
67,"Baby, we're the new romantics","Chorus","Taylor Swift"
68,"The best people in life are free","Chorus","Taylor Swift"
