"line","lyric","element","element_artist"
1,"Loving him is like","Verse 1","Taylor Swift"
2,"Driving a new Maserati down a dead-end street","Verse 1","Taylor Swift"
3,"Faster than the wind, passionate as sin","Verse 1","Taylor Swift"
4,"Ending so suddenly","Verse 1","Taylor Swift"
5,"Loving him is like tryin' to change your mind","Verse 1","Taylor Swift"
6,"Once you're already flying through the free fall","Verse 1","Taylor Swift"
7,"Like the colors in autumn, so bright","Verse 1","Taylor Swift"
8,"Just before they lose it all","Verse 1","Taylor Swift"
9,"Losing him was blue like I'd never known","Chorus","Taylor Swift"
10,"Missing him was dark gray, all alone","Chorus","Taylor Swift"
11,"Forgetting him was like","Chorus","Taylor Swift"
12,"Tryin' to know somebody you never met","Chorus","Taylor Swift"
13,"But loving him was red","Chorus","Taylor Swift"
14,"(Red, red)","Post-Chorus","Taylor Swift"
15,"(Red, red)","Post-Chorus","Taylor Swift"
16,"Loving him was red","Post-Chorus","Taylor Swift"
17,"(Red, red)","Post-Chorus","Taylor Swift"
18,"(Red, red)","Post-Chorus","Taylor Swift"
19,"Touching him was like","Verse 2","Taylor Swift"
20,"Realizing all you ever wanted was right there in front of you","Verse 2","Taylor Swift"
21,"Memorizing him was as","Verse 2","Taylor Swift"
22,"Easy as knowing all the words to your old favorite song","Verse 2","Taylor Swift"
23,"Fighting with him was like","Verse 2","Taylor Swift"
24,"Trying to solve a crossword and realizing there's no right answer","Verse 2","Taylor Swift"
25,"Regretting him was like","Verse 2","Taylor Swift"
26,"Wishing you never found out that love could be that strong","Verse 2","Taylor Swift"
27,"Losing him was blue like I'd never known","Chorus","Taylor Swift"
28,"Missing him was dark gray, all alone (Whoa)","Chorus","Taylor Swift"
29,"Forgetting him was like","Chorus","Taylor Swift"
30,"Tryin' to know somebody you never met","Chorus","Taylor Swift"
31,"But loving him was red","Chorus","Taylor Swift"
32,"(Red, red)","Post-Chorus","Taylor Swift"
33,"Oh, red (Red, red)","Post-Chorus","Taylor Swift"
34,"Burning red (Red, red)","Post-Chorus","Taylor Swift"
35,"(Red, red)","Post-Chorus","Taylor Swift"
36,"Remembering him comes in flashbacks and echoes","Bridge","Taylor Swift"
37,"Tell myself it's time now, gotta let go","Bridge","Taylor Swift"
38,"But moving on from him is impossible","Bridge","Taylor Swift"
39,"When I still see it all in my head","Bridge","Taylor Swift"
40,"In burning red","Bridge","Taylor Swift"
41,"Burning, it was red","Bridge","Taylor Swift"
42,"Oh, losing him was blue like I'd never known","Chorus","Taylor Swift"
43,"Missing him was dark gray, all alone (Whoa)","Chorus","Taylor Swift"
44,"Forgetting him was like","Chorus","Taylor Swift"
45,"Tryin' to know somebody you never met","Chorus","Taylor Swift"
46,"'Cause loving him was red","Chorus","Taylor Swift"
47,"(Red, red) Yeah, yeah, red (Red, red)","Post-Chorus","Taylor Swift"
48,"Burning red (Red, red)","Post-Chorus","Taylor Swift"
49,"(Red, red)","Post-Chorus","Taylor Swift"
50,"And that's why (Red, red) he's spinning 'round in my head","Post-Chorus","Taylor Swift"
51,"Comes back to me (Red, red), burning red","Post-Chorus","Taylor Swift"
52,"(Red, red) Yeah, yeah","Post-Chorus","Taylor Swift"
53,"(Red, red)","Post-Chorus","Taylor Swift"
54,"His love was like","Outro","Taylor Swift"
55,"Driving a new Maserati down a dead-end street","Outro","Taylor Swift"
