"line","lyric","element","element_artist"
1,"Loving him is like","Verse 1","Taylor Swift"
2,"Driving a new Maserati down a dead end street","Verse 1","Taylor Swift"
3,"Faster than the wind, passionate as sin, ending so suddenly","Verse 1","Taylor Swift"
4,"Loving him is like","Verse 1","Taylor Swift"
5,"Trying to change your mind once you're already flying through the freefall","Verse 1","Taylor Swift"
6,"Like the colors in autumn","Verse 1","Taylor Swift"
7,"So bright, just before they lose it all","Verse 1","Taylor Swift"
8,"Losing him was blue like I'd never known","Chorus","Taylor Swift"
9,"Missing him was dark grey, all alone","Chorus","Taylor Swift"
10,"Forgetting him was like trying to know somebody you've never met","Chorus","Taylor Swift"
11,"But loving him was red","Chorus","Taylor Swift"
12,"Loving him was red","Chorus","Taylor Swift"
13,"Touching him was like","Verse 2","Taylor Swift"
14,"Realizing all you ever wanted was right there in front of you","Verse 2","Taylor Swift"
15,"Memorizing him was as","Verse 2","Taylor Swift"
16,"Easy as knowing all the words to your old favorite song","Verse 2","Taylor Swift"
17,"Fighting with him was like","Verse 2","Taylor Swift"
18,"Trying to solve a crossword and realizing there's no right answer","Verse 2","Taylor Swift"
19,"Regretting him was like","Verse 2","Taylor Swift"
20,"Wishing you never found out that love could be that strong","Verse 2","Taylor Swift"
21,"Losing him was blue like I'd never known","Chorus","Taylor Swift"
22,"Missing him was dark grey, all alone","Chorus","Taylor Swift"
23,"Forgetting him was like trying to know somebody you've never met","Chorus","Taylor Swift"
24,"But loving him was red","Chorus","Taylor Swift"
25,"Oh, red","Chorus","Taylor Swift"
26,"Burning red","Chorus","Taylor Swift"
27,"Remembering him comes in flashbacks and echoes","Bridge","Taylor Swift"
28,"Tell myself it's time now, gotta let go","Bridge","Taylor Swift"
29,"But moving on from him is impossible","Bridge","Taylor Swift"
30,"When I still see it all in my head","Bridge","Taylor Swift"
31,"In burning red","Bridge","Taylor Swift"
32,"Burning, it was red","Bridge","Taylor Swift"
33,"Losing him was blue like I'd never known","Chorus","Taylor Swift"
34,"Missing him was dark grey, all alone","Chorus","Taylor Swift"
35,"Forgetting him was like trying to know somebody you never met","Chorus","Taylor Swift"
36,"'Cause loving him was red","Chorus","Taylor Swift"
37,"Yeah, yeah, red","Chorus","Taylor Swift"
38,"We're burning red","Chorus","Taylor Swift"
39,"And that's why he's spinning 'round in my head","Breakdown","Taylor Swift"
40,"Burning red, burning red","Breakdown","Taylor Swift"
41,"His love was like","Outro","Taylor Swift"
42,"Driving a new Maserati down a dead end street","Outro","Taylor Swift"
