"line","lyric","element","element_artist"
1,"I stay out too late","Verse 1","Taylor Swift"
2,"Got nothing in my brain","Verse 1","Taylor Swift"
3,"That's what people say, mmm-mmm","Verse 1","Taylor Swift"
4,"That's what people say, mmm-mmm","Verse 1","Taylor Swift"
5,"I go on too many dates","Verse 1","Taylor Swift"
6,"But I can't make them stay","Verse 1","Taylor Swift"
7,"At least that's what people say, mmm-mmm","Verse 1","Taylor Swift"
8,"That's what people say, mmm-mmm","Verse 1","Taylor Swift"
9,"But I keep cruisin'","Pre-Chorus","Taylor Swift"
10,"Can't stop, won't stop movin'","Pre-Chorus","Taylor Swift"
11,"It's like I got this music in my mind","Pre-Chorus","Taylor Swift"
12,"Sayin' it's gonna be alright","Pre-Chorus","Taylor Swift"
13,"'Cause the players gonna play, play, play, play, play","Chorus","Taylor Swift"
14,"And the haters gonna hate, hate, hate, hate, hate","Chorus","Taylor Swift"
15,"Baby, I'm just gonna shake, shake, shake, shake, shake","Chorus","Taylor Swift"
16,"I shake it off, I shake it off","Chorus","Taylor Swift"
17,"Heartbreakers gonna break, break, break, break, break","Chorus","Taylor Swift"
18,"And the fakers gonna fake, fake, fake, fake, fake","Chorus","Taylor Swift"
19,"Baby, I'm just gonna shake, shake, shake, shake, shake","Chorus","Taylor Swift"
20,"I shake it off, I shake it off","Chorus","Taylor Swift"
21,"I never miss a beat","Verse 2","Taylor Swift"
22,"I'm lightning on my feet","Verse 2","Taylor Swift"
23,"And that's what they don't see, mmm-mmm","Verse 2","Taylor Swift"
24,"That's what they don't see, mmm-mmm","Verse 2","Taylor Swift"
25,"I'm dancin' on my own (Dancin' on my own)","Verse 2","Taylor Swift"
26,"I make the moves up as I go (Moves up as I go)","Verse 2","Taylor Swift"
27,"And that's what they don't know, mmm-mmm","Verse 2","Taylor Swift"
28,"That's what they don't know, mmm-mmm","Verse 2","Taylor Swift"
29,"But I keep cruisin'","Pre-Chorus","Taylor Swift"
30,"Can't stop, won't stop groovin'","Pre-Chorus","Taylor Swift"
31,"It's like I got this music in my mind","Pre-Chorus","Taylor Swift"
32,"Sayin' it's gonna be alright","Pre-Chorus","Taylor Swift"
33,"'Cause the players gonna play, play, play, play, play","Chorus","Taylor Swift"
34,"And the haters gonna hate, hate, hate, hate, hate","Chorus","Taylor Swift"
35,"Baby, I'm just gonna shake, shake, shake, shake, shake","Chorus","Taylor Swift"
36,"I shake it off, I shake it off","Chorus","Taylor Swift"
37,"Heartbreakers gonna break, break, break, break, break","Chorus","Taylor Swift"
38,"And the fakers gonna fake, fake, fake, fake, fake","Chorus","Taylor Swift"
39,"Baby, I'm just gonna shake, shake, shake, shake, shake","Chorus","Taylor Swift"
40,"I shake it off, I shake it off","Chorus","Taylor Swift"
41,"Shake it off, I shake it off","Post-Chorus","Taylor Swift"
42,"I, I, I shake it off, I shake it off","Post-Chorus","Taylor Swift"
43,"I, I, I shake it off, I shake it off","Post-Chorus","Taylor Swift"
44,"I, I, I shake it off, I shake it off","Post-Chorus","Taylor Swift"
45,"Hey, hey, hey","Interlude","Taylor Swift"
46,"Just think, while you've been gettin' down and out about the liars","Interlude","Taylor Swift"
47,"And the dirty, dirty cheats of the world","Interlude","Taylor Swift"
48,"You could've been gettin' down","Interlude","Taylor Swift"
49,"To this sick beat","Interlude","Taylor Swift"
50,"My ex-man brought his new girlfriend","Bridge","Taylor Swift"
51,"She's like, ""Oh my God!"" But I'm just gonna shake","Bridge","Taylor Swift"
52,"And to the fella over there with the hella good hair","Bridge","Taylor Swift"
53,"Won't you come on over, baby?","Bridge","Taylor Swift"
54,"We can shake, shake, shake","Bridge","Taylor Swift"
55,"Yeah, oh, oh, oh","Bridge","Taylor Swift"
56,"'Cause the players gonna play, play, play, play, play","Chorus","Taylor Swift"
57,"And the haters gonna hate, hate, hate, hate, hate","Chorus","Taylor Swift"
58,"(Haters gonna hate)","Chorus","Taylor Swift"
59,"Baby, I'm just gonna shake, shake, shake, shake, shake","Chorus","Taylor Swift"
60,"I shake it off, I shake it off","Chorus","Taylor Swift"
61,"Heartbreakers gonna break, break, break, break, break (Mmm)","Chorus","Taylor Swift"
62,"And the fakers gonna fake, fake, fake, fake, fake","Chorus","Taylor Swift"
63,"(And fake, and fake, and fake)","Chorus","Taylor Swift"
64,"Baby, I'm just gonna shake, shake, shake, shake, shake","Chorus","Taylor Swift"
65,"I shake it off, I shake it off","Chorus","Taylor Swift"
66,"Shake it off, I shake it off","Post-Chorus","Taylor Swift"
67,"I, I, I shake it off, I shake it off","Post-Chorus","Taylor Swift"
68,"I, I, I shake it off, I shake it off","Post-Chorus","Taylor Swift"
69,"I, I, I shake it off, I shake it off","Post-Chorus","Taylor Swift"
70,"Shake it off, I shake it off","Post-Chorus","Taylor Swift"
71,"I, I, I shake it off, I shake it off","Post-Chorus","Taylor Swift"
72,"I, I, I shake it off, I shake it off","Post-Chorus","Taylor Swift"
73,"I, I, I shake it off, I shake it off (Yeah)","Post-Chorus","Taylor Swift"
74,"Shake it off, I shake it off","Post-Chorus","Taylor Swift"
75,"I, I, I shake it off, I shake it off (You got to)","Post-Chorus","Taylor Swift"
76,"I, I, I shake it off, I shake it off","Post-Chorus","Taylor Swift"
77,"I, I, I shake it off, I shake it off","Post-Chorus","Taylor Swift"
