"line","lyric","element","element_artist"
1,"The way you move is like a full on rainstorm","Verse 1","Taylor Swift"
2,"And I'm a house of cards","Verse 1","Taylor Swift"
3,"You're the kind of reckless","Verse 1","Taylor Swift"
4,"That should send me running","Verse 1","Taylor Swift"
5,"But I kinda know that I won't get far","Verse 1","Taylor Swift"
6,"And you stood there in front of me","Verse 1","Taylor Swift"
7,"Just close enough to touch","Verse 1","Taylor Swift"
8,"Close enough to hope you couldn't see","Verse 1","Taylor Swift"
9,"What I was thinking of","Verse 1","Taylor Swift"
10,"Drop everything now","Chorus","Taylor Swift"
11,"Meet me in the pouring rain","Chorus","Taylor Swift"
12,"Kiss me on the sidewalk","Chorus","Taylor Swift"
13,"Take away the pain","Chorus","Taylor Swift"
14,"'Cause I see sparks fly whenever you smile","Chorus","Taylor Swift"
15,"Get me with those green eyes, baby, as the lights go down","Chorus","Taylor Swift"
16,"Give me something that'll haunt me when you're not around","Chorus","Taylor Swift"
17,"'Cause I see sparks fly whenever you smile","Chorus","Taylor Swift"
18,"My mind forgets to remind me","Verse 2","Taylor Swift"
19,"You're a bad idea","Verse 2","Taylor Swift"
20,"You touch me once and it's really something","Verse 2","Taylor Swift"
21,"You find I'm even better than you imagined I would be","Verse 2","Taylor Swift"
22,"I'm on my guard for the rest of the world","Verse 2","Taylor Swift"
23,"But with you I know it's no good","Verse 2","Taylor Swift"
24,"And I could wait patiently but I really wish you would","Verse 2","Taylor Swift"
25,"Drop everything now","Chorus","Taylor Swift"
26,"Meet me in the pouring rain","Chorus","Taylor Swift"
27,"Kiss me on the sidewalk","Chorus","Taylor Swift"
28,"Take away the pain","Chorus","Taylor Swift"
29,"'Cause I see sparks fly whenever you smile","Chorus","Taylor Swift"
30,"Get me with those green eyes, baby, as the lights go down","Chorus","Taylor Swift"
31,"Give me something that'll haunt me when you're not around","Chorus","Taylor Swift"
32,"'Cause I see sparks fly whenever you smile","Chorus","Taylor Swift"
33,"I run my fingers through your hair and watch the lights go wild","Bridge","Taylor Swift"
34,"Just keep on keeping your eyes on me","Bridge","Taylor Swift"
35,"It's just wrong enough to make it feel right","Bridge","Taylor Swift"
36,"And lead me up the staircase","Bridge","Taylor Swift"
37,"Won't you whisper soft and slow?","Bridge","Taylor Swift"
38,"I'm captivated by you, baby, like a firework show","Bridge","Taylor Swift"
39,"Drop everything now","Chorus","Taylor Swift"
40,"Meet me in the pouring rain","Chorus","Taylor Swift"
41,"Kiss me on the sidewalk","Chorus","Taylor Swift"
42,"Take away the pain","Chorus","Taylor Swift"
43,"'Cause I see sparks fly whenever you smile","Chorus","Taylor Swift"
44,"Get me with those green eyes, baby, as the lights go down","Chorus","Taylor Swift"
45,"Give me something that'll haunt me when you're not around","Chorus","Taylor Swift"
46,"'Cause I see sparks fly whenever you smile","Chorus","Taylor Swift"
47,"And the sparks fly","Outro","Taylor Swift"
48,"Oh, baby, smile","Outro","Taylor Swift"
49,"And the sparks fly","Outro","Taylor Swift"
