"line","lyric","element","element_artist"
1,"I'm walking fast through the traffic lights","Verse 1","Taylor Swift"
2,"Busy streets and busy lives","Verse 1","Taylor Swift"
3,"And all we know is touch and go","Verse 1","Taylor Swift"
4,"We are alone with our changing minds","Verse 1","Taylor Swift"
5,"We fall in love 'til it hurts or bleeds","Verse 1","Taylor Swift"
6,"Or fades in time","Verse 1","Taylor Swift"
7,"And I never (Never)","Chorus","Taylor Swift"
8,"Saw you coming","Chorus","Taylor Swift"
9,"And I'll never (Never)","Chorus","Taylor Swift"
10,"Be the same","Chorus","Taylor Swift"
11,"You come around and the armor falls","Verse 2","Taylor Swift"
12,"Pierce the room like a cannonball","Verse 2","Taylor Swift"
13,"Now all we know is don't let go","Verse 2","Taylor Swift"
14,"We are alone, just you and me","Verse 2","Taylor Swift"
15,"Up in your room and our slates are clean","Verse 2","Taylor Swift"
16,"Just twin fire signs, four blue eyes","Verse 2","Taylor Swift"
17,"So you were never a saint","Pre-Chorus","Taylor Swift"
18,"And I've loved in shades of wrong","Pre-Chorus","Taylor Swift"
19,"We learn to live with the pain","Pre-Chorus","Taylor Swift"
20,"Mosaic broken hearts","Pre-Chorus","Taylor Swift"
21,"But this love is brave and wild","Pre-Chorus","Taylor Swift"
22,"And I never (Never)","Chorus","Taylor Swift"
23,"Saw you coming","Chorus","Taylor Swift"
24,"And I'll never (Never)","Chorus","Taylor Swift"
25,"Be the same","Chorus","Taylor Swift"
26,"This is a state of grace","Bridge","Taylor Swift"
27,"This is the worthwhile fight","Bridge","Taylor Swift"
28,"Love is a ruthless game","Bridge","Taylor Swift"
29,"Unless you play it good and right","Bridge","Taylor Swift"
30,"These are the hands of fate","Bridge","Taylor Swift"
31,"You're my Achilles heel","Bridge","Taylor Swift"
32,"This is the golden age","Bridge","Taylor Swift"
33,"Of something good and right and real","Bridge","Taylor Swift"
34,"And I never (Never)","Chorus","Taylor Swift"
35,"Saw you coming","Chorus","Taylor Swift"
36,"And I'll never","Chorus","Taylor Swift"
37,"Be the same","Chorus","Taylor Swift"
38,"And I never (Never)","Chorus","Taylor Swift"
39,"Saw you coming","Chorus","Taylor Swift"
40,"And I'll never (So you were never a saint)","Chorus","Taylor Swift"
41,"(And I've loved in shades of wrong)","Chorus","Taylor Swift"
42,"Be the same (We learn to live with the pain)","Chorus","Taylor Swift"
43,"(Mosaic broken hearts)","Chorus","Taylor Swift"
44,"(But this love is brave and wild)","Chorus","Taylor Swift"
45,"This is a state of grace","Outro","Taylor Swift"
46,"This is the worthwhile fight","Outro","Taylor Swift"
47,"Love is a ruthless game","Outro","Taylor Swift"
48,"Unless you play it good and right","Outro","Taylor Swift"
