"line","lyric","element","element_artist"
1,"I'm walking fast through the traffic lights","Verse 1","Taylor Swift"
2,"Busy streets and busy lives","Verse 1","Taylor Swift"
3,"And all we know is touch and go","Verse 1","Taylor Swift"
4,"We are alone with our changing minds","Verse 1","Taylor Swift"
5,"We fall in love till it hurts or bleeds, or fades in time","Verse 1","Taylor Swift"
6,"And I never saw you coming","Chorus","Taylor Swift"
7,"And I'll never be the same","Chorus","Taylor Swift"
8,"You come around and the armor falls","Verse 2","Taylor Swift"
9,"Pierce the room like a cannon ball","Verse 2","Taylor Swift"
10,"Now all we know, is don't let go","Verse 2","Taylor Swift"
11,"We are alone just you and me","Verse 2","Taylor Swift"
12,"Up in your room and our slates are clean","Verse 2","Taylor Swift"
13,"Just twin fire signs, four blue eyes","Verse 2","Taylor Swift"
14,"So you were never a saint","Pre-Chorus","Taylor Swift"
15,"And I've loved in shades of wrong","Pre-Chorus","Taylor Swift"
16,"We learn to live with the pain","Pre-Chorus","Taylor Swift"
17,"Mosaic broken hearts","Pre-Chorus","Taylor Swift"
18,"But this love is brave and wild","Pre-Chorus","Taylor Swift"
19,"And I never saw you coming","Chorus","Taylor Swift"
20,"And I'll never be the same","Chorus","Taylor Swift"
21,"This is a state of grace","Bridge","Taylor Swift"
22,"This is the worthwhile fight","Bridge","Taylor Swift"
23,"Love is a ruthless game","Bridge","Taylor Swift"
24,"Unless you play it good and right","Bridge","Taylor Swift"
25,"These are the hands of fate","Bridge","Taylor Swift"
26,"You're my Achilles heel","Bridge","Taylor Swift"
27,"This is the golden age of something good","Bridge","Taylor Swift"
28,"And right and real","Bridge","Taylor Swift"
29,"And I never saw you coming","Chorus","Taylor Swift"
30,"And I'll never be the same","Chorus","Taylor Swift"
31,"And I never saw you coming","Chorus","Taylor Swift"
32,"And I'll never be the same","Chorus","Taylor Swift"
33,"This is a state of grace","Outro","Taylor Swift"
34,"This is a worthwhile fight","Outro","Taylor Swift"
35,"Love is a ruthless game","Outro","Taylor Swift"
36,"Unless you play it good and right","Outro","Taylor Swift"
