"line","lyric","element","element_artist"
1,"Hit the ground, hit the ground, hit the ground (oh, oh)","Verse 1","Taylor Swift"
2,"Only sound, only sound that you hear is ""no""","Verse 1","Taylor Swift"
3,"You never saw it coming","Verse 1","Taylor Swift"
4,"Slipped when you started running","Verse 1","Taylor Swift"
5,"And now you've come undone and (I, I, I, I)","Verse 1","Taylor Swift"
6,"Seen you fall, seen you crawl on your knees (eh, eh)","Verse 1","Taylor Swift"
7,"Seen you lost in a crowd, seen your colors fade","Verse 1","Taylor Swift"
8,"Wish I could make it better","Verse 1","Taylor Swift"
9,"Someday you won't remember","Verse 1","Taylor Swift"
10,"This pain you thought would last forever and ever","Verse 1","Taylor Swift"
11,"There you stand, ten feet tall","Chorus 1","Taylor Swift"
12,"I will say, ""I knew it all along""","Chorus 1","Taylor Swift"
13,"Your eyes are wider than distance","Chorus 1","Taylor Swift"
14,"This life is sweeter than fiction","Chorus 1","Taylor Swift"
15,"Just a shot, just a shot in the dark (oh, oh)","Verse 2","Taylor Swift"
16,"All you got, all you got are your shattered hopes","Verse 2","Taylor Swift"
17,"They never saw it coming","Verse 2","Taylor Swift"
18,"You hit the ground running","Verse 2","Taylor Swift"
19,"And now you're on to something","Verse 2","Taylor Swift"
20,"I, I, I say","Verse 2","Taylor Swift"
21,"What a sight, what a sight when the light came on","Verse 2","Taylor Swift"
22,"Proved me right, proved me right when you proved them wrong","Verse 2","Taylor Swift"
23,"And in this perfect weather","Verse 2","Taylor Swift"
24,"It's like we don't remember","Verse 2","Taylor Swift"
25,"The rain we thought would last forever and ever","Verse 2","Taylor Swift"
26,"There you stand, ten feet tall","Chorus 2","Taylor Swift"
27,"I will say, ""I knew it all along""","Chorus 2","Taylor Swift"
28,"Your eyes are wider than distance","Chorus 2","Taylor Swift"
29,"This life is sweeter than fiction","Chorus 2","Taylor Swift"
30,"There you stand, next to me","Chorus 2","Taylor Swift"
31,"All at once, the rest is history","Chorus 2","Taylor Swift"
32,"Your eyes are wider than distance","Chorus 2","Taylor Swift"
33,"This life is sweeter than fiction, fiction","Chorus 2","Taylor Swift"
34,"I'll be one of the many saying","Bridge","Taylor Swift"
35,"Look at you now, look at you now, now","Bridge","Taylor Swift"
36,"I'll be one of the many saying","Bridge","Taylor Swift"
37,"You made us proud, you made us proud, proud","Bridge","Taylor Swift"
38,"I'll be one of the many saying","Bridge","Taylor Swift"
39,"Look at you now, look at you now, now","Bridge","Taylor Swift"
40,"I'll be one of the many saying","Bridge","Taylor Swift"
41,"You made us proud, you made us proud, proud","Bridge","Taylor Swift"
42,"And when they call your name","Bridge","Taylor Swift"
43,"And they put your picture in a frame","Bridge","Taylor Swift"
44,"You know that I'll be there time and again","Bridge","Taylor Swift"
45,"'Cause I loved you when","Bridge","Taylor Swift"
46,"When you hit the ground, hit the ground, hit the ground, oh oh","Bridge","Taylor Swift"
47,"Only sound, only sound that you heard was ""no""","Bridge","Taylor Swift"
48,"Now in this perfect weather","Bridge","Taylor Swift"
49,"It's like we don't remember","Bridge","Taylor Swift"
50,"The rain we thought would last forever and ever","Bridge","Taylor Swift"
51,"There you stand, ten feet tall","Chorus 2","Taylor Swift"
52,"I will say, ""I knew it all along""","Chorus 2","Taylor Swift"
53,"Your eyes are wider than distance","Chorus 2","Taylor Swift"
54,"This life is sweeter than fiction","Chorus 2","Taylor Swift"
55,"There you stand, next to me","Chorus 2","Taylor Swift"
56,"All at once, the rest is history","Chorus 2","Taylor Swift"
57,"Your eyes are wider than distance","Chorus 2","Taylor Swift"
58,"This life is sweeter than fiction, fiction","Chorus 2","Taylor Swift"
