"line","lyric","element","element_artist"
1,"Drew looks at me","Verse 1","Taylor Swift"
2,"I fake a smile so he won't see","Verse 1","Taylor Swift"
3,"What I want and I need","Verse 1","Taylor Swift"
4,"And everything that we should be","Verse 1","Taylor Swift"
5,"I'll bet she's beautiful","Pre-Chorus 1","Taylor Swift"
6,"That girl he talks about","Pre-Chorus 1","Taylor Swift"
7,"And she's got everything","Pre-Chorus 1","Taylor Swift"
8,"That I have to live without","Pre-Chorus 1","Taylor Swift"
9,"Drew talks to me","Verse 2","Taylor Swift"
10,"I laugh 'cause it's just so funny","Verse 2","Taylor Swift"
11,"But I can't even see","Verse 2","Taylor Swift"
12,"Anyone when he's with me","Verse 2","Taylor Swift"
13,"He says he's so in love","Pre-Chorus 2","Taylor Swift"
14,"He's finally got it right","Pre-Chorus 2","Taylor Swift"
15,"I wonder if he knows","Pre-Chorus 2","Taylor Swift"
16,"He's all I think about at night","Pre-Chorus 2","Taylor Swift"
17,"He's the reason for the teardrops on my guitar","Chorus","Taylor Swift"
18,"The only thing that keeps me wishing on a wishing star","Chorus","Taylor Swift"
19,"He's the song in the car I keep singing","Chorus","Taylor Swift"
20,"Don't know why I do","Chorus","Taylor Swift"
21,"Drew walks by me","Verse 3","Taylor Swift"
22,"Can he tell that I can't breathe?","Verse 3","Taylor Swift"
23,"And there he goes, so perfectly","Verse 3","Taylor Swift"
24,"The kind of flawless I wish I could be","Verse 3","Taylor Swift"
25,"She better hold him tight","Pre-Chorus 3","Taylor Swift"
26,"Give him all her love","Pre-Chorus 3","Taylor Swift"
27,"Look in those beautiful eyes","Pre-Chorus 3","Taylor Swift"
28,"And know she's lucky 'cause","Pre-Chorus 3","Taylor Swift"
29,"He's the reason for the teardrops on my guitar","Chorus","Taylor Swift"
30,"The only thing that keeps me wishing on a wishing star","Chorus","Taylor Swift"
31,"He's the song in the car I keep singing","Chorus","Taylor Swift"
32,"Don't know why I do","Chorus","Taylor Swift"
33,"So I drive home alone","Bridge","Taylor Swift"
34,"As I turn out the light","Bridge","Taylor Swift"
35,"I'll put his picture down","Bridge","Taylor Swift"
36,"And maybe get some sleep tonight","Bridge","Taylor Swift"
37,"'Cause he's the reason for the teardrops on my guitar","Chorus","Taylor Swift"
38,"The only one who's got enough of me to break my heart","Chorus","Taylor Swift"
39,"He's the song in the car I keep singing","Chorus","Taylor Swift"
40,"Don't know why I do","Chorus","Taylor Swift"
41,"He's the time taken up, but there's never enough","Outro","Taylor Swift"
42,"And he's all that I need to fall into","Outro","Taylor Swift"
43,"Drew looks at me","Outro","Taylor Swift"
44,"I fake a smile so he won't see","Outro","Taylor Swift"
