"line","lyric","element","element_artist"
1,"New to town with a made up name","Verse 1","Taylor Swift"
2,"In the angel's city, chasing fortune and fame","Verse 1","Taylor Swift"
3,"And the camera flashes make it look like a dream","Verse 1","Taylor Swift"
4,"You had it figured out since you were in school","Verse 1","Taylor Swift"
5,"Everybody loves pretty, everybody loves cool","Verse 1","Taylor Swift"
6,"So overnight, you look like a sixties queen","Verse 1","Taylor Swift"
7,"Another name goes up in lights","Pre-Chorus 1","Taylor Swift"
8,"Like diamonds in the sky","Pre-Chorus 1","Taylor Swift"
9,"And they'll tell you now, you're the lucky one","Chorus 1","Taylor Swift"
10,"Yeah, they'll tell you now, you're the lucky one","Chorus 1","Taylor Swift"
11,"But can you tell me now, you're the lucky one?","Chorus 1","Taylor Swift"
12,"Oh, oh, oh","Chorus 1","Taylor Swift"
13,"Now, it's big black cars and Riviera views","Verse 2","Taylor Swift"
14,"And your lover in the foyer doesn't even know you","Verse 2","Taylor Swift"
15,"And your secrets end up splashed on the news front page","Verse 2","Taylor Swift"
16,"And they tell you that you're lucky, but you're so confused","Verse 2","Taylor Swift"
17,"'Cause you don't feel pretty, you just feel used","Verse 2","Taylor Swift"
18,"And all the young things line up to take your place","Verse 2","Taylor Swift"
19,"Another name goes up in lights","Pre-Chorus 2","Taylor Swift"
20,"You wonder if you'll make it out alive","Pre-Chorus 2","Taylor Swift"
21,"And they'll tell you now, you're the lucky one","Chorus 1","Taylor Swift"
22,"Yeah, they'll tell you now, you're the lucky one","Chorus 1","Taylor Swift"
23,"But can you tell me now, you're the lucky one?","Chorus 1","Taylor Swift"
24,"Oh, oh, oh","Chorus 1","Taylor Swift"
25,"It was a few years later, I showed up here","Verse 3","Taylor Swift"
26,"And they still tell the legend of how you disappeared","Verse 3","Taylor Swift"
27,"How you took the money and your dignity, and got the hell out","Verse 3","Taylor Swift"
28,"They say you bought a bunch of land somewhere","Verse 3","Taylor Swift"
29,"Chose the rose garden over Madison Square","Verse 3","Taylor Swift"
30,"And it took some time, but I understand it now","Verse 3","Taylor Swift"
31,"'Cause now my name is up in lights","Pre-Chorus 3","Taylor Swift"
32,"But I think you got it right","Pre-Chorus 3","Taylor Swift"
33,"Let me tell you now, you're the lucky one","Chorus 2","Taylor Swift"
34,"Let me tell you now, you're the lucky one","Chorus 2","Taylor Swift"
35,"Let me tell you now, you're the lucky one, oh, oh, oh","Chorus 2","Taylor Swift"
36,"And they'll tell you now, you're the lucky one","Chorus 2","Taylor Swift"
37,"Yeah, they'll tell you now, you're the lucky one","Chorus 2","Taylor Swift"
38,"And they'll tell you now, you're the lucky one, oh, oh, oh","Chorus 2","Taylor Swift"
39,"Oh, whoa, oh, oh","Chorus 2","Taylor Swift"
