"line","lyric","element","element_artist"
1,"I used to think one day, we'd tell the story of us","Verse 1","Taylor Swift"
2,"How we met, and the sparks flew instantly","Verse 1","Taylor Swift"
3,"And people would say, they're the lucky ones","Verse 1","Taylor Swift"
4,"I used to know my place was a spot next to you","Verse 1","Taylor Swift"
5,"Now I'm searching the room for an empty seat","Verse 1","Taylor Swift"
6,"'Cause lately, I don't even know what page you're on","Verse 1","Taylor Swift"
7,"Oh, a simple complication","Pre-Chorus 1","Taylor Swift"
8,"Miscommunications lead to fallout","Pre-Chorus 1","Taylor Swift"
9,"So many things that I wish you knew","Pre-Chorus 1","Taylor Swift"
10,"So many walls up, I can't break through","Pre-Chorus 1","Taylor Swift"
11,"Now I'm standing alone in a crowded room","Chorus","Taylor Swift"
12,"And we're not speaking","Chorus","Taylor Swift"
13,"And I'm dying to know","Chorus","Taylor Swift"
14,"Is it killing you like it's killing me?","Chorus","Taylor Swift"
15,"Yeah, I don't know what to say","Chorus","Taylor Swift"
16,"Since the twist of fate when it all broke down","Chorus","Taylor Swift"
17,"And the story of us looks a lot like a tragedy now","Chorus","Taylor Swift"
18,"Next chapter","Chorus","Taylor Swift"
19,"How'd we end up this way?","Verse 2","Taylor Swift"
20,"See me nervously pulling at my clothes and trying to look busy","Verse 2","Taylor Swift"
21,"And you're doing your best to avoid me","Verse 2","Taylor Swift"
22,"I'm starting to think one day, I'll tell the story of us","Verse 2","Taylor Swift"
23,"How I was losing my mind when I saw you here","Verse 2","Taylor Swift"
24,"But you held your pride like you should've held me","Verse 2","Taylor Swift"
25,"Oh, I'm scared to see the ending","Pre-Chorus 2","Taylor Swift"
26,"Why are we pretending this is nothing?","Pre-Chorus 2","Taylor Swift"
27,"I'd tell you I miss you, but I don't know how","Pre-Chorus 2","Taylor Swift"
28,"I've never heard silence quite this loud","Pre-Chorus 2","Taylor Swift"
29,"Now I'm standing alone in a crowded room","Chorus","Taylor Swift"
30,"And we're not speaking","Chorus","Taylor Swift"
31,"And I'm dying to know","Chorus","Taylor Swift"
32,"Is it killing you like it's killing me?","Chorus","Taylor Swift"
33,"Yeah, and I don't know what to say","Chorus","Taylor Swift"
34,"Since the twist of fate, when it all broke down","Chorus","Taylor Swift"
35,"And the story of us looks a lot like a tragedy now","Chorus","Taylor Swift"
36,"This is looking like a contest","Bridge","Taylor Swift"
37,"Of who can act like they care less","Bridge","Taylor Swift"
38,"But I liked it better when you were on my side","Bridge","Taylor Swift"
39,"The battle's in your hands now","Bridge","Taylor Swift"
40,"But I would lay my armor down","Bridge","Taylor Swift"
41,"If you say you'd rather love than fight","Bridge","Taylor Swift"
42,"So many things that you wish I knew","Bridge","Taylor Swift"
43,"But the story of us might be ending soon","Bridge","Taylor Swift"
44,"Now I'm standing alone in a crowded room","Chorus","Taylor Swift"
45,"And we're not speaking","Chorus","Taylor Swift"
46,"And I'm dying to know","Chorus","Taylor Swift"
47,"Is it killing you like it's killing me?","Chorus","Taylor Swift"
48,"Yeah, and I don't know what to say","Chorus","Taylor Swift"
49,"Since the twist of fate, when it all broke down","Chorus","Taylor Swift"
50,"And the story of us looks a lot like a tragedy now, now, now","Chorus","Taylor Swift"
51,"And we're not speaking","Outro","Taylor Swift"
52,"And I'm dying to know","Outro","Taylor Swift"
53,"Is it killing you like it's killing me, yeah?","Outro","Taylor Swift"
54,"I don't know what to say since the twist of fate","Outro","Taylor Swift"
55,"'Cause we're going down","Outro","Taylor Swift"
56,"And the story of us looks a lot like a tragedy now","Outro","Taylor Swift"
57,"The End","Outro","Taylor Swift"
