"line","lyric","element","element_artist"
1,"Put your lips close to mine","Verse 1","Taylor Swift"
2,"As long as they don't touch","Verse 1","Taylor Swift"
3,"Out of focus, eye to eye","Verse 1","Taylor Swift"
4,"Till the gravity's too much","Verse 1","Taylor Swift"
5,"And I'll do anything you say","Verse 1","Taylor Swift"
6,"If you say it with your hands","Verse 1","Taylor Swift"
7,"And I'd be smart to walk away","Verse 1","Taylor Swift"
8,"But you're quicksand","Verse 1","Taylor Swift"
9,"This slope is treacherous","Chorus","Taylor Swift"
10,"This path is reckless","Chorus","Taylor Swift"
11,"This slope is treacherous","Chorus","Taylor Swift"
12,"And I, I, I, like it","Chorus","Taylor Swift"
13,"I can't decide if it's a choice","Verse 2","Taylor Swift"
14,"Getting swept away","Verse 2","Taylor Swift"
15,"I hear the sound of my own voice","Verse 2","Taylor Swift"
16,"Asking you to stay","Verse 2","Taylor Swift"
17,"And all we are is skin and bone","Verse 2","Taylor Swift"
18,"Trained to get along","Verse 2","Taylor Swift"
19,"Forever going with the flow","Verse 2","Taylor Swift"
20,"But you're friction","Verse 2","Taylor Swift"
21,"This slope is treacherous","Chorus","Taylor Swift"
22,"This path is reckless","Chorus","Taylor Swift"
23,"This slope is treacherous","Chorus","Taylor Swift"
24,"I, I, I, like it","Chorus","Taylor Swift"
25,"Two headlights shine through the sleepless night","Bridge","Taylor Swift"
26,"And I will get you, get you alone","Bridge","Taylor Swift"
27,"Your name has echoed through my mind","Bridge","Taylor Swift"
28,"And I just think you should","Bridge","Taylor Swift"
29,"Think you should know","Bridge","Taylor Swift"
30,"That nothing safe is worth the drive","Bridge","Taylor Swift"
31,"And I would follow you, follow you home","Bridge","Taylor Swift"
32,"I'll follow you, follow you home","Bridge","Taylor Swift"
33,"This hope is treacherous","Chorus","Taylor Swift"
34,"This daydream is dangerous","Chorus","Taylor Swift"
35,"This hope is treacherous","Chorus","Taylor Swift"
36,"I, I, I","Chorus","Taylor Swift"
37,"I, I, I","Chorus","Taylor Swift"
38,"I, I, I","Chorus","Taylor Swift"
39,"Two headlights shine through the sleepless night","Breakdown","Taylor Swift"
40,"And I will get you, get you alone","Breakdown","Taylor Swift"
41,"Your name has echoed through my mind","Breakdown","Taylor Swift"
42,"And I just think you should","Breakdown","Taylor Swift"
43,"Think you should know","Breakdown","Taylor Swift"
44,"That nothing safe is worth the drive","Breakdown","Taylor Swift"
45,"And I would follow you, follow you home","Breakdown","Taylor Swift"
46,"I'll follow you, follow you home","Breakdown","Taylor Swift"
47,"I'll follow you, follow you home","Breakdown","Taylor Swift"
48,"I'll follow you, follow you home","Breakdown","Taylor Swift"
49,"I'll follow you, follow you home","Breakdown","Taylor Swift"
50,"This slope is treacherous","Outro","Taylor Swift"
51,"I, I, I, like it","Outro","Taylor Swift"
