"line","lyric","element","element_artist"
1,"Untouchable like a distant diamond sky","Verse 1","Taylor Swift"
2,"I'm reaching out and I just can't tell you why","Verse 1","Taylor Swift"
3,"I'm caught up in you, I'm caught up in you","Verse 1","Taylor Swift"
4,"Untouchable, burning brighter than the sun","Pre-Chorus","Taylor Swift"
5,"And when you're close, I feel like coming undone","Pre-Chorus","Taylor Swift"
6,"In the middle of the night when I'm in this dream","Chorus","Taylor Swift"
7,"It's like a million little stars spelling out your name","Chorus","Taylor Swift"
8,"You got to come on, come on, say that we'll be together","Chorus","Taylor Swift"
9,"Come on, come on, little taste of heaven","Chorus","Taylor Swift"
10,"It's half full and I won't wait here all day","Verse 2","Taylor Swift"
11,"I know you're saying that you'd be here anyway","Verse 2","Taylor Swift"
12,"But you're untouchable, burning brighter than the sun","Pre-Chorus","Taylor Swift"
13,"Now that you're close, I feel like coming undone","Pre-Chorus","Taylor Swift"
14,"In the middle of the night when I'm in this dream","Chorus","Taylor Swift"
15,"It's like a million little stars spelling out your name","Chorus","Taylor Swift"
16,"You got to come on, come on, say that we'll be together","Chorus","Taylor Swift"
17,"Come on, come on, oh","Chorus","Taylor Swift"
18,"In the middle of the night waking from this dream","Chorus","Taylor Swift"
19,"I want to feel you by my side, standing next to me","Chorus","Taylor Swift"
20,"You got to come on, come on, say that we'll be together","Chorus","Taylor Swift"
21,"Come on, come on, little taste of heaven","Chorus","Taylor Swift"
22,"I'm caught up in you","Bridge","Taylor Swift"
23,"Oh-oh, oh, oh-oh","Bridge","Taylor Swift"
24,"But you're untouchable, burning brighter than the sun","Bridge","Taylor Swift"
25,"Now that you're close, I feel like coming undone","Bridge","Taylor Swift"
26,"In the middle of the night when I'm in this dream","Chorus","Taylor Swift"
27,"It's like a million little stars spelling out your name","Chorus","Taylor Swift"
28,"You got to come on, come on, say that we'll be together","Chorus","Taylor Swift"
29,"Come on, come on, oh","Chorus","Taylor Swift"
30,"In the middle of the night when I'm in this dream","Chorus","Taylor Swift"
31,"It's like a million little stars spelling out your name","Chorus","Taylor Swift"
32,"You got to come on, come on, say that we'll be together","Chorus","Taylor Swift"
33,"Come on, come on, come on","Chorus","Taylor Swift"
34,"In the middle of the night waking from this dream","Chorus","Taylor Swift"
35,"I want to feel you by my side, standing next to me","Chorus","Taylor Swift"
36,"You got to come on, come on, say that we'll be together","Chorus","Taylor Swift"
37,"Come on, come on, little taste of heaven","Chorus","Taylor Swift"
38,"And in the middle of the night when I'm in this dream","Chorus","Taylor Swift"
39,"It's like a million little stars spelling out your name","Chorus","Taylor Swift"
40,"You got to come on, come on, come on, come on","Chorus","Taylor Swift"
41,"Come on, come on, oh, oh, oh","Chorus","Taylor Swift"
42,"Like a million little stars spelling out your name","Outro","Taylor Swift"
43,"They're spelling out your name, oh","Outro","Taylor Swift"
