"line","lyric","element","element_artist"
1,"I remember when we broke up the first time","Verse 1","Taylor Swift"
2,"Saying, ""This is it, I've had enough,"" 'cause like","Verse 1","Taylor Swift"
3,"We hadn't seen each other in a month","Verse 1","Taylor Swift"
4,"When you said you needed space (What?)","Verse 1","Taylor Swift"
5,"Then you come around again and say","Verse 1","Taylor Swift"
6,"""Baby, I miss you and I swear I'm gonna change, trust me""","Verse 1","Taylor Swift"
7,"Remember how that lasted for a day?","Verse 1","Taylor Swift"
8,"I say, ""I hate you,"" we break up, you call me, I love you","Verse 1","Taylor Swift"
9,"Ooh-ooh-ooh-ooh-ooh","Pre-Chorus","Taylor Swift"
10,"We called it off again last night, but","Pre-Chorus","Taylor Swift"
11,"Ooh-ooh-ooh-ooh-ooh","Pre-Chorus","Taylor Swift"
12,"This time, I'm telling you, I'm telling you","Pre-Chorus","Taylor Swift"
13,"We are never, ever, ever getting back together","Chorus","Taylor Swift"
14,"We are never, ever, ever getting back together","Chorus","Taylor Swift"
15,"You go talk to your friends, talk to my friends, talk to me","Chorus","Taylor Swift"
16,"But we are never, ever, ever, ever","Chorus","Taylor Swift"
17,"Getting back together","Chorus","Taylor Swift"
18,"Like, ever","Chorus","Taylor Swift"
19,"I'm really gonna miss you picking fights","Verse 2","Taylor Swift"
20,"And me falling for it, screaming that I'm right","Verse 2","Taylor Swift"
21,"And you would hide away and find your peace of mind","Verse 2","Taylor Swift"
22,"With some indie record that's much cooler than mine","Verse 2","Taylor Swift"
23,"Ooh-ooh-ooh-ooh-ooh","Pre-Chorus","Taylor Swift"
24,"You called me up again tonight, but","Pre-Chorus","Taylor Swift"
25,"Ooh-ooh-ooh-ooh-ooh","Pre-Chorus","Taylor Swift"
26,"This time, I'm telling you, I'm telling you","Pre-Chorus","Taylor Swift"
27,"We (We) are never, ever, ever getting back together","Chorus","Taylor Swift"
28,"We are never, ever, ever getting back together","Chorus","Taylor Swift"
29,"You go talk to your friends, talk to my friends, talk to me","Chorus","Taylor Swift"
30,"(Talk to me) But we are never, ever, ever, ever","Chorus","Taylor Swift"
31,"Getting back together","Chorus","Taylor Swift"
32,"Ooh-ooh-ooh-ooh-ooh (Yeah)","Post-Chorus","Taylor Swift"
33,"Ooh-ooh-ooh-ooh-ooh-ooh (Yeah)","Post-Chorus","Taylor Swift"
34,"Ooh-ooh-ooh-ooh-ooh (Yeah)","Post-Chorus","Taylor Swift"
35,"Oh-oh-oh","Post-Chorus","Taylor Swift"
36,"I used to think that we were forever, ever","Bridge","Taylor Swift"
37,"And I used to say, ""Never say never""","Bridge","Taylor Swift"
38,"Ugh, so he calls me up and he's like, ""I still love you""","Bridge","Taylor Swift"
39,"And I'm like, ""I just, I mean, this is exhausting, you know?","Bridge","Taylor Swift"
40,"Like, we are never getting back together, like, ever""","Bridge","Taylor Swift"
41,"(No) We are never, ever, ever getting back together","Chorus","Taylor Swift"
42,"We are never, ever, ever (Ooh) getting back together","Chorus","Taylor Swift"
43,"You go talk to your friends, talk to my friends, talk to me","Chorus","Taylor Swift"
44,"But we are never, ever, ever, ever","Chorus","Taylor Swift"
45,"Getting back together","Chorus","Taylor Swift"
46,"We (Ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh, no)","Outro","Taylor Swift"
47,"Getting back together","Outro","Taylor Swift"
48,"We (Ooh-ooh-ooh-ooh-ooh, oh, oh)","Outro","Taylor Swift"
49,"Getting back together (Yeah)","Outro","Taylor Swift"
50,"You go talk to your friends, talk to my friends, talk to me","Outro","Taylor Swift"
51,"(Talk to me) But we are never, ever, ever, ever","Outro","Taylor Swift"
52,"Getting back together","Outro","Taylor Swift"
