"line","lyric","element","element_artist"
1,"Flashing lights and we","Verse 1","Taylor Swift"
2,"Took a wrong turn and we","Verse 1","Taylor Swift"
3,"Fell down a rabbit hole","Verse 1","Taylor Swift"
4,"You held on tight to me","Verse 1","Taylor Swift"
5,"'Cause nothing's as it seems","Verse 1","Taylor Swift"
6,"And spinning out of control","Verse 1","Taylor Swift"
7,"Didn't they tell us don't rush into things?","Pre-Chorus","Taylor Swift"
8,"Didn't you flash your green eyes at me?","Pre-Chorus","Taylor Swift"
9,"Haven't you heard what becomes of curious minds?","Pre-Chorus","Taylor Swift"
10,"Ooh, didn't it all seem new and exciting?","Pre-Chorus","Taylor Swift"
11,"I felt your arms twistin' around me","Pre-Chorus","Taylor Swift"
12,"I should have slept with one eye open at night","Pre-Chorus","Taylor Swift"
13,"We found Wonderland","Chorus","Taylor Swift"
14,"You and I got lost in it","Chorus","Taylor Swift"
15,"And we pretended it could last forever (Eh, eh)","Chorus","Taylor Swift"
16,"We found Wonderland","Chorus","Taylor Swift"
17,"You and I got lost in it","Chorus","Taylor Swift"
18,"And life was never worse but never better (Eh, eh)","Chorus","Taylor Swift"
19,"(Eh, eh, eh, eh, eh)","Post-Chorus","Taylor Swift"
20,"In Wonderland","Post-Chorus","Taylor Swift"
21,"(Eh, eh, eh, eh, eh)","Post-Chorus","Taylor Swift"
22,"In Wonderland","Post-Chorus","Taylor Swift"
23,"(Eh, eh, eh, eh, eh)","Post-Chorus","Taylor Swift"
24,"In Wonderland","Post-Chorus","Taylor Swift"
25,"(Eh, eh, eh, eh, eh)","Post-Chorus","Taylor Swift"
26,"In Wonderland","Post-Chorus","Taylor Swift"
27,"So we went on our way","Verse 2","Taylor Swift"
28,"Too in love to think straight","Verse 2","Taylor Swift"
29,"All alone, or so it seemed","Verse 2","Taylor Swift"
30,"But there were strangers watching","Verse 2","Taylor Swift"
31,"And whispers turned to talking","Verse 2","Taylor Swift"
32,"And talking turned to screams, oh","Verse 2","Taylor Swift"
33,"Didn't they tell us don't rush into things?","Pre-Chorus","Taylor Swift"
34,"Didn't you flash your green eyes at me?","Pre-Chorus","Taylor Swift"
35,"Didn't you calm my fears with a Cheshire cat smile?","Pre-Chorus","Taylor Swift"
36,"Ooh, didn't it all seem new and exciting?","Pre-Chorus","Taylor Swift"
37,"I felt your arms twistin' around me","Pre-Chorus","Taylor Swift"
38,"It's all fun and games 'til somebody loses their mind","Pre-Chorus","Taylor Swift"
39,"But darlin'","Pre-Chorus","Taylor Swift"
40,"We found Wonderland","Chorus","Taylor Swift"
41,"You and I got lost in it","Chorus","Taylor Swift"
42,"And we pretended it could last forever (Eh, eh)","Chorus","Taylor Swift"
43,"We found Wonderland","Chorus","Taylor Swift"
44,"You and I got lost in it","Chorus","Taylor Swift"
45,"And life was never worse but never better (Eh, eh)","Chorus","Taylor Swift"
46,"(Eh, eh, eh, eh, eh)","Post-Chorus","Taylor Swift"
47,"In Wonderland","Post-Chorus","Taylor Swift"
48,"(Eh, eh, eh, eh, eh)","Post-Chorus","Taylor Swift"
49,"In Wonderland","Post-Chorus","Taylor Swift"
50,"(Eh, eh, eh, eh, eh)","Post-Chorus","Taylor Swift"
51,"In Wonderland","Post-Chorus","Taylor Swift"
52,"(Eh, eh, eh, eh, eh)","Post-Chorus","Taylor Swift"
53,"Whoa, in Wonderland","Post-Chorus","Taylor Swift"
54,"I reached for you, but you were gone","Bridge","Taylor Swift"
55,"I knew I had to go back home","Bridge","Taylor Swift"
56,"You searched the world for something else","Bridge","Taylor Swift"
57,"To make you feel like what we had","Bridge","Taylor Swift"
58,"And in the end, in Wonderland","Bridge","Taylor Swift"
59,"We both went mad","Bridge","Taylor Swift"
60,"Oh","Bridge","Taylor Swift"
61,"We found Wonderland","Chorus","Taylor Swift"
62,"You and I got lost in it","Chorus","Taylor Swift"
63,"And we pretended it could last forever","Chorus","Taylor Swift"
64,"Last forever (Eh, eh)","Chorus","Taylor Swift"
65,"We found Wonderland","Chorus","Taylor Swift"
66,"You and I got lost in it (Got lost in it)","Chorus","Taylor Swift"
67,"And life was never worse but never better","Chorus","Taylor Swift"
68,"Never better (Eh, eh)","Chorus","Taylor Swift"
69,"(Eh, eh, eh, eh, eh)","Chorus","Taylor Swift"
70,"We found Wonderland","Chorus","Taylor Swift"
71,"You and I got lost in it","Chorus","Taylor Swift"
72,"(Eh, eh, eh, eh, eh)","Chorus","Taylor Swift"
73,"And we pretended it could last forever (In Wonderland)","Chorus","Taylor Swift"
74,"(Eh, eh, eh, eh, eh)","Chorus","Taylor Swift"
75,"We found Wonderland","Chorus","Taylor Swift"
76,"You and I got lost in it","Chorus","Taylor Swift"
77,"(Eh, eh, eh, eh, eh)","Chorus","Taylor Swift"
78,"And life was never worse but never better","Chorus","Taylor Swift"
79,"In Wonderland","Chorus","Taylor Swift"
