"line","lyric","element","element_artist"
1,"It feels like a perfect night","Verse 1","Taylor Swift"
2,"To dress up like hipsters","Verse 1","Taylor Swift"
3,"And make fun of our exes","Verse 1","Taylor Swift"
4,"Uh-uh, uh-uh","Verse 1","Taylor Swift"
5,"It feels like a perfect night","Verse 1","Taylor Swift"
6,"For breakfast at midnight","Verse 1","Taylor Swift"
7,"To fall in love with strangers","Verse 1","Taylor Swift"
8,"Uh-uh, uh-uh","Verse 1","Taylor Swift"
9,"Yeah","Pre-Chorus","Taylor Swift"
10,"We're happy, free, confused, and lonely at the same time","Pre-Chorus","Taylor Swift"
11,"It's miserable and magical, oh yeah","Pre-Chorus","Taylor Swift"
12,"Tonight's the night when we forget about the deadlines","Pre-Chorus","Taylor Swift"
13,"It's time, oh-oh","Pre-Chorus","Taylor Swift"
14,"I don't know about you","Chorus","Taylor Swift"
15,"But I'm feelin' twenty-two","Chorus","Taylor Swift"
16,"Everything will be alright if","Chorus","Taylor Swift"
17,"You keep me next to you","Chorus","Taylor Swift"
18,"You don't know about me","Chorus","Taylor Swift"
19,"But I'll bet you want to","Chorus","Taylor Swift"
20,"Everything will be alright if","Chorus","Taylor Swift"
21,"We just keep dancin' like we're","Chorus","Taylor Swift"
22,"Twenty-two","Chorus","Taylor Swift"
23,"Twenty-two","Chorus","Taylor Swift"
24,"It seems like one of those nights","Verse 2","Taylor Swift"
25,"This place is too crowded","Verse 2","Taylor Swift"
26,"Too many cool kids","Verse 2","Taylor Swift"
27,"Uh-uh, uh-uh (Who's Taylor Swift anyway? Ew)","Verse 2","Taylor Swift"
28,"It seems like one of those nights","Verse 2","Taylor Swift"
29,"We ditch the whole scene","Verse 2","Taylor Swift"
30,"And end up dreamin'","Verse 2","Taylor Swift"
31,"Instead of sleepin'","Verse 2","Taylor Swift"
32,"Yeah","Pre-Chorus","Taylor Swift"
33,"We're happy, free, confused, and lonely in the best way","Pre-Chorus","Taylor Swift"
34,"It's miserable and magical, oh, yeah","Pre-Chorus","Taylor Swift"
35,"Tonight's the night when we forget about the heartbreaks","Pre-Chorus","Taylor Swift"
36,"It's time, oh-oh","Pre-Chorus","Taylor Swift"
37,"(Hey)","Chorus","Taylor Swift"
38,"I don't know about you","Chorus","Taylor Swift"
39,"But I'm feelin' twenty-two","Chorus","Taylor Swift"
40,"Everything will be alright if (Ooh)","Chorus","Taylor Swift"
41,"You keep me next to you","Chorus","Taylor Swift"
42,"You don't know about me","Chorus","Taylor Swift"
43,"But I'll bet you want to","Chorus","Taylor Swift"
44,"Everything will be alright if (Alright)","Chorus","Taylor Swift"
45,"We just keep dancin' like we're","Chorus","Taylor Swift"
46,"Twenty-two (Oh, oh, oh, oh, oh)","Chorus","Taylor Swift"
47,"Twenty-two (I don't know about you)","Chorus","Taylor Swift"
48,"Twenty-two","Chorus","Taylor Swift"
49,"Twenty-two (Ooh)","Chorus","Taylor Swift"
50,"It feels like one of those nights","Post-Chorus","Taylor Swift"
51,"We ditch the whole scene","Post-Chorus","Taylor Swift"
52,"It feels like one of those nights","Post-Chorus","Taylor Swift"
53,"We won't be sleepin'","Post-Chorus","Taylor Swift"
54,"It feels like one of those nights","Post-Chorus","Taylor Swift"
55,"You look like bad news","Post-Chorus","Taylor Swift"
56,"I gotta have you","Post-Chorus","Taylor Swift"
57,"I gotta have you","Post-Chorus","Taylor Swift"
58,"Ooh, oh","Bridge","Taylor Swift"
59,"Yeah, hey, yeah","Bridge","Taylor Swift"
60,"(Hey)","Chorus","Taylor Swift"
61,"I don't know about you (I don't know about you)","Chorus","Taylor Swift"
62,"But I'm feelin' twenty-two","Chorus","Taylor Swift"
63,"Everything will be alright if (Ooh, oh-oh)","Chorus","Taylor Swift"
64,"You keep me next to you","Chorus","Taylor Swift"
65,"You don't know about me (You don't know about me)","Chorus","Taylor Swift"
66,"But I'll bet you want to","Chorus","Taylor Swift"
67,"Everything will be alright if","Chorus","Taylor Swift"
68,"We just keep dancin' like we're (Dance like we're twenty-two)","Chorus","Taylor Swift"
69,"Twenty-two (Ooh, woah-oh-oh-oh)","Chorus","Taylor Swift"
70,"Twenty-two (Dancin' like)","Chorus","Taylor Swift"
71,"Twenty-two (Yeah, yeah)","Chorus","Taylor Swift"
72,"Twenty-two (Yeah, yeah, yeah)","Chorus","Taylor Swift"
73,"It feels like one of those nights (Twenty-two)","Post-Chorus","Taylor Swift"
74,"We ditch the whole scene","Post-Chorus","Taylor Swift"
75,"It feels like one of those nights (Twenty-two)","Post-Chorus","Taylor Swift"
76,"We won't be sleepin'","Post-Chorus","Taylor Swift"
77,"It feels like one of those nights (Twenty-two)","Post-Chorus","Taylor Swift"
78,"You look like bad news","Post-Chorus","Taylor Swift"
79,"I gotta have you","Post-Chorus","Taylor Swift"
80,"I gotta have you","Post-Chorus","Taylor Swift"
