"line","lyric","element","element_artist"
1,"I don't know what I want, so don't ask me","Verse 1","Taylor Swift"
2,"Cause I'm still trying to figure it out","Verse 1","Taylor Swift"
3,"Don't know what's down this road, I'm just walking","Verse 1","Taylor Swift"
4,"Trying to see through the rain coming down","Verse 1","Taylor Swift"
5,"Even though I'm not the only one","Verse 1","Taylor Swift"
6,"Who feels the way I do","Verse 1","Taylor Swift"
7,"I'm alone, on my own, and that's all I know","Chorus","Taylor Swift"
8,"I'll be strong, I'll be wrong, oh but life goes on","Chorus","Taylor Swift"
9,"Oh, I'm just a girl, trying to find a place in this world","Chorus","Taylor Swift"
10,"Got the radio on, my old blue jeans","Verse 2","Taylor Swift"
11,"And I'm wearing my heart on my sleeve","Verse 2","Taylor Swift"
12,"Feeling lucky today, got the sunshine","Verse 2","Taylor Swift"
13,"Could you tell me what more do I need","Verse 2","Taylor Swift"
14,"And tomorrow's just a mystery, oh yeah","Verse 2","Taylor Swift"
15,"But that's OK","Verse 2","Taylor Swift"
16,"I'm alone, on my own, and that's all I know","Chorus","Taylor Swift"
17,"I'll be strong, I'll be wrong, oh but life goes on","Chorus","Taylor Swift"
18,"Oh, I'm just a girl, trying to find a place in this world","Chorus","Taylor Swift"
19,"Maybe I'm just a girl on a mission","Bridge","Taylor Swift"
20,"But I'm ready to fly","Bridge","Taylor Swift"
21,"I'm alone, on my own, and that's all I know","Chorus","Taylor Swift"
22,"I'll be strong, I'll be wrong, oh but life goes on","Chorus","Taylor Swift"
23,"Oh I'm alone, on my own, and that's all I know","Chorus","Taylor Swift"
24,"Oh I'm just a girl, trying to find a place in this world","Chorus","Taylor Swift"
25,"Oh I'm just a girl","Outro","Taylor Swift"
26,"Oh I'm just a girl, oh, oh","Outro","Taylor Swift"
27,"Oh I'm just a girl","Outro","Taylor Swift"
