"line","lyric","element","element_artist"
1,"I walked through the door with you, the air was cold","Verse 1","Taylor Swift"
2,"But something 'bout it felt like home somehow","Verse 1","Taylor Swift"
3,"And I left my scarf there at your sister's house","Verse 1","Taylor Swift"
4,"And you've still got it in your drawer, even now","Verse 1","Taylor Swift"
5,"Oh, your sweet disposition and my wide-eyed gaze","Verse 1","Taylor Swift"
6,"We're singing in the car, getting lost upstate","Verse 1","Taylor Swift"
7,"Autumn leaves falling down like pieces into place","Verse 1","Taylor Swift"
8,"And I can picture it after all these days","Verse 1","Taylor Swift"
9,"And I know it's long gone and","Pre-Chorus","Taylor Swift"
10,"That magic's not here no more","Pre-Chorus","Taylor Swift"
11,"And I might be okay, but I'm not fine at all","Pre-Chorus","Taylor Swift"
12,"Oh, oh, oh","Pre-Chorus","Taylor Swift"
13,"'Cause there we are again on that little town street","Chorus","Taylor Swift"
14,"You almost ran the red 'cause you were lookin' over at me","Chorus","Taylor Swift"
15,"Wind in my hair, I was there","Chorus","Taylor Swift"
16,"I remember it all too well","Chorus","Taylor Swift"
17,"Photo album on the counter, your cheeks were turning red","Verse 2","Taylor Swift"
18,"You used to be a little kid with glasses in a twin-sized bed","Verse 2","Taylor Swift"
19,"And your mother's telling stories 'bout you on the tee-ball team","Verse 2","Taylor Swift"
20,"You taught me 'bout your past, thinking your future was me","Verse 2","Taylor Swift"
21,"And you were tossing me the car keys, ""fuck the patriarchy""","Verse 2","Taylor Swift"
22,"Key chain on the ground, we were always skipping town","Verse 2","Taylor Swift"
23,"And I was thinking on the drive down, any time now","Verse 2","Taylor Swift"
24,"He's gonna say it's love, you never called it what it was","Verse 2","Taylor Swift"
25,"'Til we were dead and gone and buried","Verse 2","Taylor Swift"
26,"Check the pulse and come back swearing it's the same","Verse 2","Taylor Swift"
27,"After three months in the grave","Verse 2","Taylor Swift"
28,"And then you wondered where it went to as I reached for you","Verse 2","Taylor Swift"
29,"But all I felt was shame and you held my lifeless frame","Verse 2","Taylor Swift"
30,"And I know it's long gone and","Pre-Chorus","Taylor Swift"
31,"There was nothing else I could do","Pre-Chorus","Taylor Swift"
32,"And I forget about you long enough","Pre-Chorus","Taylor Swift"
33,"To forget why I needed to","Pre-Chorus","Taylor Swift"
34,"'Cause there we are again in the middle of the night","Chorus","Taylor Swift"
35,"We're dancing 'round the kitchen in the refrigerator light","Chorus","Taylor Swift"
36,"Down the stairs, I was there","Chorus","Taylor Swift"
37,"I remember it all too well","Chorus","Taylor Swift"
38,"And there we are again when nobody had to know","Chorus","Taylor Swift"
39,"You kept me like a secret, but I kept you like an oath","Chorus","Taylor Swift"
40,"Sacred prayer and we'd swear","Chorus","Taylor Swift"
41,"To remember it all too well, yeah","Chorus","Taylor Swift"
42,"Well, maybe we got lost in translation","Bridge","Taylor Swift"
43,"Maybe I asked for too much","Bridge","Taylor Swift"
44,"But maybe this thing was a masterpiece","Bridge","Taylor Swift"
45,"'Til you tore it all up","Bridge","Taylor Swift"
46,"Running scared, I was there","Bridge","Taylor Swift"
47,"I remember it all too well","Bridge","Taylor Swift"
48,"And you call me up again just to break me like a promise","Bridge","Taylor Swift"
49,"So casually cruel in the name of being honest","Bridge","Taylor Swift"
50,"I'm a crumpled up piece of paper lying here","Bridge","Taylor Swift"
51,"'Cause I remember it all, all, all","Bridge","Taylor Swift"
52,"They say all's well that ends well, but I'm in a new Hell","Verse 3","Taylor Swift"
53,"Every time you double-cross my mind","Verse 3","Taylor Swift"
54,"You said if we had been closer in age maybe it would have been fine","Verse 3","Taylor Swift"
55,"And that made me want to die","Verse 3","Taylor Swift"
56,"The idea you had of me, who was she?","Verse 3","Taylor Swift"
57,"A never-needy, ever-lovely jewel whose shine reflects on you","Verse 3","Taylor Swift"
58,"Not weeping in a party bathroom","Verse 3","Taylor Swift"
59,"Some actress asking me what happened, you","Verse 3","Taylor Swift"
60,"That's what happened, you","Verse 3","Taylor Swift"
61,"You who charmed my dad with self-effacing jokes","Verse 3","Taylor Swift"
62,"Sipping coffee like you're on a late-night show","Verse 3","Taylor Swift"
63,"But then he watched me watch the front door all night, willing you to come","Verse 3","Taylor Swift"
64,"And he said, ""It's supposed to be fun turning twenty-one""","Verse 3","Taylor Swift"
65,"Time won't fly, it's like I'm paralyzed by it","Chorus","Taylor Swift"
66,"I'd like to be my old self again, but I'm still trying to find it","Chorus","Taylor Swift"
67,"After plaid shirt days and nights when you made me your own","Chorus","Taylor Swift"
68,"Now you mail back my things and I walk home alone","Chorus","Taylor Swift"
69,"But you keep my old scarf from that very first week","Chorus","Taylor Swift"
70,"'Cause it reminds you of innocence and it smells like me","Chorus","Taylor Swift"
71,"You can't get rid of it","Chorus","Taylor Swift"
72,"'Cause you remember it all too well, yeah","Chorus","Taylor Swift"
73,"'Cause there we are again when I loved you so","Chorus","Taylor Swift"
74,"Back before you lost the one real thing you've ever known","Chorus","Taylor Swift"
75,"It was rare, I was there","Post-Chorus","Taylor Swift"
76,"I remember it all too well","Post-Chorus","Taylor Swift"
77,"Wind in my hair, you were there","Post-Chorus","Taylor Swift"
78,"You remember it all","Post-Chorus","Taylor Swift"
79,"Down the stairs, you were there","Post-Chorus","Taylor Swift"
80,"You remember it all","Post-Chorus","Taylor Swift"
81,"It was rare, I was there","Post-Chorus","Taylor Swift"
82,"I remember it all too well","Post-Chorus","Taylor Swift"
83,"And I was never good at telling jokes, but the punch line goes","Verse 4","Taylor Swift"
84,"I'll get older, but your lovers stay my age","Verse 4","Taylor Swift"
85,"From when your Brooklyn broke my skin and bones","Verse 4","Taylor Swift"
86,"I'm a soldier who's returning half her weight","Verse 4","Taylor Swift"
87,"And did the twin flame bruise paint you blue?","Verse 4","Taylor Swift"
88,"Just between us, did the love affair maim you, too?","Verse 4","Taylor Swift"
89,"'Cause in this city's barren cold","Verse 4","Taylor Swift"
90,"I still remember the first fall of snow","Verse 4","Taylor Swift"
91,"And how it glistened as it fell","Verse 4","Taylor Swift"
92,"I remember it all too well","Verse 4","Taylor Swift"
93,"Just between us, did the love affair maim you all too well?","Outro","Taylor Swift"
94,"Just between us, do you remember it all too well?","Outro","Taylor Swift"
95,"Just between us, I remember it (Just between us), all too well","Outro","Taylor Swift"
96,"Wind in my hair, I was there, I was there","Outro","Taylor Swift"
97,"Down the stairs, I was there, I was there","Outro","Taylor Swift"
98,"Sacred prayer, I was there, I was there","Outro","Taylor Swift"
99,"It was rare, you remember it all too well","Outro","Taylor Swift"
100,"Wind in my hair, I was there, I was there","Outro","Taylor Swift"
101,"Down the stairs, I was there, I was there","Outro","Taylor Swift"
102,"Sacred prayer, I was there, I was there","Outro","Taylor Swift"
103,"It was rare, you remember it","Outro","Taylor Swift"
104,"Wind in my hair, I was there, I was there","Outro","Taylor Swift"
105,"Down the stairs, I was there, I was there","Outro","Taylor Swift"
106,"Sacred prayer, I was there, I was there","Outro","Taylor Swift"
107,"It was rare, you remember it","Outro","Taylor Swift"
108,"Wind in my hair, I was there, I was there","Outro","Taylor Swift"
109,"Down the stairs, I was there, I was there","Outro","Taylor Swift"
110,"Sacred prayer, I was there, I was there","Outro","Taylor Swift"
111,"It was rare, you remember it","Outro","Taylor Swift"
