"line","lyric","element","element_artist"
1,"Your beautiful eyes","Verse 1","Taylor Swift"
2,"Stare right into my eyes","Verse 1","Taylor Swift"
3,"And sometimes I think of you late at night","Verse 1","Taylor Swift"
4,"I don't know why, I","Verse 1","Taylor Swift"
5,"I wanna be somewhere where you are","Pre-Chorus 1","Taylor Swift"
6,"I wanna be where","Pre-Chorus 1","Taylor Swift"
7,"You're here, your eyes are looking into mine","Chorus","Taylor Swift"
8,"So baby, make me fly","Chorus","Taylor Swift"
9,"My heart has never felt this way before","Chorus","Taylor Swift"
10,"I'm looking through your","Chorus","Taylor Swift"
11,"I'm looking through your eyes","Chorus","Taylor Swift"
12,"I wake up, I'm alive","Verse 2","Taylor Swift"
13,"In only a little while I'll cry","Verse 2","Taylor Swift"
14,"'Cause you're my lullaby","Verse 2","Taylor Swift"
15,"So baby, come hold me tight 'cause I-I","Verse 2","Taylor Swift"
16,"I wanna be everything you need","Pre-Chorus 2","Taylor Swift"
17,"I wanna be where","Pre-Chorus 2","Taylor Swift"
18,"You're here, your eyes are looking into mine","Chorus","Taylor Swift"
19,"So baby, make me fly","Chorus","Taylor Swift"
20,"My heart has never felt this way before","Chorus","Taylor Swift"
21,"I'm looking through your","Chorus","Taylor Swift"
22,"I'm looking through your eyes","Chorus","Taylor Swift"
23,"Just as long as you're mine","Outro","Taylor Swift"
24,"I'll be your everything tonight","Outro","Taylor Swift"
25,"Let me love you, kiss you","Outro","Taylor Swift"
26,"Oh, baby, let me miss you","Outro","Taylor Swift"
27,"Let me see your","Outro","Taylor Swift"
28,"Dream about, dream about","Outro","Taylor Swift"
29,"Dream about your eyes","Outro","Taylor Swift"
30,"Eyes, eyes","Outro","Taylor Swift"
31,"Beautiful eyes","Outro","Taylor Swift"
