"line","lyric","element","element_artist"
1,"Follow me home if you dare to","Verse 1","Taylor Swift"
2,"I wouldn't know where to lead you","Verse 1","Taylor Swift"
3,"Should I take chances when no one took chances on me?","Verse 1","Taylor Swift"
4,"So I watch from the dark, wait for my life to start","Verse 1","Taylor Swift"
5,"With no beauty in my memory","Verse 1","Taylor Swift"
6,"All that I wanted was to be wanted","Chorus","Taylor Swift"
7,"Too young to wander London streets, alone and haunted","Chorus","Taylor Swift"
8,"Born into nothing","Chorus","Taylor Swift"
9,"At least you have something, something to cling to","Chorus","Taylor Swift"
10,"Visions of dazzling rooms I'll never get let into","Chorus","Taylor Swift"
11,"And the memories were lost long ago","Chorus","Taylor Swift"
12,"But at least you have beautiful ghosts","Chorus","Taylor Swift"
13,"Perilous night, their voices calling","Verse 2","Taylor Swift"
14,"A flicker of light before the dawning","Verse 2","Taylor Swift"
15,"Out here, the wild ones are taming the fear within me","Verse 2","Taylor Swift"
16,"Scared to call them my friends and be broken again","Verse 2","Taylor Swift"
17,"Is this hope just a mystical dream?","Verse 2","Taylor Swift"
18,"All that I wanted was to be wanted","Chorus","Taylor Swift"
19,"Too young to wander London streets, alone and haunted","Chorus","Taylor Swift"
20,"Born into nothing","Chorus","Taylor Swift"
21,"At least you have something, something to cling to","Chorus","Taylor Swift"
22,"Visions of dazzling rooms I'll never get let into","Chorus","Taylor Swift"
23,"And the memories were lost long ago","Chorus","Taylor Swift"
24,"But at least you have beautiful ghosts","Chorus","Taylor Swift"
25,"And so maybe my home isn't what I had known","Bridge","Taylor Swift"
26,"What I thought it would be","Bridge","Taylor Swift"
27,"But I feel so alive with these phantoms of night","Bridge","Taylor Swift"
28,"And I know that this life isn't safe, but it's wild and it's free","Bridge","Taylor Swift"
29,"All that I wanted was to be wanted","Chorus","Taylor Swift"
30,"I'll never wander London streets, alone and haunted","Chorus","Taylor Swift"
31,"Born into nothing","Chorus","Taylor Swift"
32,"With them, I have something, something to cling to","Chorus","Taylor Swift"
33,"I never knew I'd love this world they've let me into","Chorus","Taylor Swift"
34,"And the memories were lost long ago","Chorus","Taylor Swift"
35,"So I'll dance with these beautiful ghosts","Chorus","Taylor Swift"
36,"And the memories were lost long ago","Chorus","Taylor Swift"
37,"So I'll dance with these beautiful ghosts","Chorus","Taylor Swift"
