"line","lyric","element","element_artist"
1,"I know I'm probably better off on my own","Verse 1","Taylor Swift"
2,"Than lovin' a man who didn't know what he had when he had it","Verse 1","Taylor Swift"
3,"And I see the permanent damage you did to me","Verse 1","Taylor Swift"
4,"Never again, I just wish I could forget when it was magic","Verse 1","Taylor Swift"
5,"I wish it wasn't 4 AM, standing in the mirror","Pre-Chorus","Taylor Swift"
6,"Saying to myself, ""You know you had to do it""","Pre-Chorus","Taylor Swift"
7,"I know the bravest thing I ever did was run","Pre-Chorus","Taylor Swift"
8,"Sometimes, in the middle of the night, I can feel you again","Chorus","Taylor Swift"
9,"But I just miss you, and I just wish you were a better man","Chorus","Taylor Swift"
10,"And I know why we had to say goodbye like the back of my hand","Chorus","Taylor Swift"
11,"But I just miss you, and I just wish you were a better man","Chorus","Taylor Swift"
12,"A better man","Chorus","Taylor Swift"
13,"I know I'm probably better off all alone","Verse 2","Taylor Swift"
14,"Than needing a man who could change his mind","Verse 2","Taylor Swift"
15,"At any given minute","Verse 2","Taylor Swift"
16,"And it was always on your terms","Verse 2","Taylor Swift"
17,"I waited on every careless word","Verse 2","Taylor Swift"
18,"Hoping they might turn sweet again","Verse 2","Taylor Swift"
19,"Like it was in the beginning","Verse 2","Taylor Swift"
20,"But your jealousy, oh, I can hear it now","Pre-Chorus","Taylor Swift"
21,"Talking down to me like I'd always be around","Pre-Chorus","Taylor Swift"
22,"Push my love away like it was some kind of loaded gun","Pre-Chorus","Taylor Swift"
23,"Oh, you never thought I'd run","Pre-Chorus","Taylor Swift"
24,"Sometimes, in the middle of the night, I can feel you again","Chorus","Taylor Swift"
25,"But I just miss you, and I just wish you were a better man","Chorus","Taylor Swift"
26,"And I know why we had to say goodbye, like the back of my hand","Chorus","Taylor Swift"
27,"But I just miss you, and I just wish you were a better man","Chorus","Taylor Swift"
28,"A better man","Chorus","Taylor Swift"
29,"I hold onto this pride because these days it's all I have","Bridge","Taylor Swift"
30,"And I gave to you my best and we both know you can't say that","Bridge","Taylor Swift"
31,"I wish you were a better man","Bridge","Taylor Swift"
32,"I wonder what we would've become","Bridge","Taylor Swift"
33,"If you were a better man","Bridge","Taylor Swift"
34,"We might still be in love","Bridge","Taylor Swift"
35,"If you were a better man","Bridge","Taylor Swift"
36,"You would've been the one","Bridge","Taylor Swift"
37,"If you were a better man","Bridge","Taylor Swift"
38,"Yeah, yeah","Bridge","Taylor Swift"
39,"Sometimes, in the middle of the night, I can feel you again","Chorus","Taylor Swift"
40,"But I just miss you, and I just wish you were a better man","Chorus","Taylor Swift"
41,"And I know why we had to say goodbye, like the back of my hand","Chorus","Taylor Swift"
42,"But I just miss you, and I just wish you were a better man","Chorus","Taylor Swift"
43,"A better man","Chorus","Taylor Swift"
44,"(Sometimes, in the middle of the night, I can feel you again)","Chorus","Taylor Swift"
45,"We might still be in love, if you were a better man","Chorus","Taylor Swift"
46,"(But I just miss you and I just wish you were a better man)","Chorus","Taylor Swift"
47,"Yeah, yeah","Chorus","Taylor Swift"
48,"I know why we had to say goodbye like the back of my hand","Chorus","Taylor Swift"
49,"But I just miss you and I just wish you were a better man","Chorus","Taylor Swift"
50,"A better man","Chorus","Taylor Swift"
51,"We might still be in love","Outro","Taylor Swift"
52,"If you were a better man","Outro","Taylor Swift"
53,"You would've been the one","Outro","Taylor Swift"
54,"If you were a better man","Outro","Taylor Swift"
