"line","lyric","element","element_artist"
1,"Nice to meet you, where you been?","Verse 1","Taylor Swift"
2,"I could show you incredible things","Verse 1","Taylor Swift"
3,"Magic, madness, heaven, sin","Verse 1","Taylor Swift"
4,"Saw you there and I thought","Verse 1","Taylor Swift"
5,"""Oh, my God, look at that face","Verse 1","Taylor Swift"
6,"You look like my next mistake","Verse 1","Taylor Swift"
7,"Love's a game, wanna play?"" Ayy","Verse 1","Taylor Swift"
8,"New money, suit and tie","Verse 1","Taylor Swift"
9,"I can read you like a magazine","Verse 1","Taylor Swift"
10,"Ain't it funny? Rumors fly","Verse 1","Taylor Swift"
11,"And I know you heard about me","Verse 1","Taylor Swift"
12,"So, hey, let's be friends","Verse 1","Taylor Swift"
13,"I'm dyin' to see how this one ends","Verse 1","Taylor Swift"
14,"Grab your passport and my hand","Verse 1","Taylor Swift"
15,"I can make the bad guys good for a weekend","Verse 1","Taylor Swift"
16,"So it's gonna be forever","Chorus","Taylor Swift"
17,"Or it's gonna go down in flames?","Chorus","Taylor Swift"
18,"You can tell me when it's over, mm","Chorus","Taylor Swift"
19,"If the high was worth the pain","Chorus","Taylor Swift"
20,"Got a long list of ex-lovers","Chorus","Taylor Swift"
21,"They'll tell you I'm insane","Chorus","Taylor Swift"
22,"'Cause you know I love the players","Chorus","Taylor Swift"
23,"And you love the game","Chorus","Taylor Swift"
24,"'Cause we're young and we're reckless","Chorus","Taylor Swift"
25,"We'll take this way too far","Chorus","Taylor Swift"
26,"It'll leave you breathless, mm","Chorus","Taylor Swift"
27,"Or with a nasty scar","Chorus","Taylor Swift"
28,"Got a long list of ex-lovers","Chorus","Taylor Swift"
29,"They'll tell you I'm insane","Chorus","Taylor Swift"
30,"But I've got a blank space, baby","Chorus","Taylor Swift"
31,"And I'll write your name","Chorus","Taylor Swift"
32,"Cherry lips, crystal skies","Verse 2","Taylor Swift"
33,"I could show you incredible things","Verse 2","Taylor Swift"
34,"Stolen kisses, pretty lies","Verse 2","Taylor Swift"
35,"You're the king, baby, I'm your queen","Verse 2","Taylor Swift"
36,"Find out what you want","Verse 2","Taylor Swift"
37,"Be that girl for a month","Verse 2","Taylor Swift"
38,"Wait, the worst is yet to come, oh, no","Verse 2","Taylor Swift"
39,"Screaming, crying, perfect storms","Verse 2","Taylor Swift"
40,"I can make all the tables turn","Verse 2","Taylor Swift"
41,"Rose garden filled with thorns","Verse 2","Taylor Swift"
42,"Keep you second guessin', like","Verse 2","Taylor Swift"
43,"""Oh, my God, who is she?""","Verse 2","Taylor Swift"
44,"I get drunk on jealousy","Verse 2","Taylor Swift"
45,"But you'll come back each time you leave","Verse 2","Taylor Swift"
46,"'Cause, darling, I'm a nightmare dressed like a daydream","Verse 2","Taylor Swift"
47,"So it's gonna be forever","Chorus","Taylor Swift"
48,"Or it's gonna go down in flames?","Chorus","Taylor Swift"
49,"You can tell me when it's over, mm","Chorus","Taylor Swift"
50,"If the high was worth the pain","Chorus","Taylor Swift"
51,"Got a long list of ex-lovers","Chorus","Taylor Swift"
52,"They'll tell you I'm insane","Chorus","Taylor Swift"
53,"'Cause you know I love the players","Chorus","Taylor Swift"
54,"And you love the game","Chorus","Taylor Swift"
55,"'Cause we're young and we're reckless (Oh)","Chorus","Taylor Swift"
56,"We'll take this way too far","Chorus","Taylor Swift"
57,"It'll leave you breathless (Oh-oh), mm","Chorus","Taylor Swift"
58,"Or with a nasty scar","Chorus","Taylor Swift"
59,"Got a long list of ex-lovers","Chorus","Taylor Swift"
60,"They'll tell you I'm insane (Insane)","Chorus","Taylor Swift"
61,"But I've got a blank space, baby","Chorus","Taylor Swift"
62,"And I'll write your name","Chorus","Taylor Swift"
63,"Boys only want love if it's torture","Bridge","Taylor Swift"
64,"Don't say I didn't, say I didn't warn ya","Bridge","Taylor Swift"
65,"Boys only want love if it's torture","Bridge","Taylor Swift"
66,"Don't say I didn't, say I didn't warn ya","Bridge","Taylor Swift"
67,"So it's gonna be forever","Chorus","Taylor Swift"
68,"Or it's gonna go down in flames?","Chorus","Taylor Swift"
69,"You can tell me when it's over (Over), mm","Chorus","Taylor Swift"
70,"If the high was worth the pain","Chorus","Taylor Swift"
71,"Got a long list of ex-lovers","Chorus","Taylor Swift"
72,"They'll tell you I'm insane (I'm insane)","Chorus","Taylor Swift"
73,"'Cause you know I love the players","Chorus","Taylor Swift"
74,"And you love the game (Love the game)","Chorus","Taylor Swift"
75,"'Cause we're young and we're reckless (Yeah)","Chorus","Taylor Swift"
76,"We'll take this way too far (Ooh)","Chorus","Taylor Swift"
77,"It'll leave you breathless, mm","Chorus","Taylor Swift"
78,"Or with a nasty scar (Or leave a nasty scar)","Chorus","Taylor Swift"
79,"Got a long list of ex-lovers","Chorus","Taylor Swift"
80,"They'll tell you I'm insane","Chorus","Taylor Swift"
81,"But I've got a blank space, baby","Chorus","Taylor Swift"
82,"And I'll write your name","Chorus","Taylor Swift"
