"line","lyric","element","element_artist"
1,"My castle crumbled overnight","Verse 1","Taylor Swift"
2,"I brought a knife to a gunfight","Verse 1","Taylor Swift"
3,"They took the crown, but it's alright","Verse 1","Taylor Swift"
4,"All the liars are calling me one","Verse 1","Taylor Swift"
5,"Nobody's heard from me for months","Verse 1","Taylor Swift"
6,"I'm doin' better than I ever was","Verse 1","Taylor Swift"
7,"'Cause","Verse 1","Taylor Swift"
8,"My baby's fit like a daydream","Chorus","Taylor Swift"
9,"Walking with his head down","Chorus","Taylor Swift"
10,"I'm the one he's walking to","Chorus","Taylor Swift"
11,"So call it what you want, yeah","Chorus","Taylor Swift"
12,"Call it what you want to","Chorus","Taylor Swift"
13,"My baby's fly like a jet stream","Chorus","Taylor Swift"
14,"High above the whole scene","Chorus","Taylor Swift"
15,"Loves me like I'm brand new","Chorus","Taylor Swift"
16,"So call it what you want, yeah","Chorus","Taylor Swift"
17,"Call it what you want to","Chorus","Taylor Swift"
18,"All my flowers grew back as thorns","Verse 2","Taylor Swift"
19,"Windows boarded up after the storm","Verse 2","Taylor Swift"
20,"He built a fire just to keep me warm","Verse 2","Taylor Swift"
21,"All the drama queens taking swings","Verse 2","Taylor Swift"
22,"All the jokers dressing up as kings","Verse 2","Taylor Swift"
23,"They fade to nothing when I look at him","Verse 2","Taylor Swift"
24,"And I know I make the same mistakes every time","Verse 2","Taylor Swift"
25,"Bridges burn, I never learn","Verse 2","Taylor Swift"
26,"At least I did one thing right","Verse 2","Taylor Swift"
27,"I did one thing right","Verse 2","Taylor Swift"
28,"I'm laughing with my lover, makin' forts under covers","Verse 2","Taylor Swift"
29,"Trust him like a brother","Verse 2","Taylor Swift"
30,"Yeah, you know I did one thing right","Verse 2","Taylor Swift"
31,"Starry eyes sparkin' up my darkest night","Verse 2","Taylor Swift"
32,"My baby's fit like a daydream","Chorus","Taylor Swift"
33,"Walking with his head down","Chorus","Taylor Swift"
34,"I'm the one he's walking to","Chorus","Taylor Swift"
35,"So call it what you want, yeah","Chorus","Taylor Swift"
36,"Call it what you want to","Chorus","Taylor Swift"
37,"My baby's fly like a jet stream","Chorus","Taylor Swift"
38,"High above the whole scene","Chorus","Taylor Swift"
39,"Loves me like I'm brand new","Chorus","Taylor Swift"
40,"(Call it what you want, call it what you want, call it)","Chorus","Taylor Swift"
41,"So call it what you want, yeah","Chorus","Taylor Swift"
42,"Call it what you want to","Chorus","Taylor Swift"
43,"I want to wear his initial on a chain 'round my neck","Bridge","Taylor Swift"
44,"Chain 'round my neck","Bridge","Taylor Swift"
45,"Not because he owns me","Bridge","Taylor Swift"
46,"But 'cause he really knows me","Bridge","Taylor Swift"
47,"Which is more than they can say, I","Bridge","Taylor Swift"
48,"I recall late November","Bridge","Taylor Swift"
49,"Holding my breath, slowly, I said","Bridge","Taylor Swift"
50,"""You don't need to save me","Bridge","Taylor Swift"
51,"But would you run away with me?""","Bridge","Taylor Swift"
52,"Yes (Would you run away?)","Bridge","Taylor Swift"
53,"My baby's fit like a daydream","Chorus","Taylor Swift"
54,"Walking with his head down","Chorus","Taylor Swift"
55,"I'm the one he's walking to","Chorus","Taylor Swift"
56,"(Call it what you want, call it what you want, call it)","Chorus","Taylor Swift"
57,"So call it what you want, yeah","Chorus","Taylor Swift"
58,"Call it what you want to","Chorus","Taylor Swift"
59,"My baby's fly like a jet stream","Chorus","Taylor Swift"
60,"High above the whole scene","Chorus","Taylor Swift"
61,"Loves me like I'm brand new","Chorus","Taylor Swift"
62,"(Call it what you want, call it what you want, call it)","Chorus","Taylor Swift"
63,"So call it what you want, yeah","Chorus","Taylor Swift"
64,"Call it what you want to","Chorus","Taylor Swift"
65,"(Call it what you want, call it)","Outro","Taylor Swift"
66,"(Call it what you want, call it what you want, call it)","Outro","Taylor Swift"
67,"(Call it what you want, call it what you want, call it)","Outro","Taylor Swift"
68,"(Call it what you want, call it what you want, call it)","Outro","Taylor Swift"
69,"(Call it what you want, call it what you want, call it)","Outro","Taylor Swift"
70,"(Call it what you want, call it what you want, call it)","Outro","Taylor Swift"
71,"(Call it what you want, call it what you want, call it)","Outro","Taylor Swift"
72,"Call it what you want, yeah","Outro","Taylor Swift"
73,"Call it what you want... to","Outro","Taylor Swift"
