"line","lyric","element","element_artist"
1,"Vintage tee, brand new phone","Verse 1","Taylor Swift"
2,"High heels on cobblestones","Verse 1","Taylor Swift"
3,"When you are young, they assume you know nothing","Verse 1","Taylor Swift"
4,"Sequin smile, black lipstick","Verse 1","Taylor Swift"
5,"Sensual politics","Verse 1","Taylor Swift"
6,"When you are young, they assume you know nothing","Verse 1","Taylor Swift"
7,"But I knew you","Chorus","Taylor Swift"
8,"Dancin' in your Levi's","Chorus","Taylor Swift"
9,"Drunk under a streetlight, I","Chorus","Taylor Swift"
10,"I knew you","Chorus","Taylor Swift"
11,"Hand under my sweatshirt","Chorus","Taylor Swift"
12,"Baby, kiss it better, I","Chorus","Taylor Swift"
13,"And when I felt like I was an old cardigan","Refrain","Taylor Swift"
14,"Under someone's bed","Refrain","Taylor Swift"
15,"You put me on and said I was your favorite","Refrain","Taylor Swift"
16,"A friend to all is a friend to none","Verse 2","Taylor Swift"
17,"Chase two girls, lose the one","Verse 2","Taylor Swift"
18,"When you are young, they assume you know nothing","Verse 2","Taylor Swift"
19,"But I knew you","Chorus","Taylor Swift"
20,"Playing hide-and-seek and","Chorus","Taylor Swift"
21,"Giving me your weekends, I","Chorus","Taylor Swift"
22,"I knew you","Chorus","Taylor Swift"
23,"Your heartbeat on the High Line","Chorus","Taylor Swift"
24,"Once in twenty lifetimes, I","Chorus","Taylor Swift"
25,"And when I felt like I was an old cardigan","Refrain","Taylor Swift"
26,"Under someone's bed","Refrain","Taylor Swift"
27,"You put me on and said I was your favorite","Refrain","Taylor Swift"
28,"To kiss in cars and downtown bars","Bridge","Taylor Swift"
29,"Was all we needed","Bridge","Taylor Swift"
30,"You drew stars around my scars","Bridge","Taylor Swift"
31,"But now I'm bleedin'","Bridge","Taylor Swift"
32,"'Cause I knew you","Chorus","Taylor Swift"
33,"Steppin' on the last train","Chorus","Taylor Swift"
34,"Marked me like a bloodstain, I","Chorus","Taylor Swift"
35,"I knew you","Chorus","Taylor Swift"
36,"Tried to change the ending","Chorus","Taylor Swift"
37,"Peter losing Wendy, I","Chorus","Taylor Swift"
38,"I knew you","Chorus","Taylor Swift"
39,"Leavin' like a father","Chorus","Taylor Swift"
40,"Running like water, I","Chorus","Taylor Swift"
41,"And when you are young, they assume you know nothing","Chorus","Taylor Swift"
42,"But I knew you'd linger like a tattoo kiss","Verse 3","Taylor Swift"
43,"I knew you'd haunt all of my what-ifs","Verse 3","Taylor Swift"
44,"The smell of smoke would hang around this long","Verse 3","Taylor Swift"
45,"'Cause I knew everything when I was young","Verse 3","Taylor Swift"
46,"I knew I'd curse you for the longest time","Verse 3","Taylor Swift"
47,"Chasin' shadows in the grocery line","Verse 3","Taylor Swift"
48,"I knew you'd miss me once the thrill expired","Verse 3","Taylor Swift"
49,"And you'd be standin' in my front porch light","Verse 3","Taylor Swift"
50,"And I knew you'd come back to me","Verse 3","Taylor Swift"
51,"You'd come back to me","Verse 3","Taylor Swift"
52,"And you'd come back to me","Verse 3","Taylor Swift"
53,"And you'd come back","Verse 3","Taylor Swift"
54,"And when I felt like I was an old cardigan","Refrain","Taylor Swift"
55,"Under someone's bed","Refrain","Taylor Swift"
56,"You put me on and said I was your favorite","Refrain","Taylor Swift"
