"line","lyric","element","element_artist"
1,"Please take down the mistletoe","Verse 1","Taylor Swift"
2,"'Cause I don't want to think about that right now","Verse 1","Taylor Swift"
3,"'Cause everything I want is miles away","Verse 1","Taylor Swift"
4,"In a snow covered little town","Verse 1","Taylor Swift"
5,"My momma's in the kitchen, worrying about me","Verse 1","Taylor Swift"
6,"Season's greetings, hope you're well","Verse 1","Taylor Swift"
7,"Well I'm doing alright","Verse 1","Taylor Swift"
8,"If you were wondering","Verse 1","Taylor Swift"
9,"Lately I can never tell","Verse 1","Taylor Swift"
10,"I know this shouldn't be a lonely time","Chorus","Taylor Swift"
11,"But there were Christmases when you were mine","Chorus","Taylor Swift"
12,"I've been doing fine without you, really","Verse 2","Taylor Swift"
13,"Up until the nights got cold","Verse 2","Taylor Swift"
14,"And everybody's here, except you, baby","Verse 2","Taylor Swift"
15,"Seems like everyone's got someone to hold","Verse 2","Taylor Swift"
16,"But for me it's just a lonely time","Chorus","Taylor Swift"
17,"'Cause there were Christmases when you were mine","Chorus","Taylor Swift"
18,"Merry Christmas, everybody","Verse 3","Taylor Swift"
19,"That'll have to be something I just say this year","Verse 3","Taylor Swift"
20,"I'll bet you got your mom another sweater","Verse 3","Taylor Swift"
21,"And were your cousins late again?","Verse 3","Taylor Swift"
22,"When you were putting up the lights this year","Verse 3","Taylor Swift"
23,"Did you notice one less pair of hands?","Verse 3","Taylor Swift"
24,"I know this shouldn't be a lonely time","Chorus","Taylor Swift"
25,"But there were Christmases when I didn't wonder how you are tonight","Chorus","Taylor Swift"
26,"'Cause there were Christmases when you were mine","Chorus","Taylor Swift"
27,"You were mine","Outro","Taylor Swift"
