"line","lyric","element","element_artist"
1,"It's been a long time","Verse 1","Taylor Swift"
2,"And seeing the shape of your name","Verse 1","Taylor Swift"
3,"Still spells out pain","Verse 1","Taylor Swift"
4,"It wasn't right","Verse 1","Taylor Swift"
5,"The way it all went down","Verse 1","Taylor Swift"
6,"Looks like you know that now","Verse 1","Taylor Swift"
7,"Yes, I got your letter","Chorus","Taylor Swift"
8,"Yes, I'm doing better","Chorus","Taylor Swift"
9,"It cut deep to know ya, right to the bone","Chorus","Taylor Swift"
10,"Yes, I got your letter","Chorus","Taylor Swift"
11,"Yes, I'm doing better","Chorus","Taylor Swift"
12,"I know that it's over, I don't need your","Chorus","Taylor Swift"
13,"Closure, your closure","Chorus","Taylor Swift"
14,"Don't treat me like","Verse 2","Taylor Swift"
15,"Some situation that needs to be handled","Verse 2","Taylor Swift"
16,"I'm fine with my spite","Verse 2","Taylor Swift"
17,"And my tears, and my beers and my candles","Verse 2","Taylor Swift"
18,"I can feel you smoothing me over","Verse 2","Taylor Swift"
19,"Yes, I got your letter","Chorus","Taylor Swift"
20,"Yes, I'm doing better","Chorus","Taylor Swift"
21,"It cut deep to know ya, right to the bone","Chorus","Taylor Swift"
22,"Yes, I got your letter","Chorus","Taylor Swift"
23,"Yes, I'm doing better","Chorus","Taylor Swift"
24,"I know that it's over, I don't need your","Chorus","Taylor Swift"
25,"Closure, your closure","Chorus","Taylor Swift"
26,"Your closure, your closure","Chorus","Taylor Swift"
27,"I know I'm just a wrinkle in your new life","Bridge","Taylor Swift"
28,"Staying friends would iron it out so nice","Bridge","Taylor Swift"
29,"Guilty, guilty, reaching out across the sea","Bridge","Taylor Swift"
30,"That you put between you and me","Bridge","Taylor Swift"
31,"But it's fake and it's oh so unnecessary","Bridge","Taylor Swift"
32,"Yes, I got your letter","Chorus","Taylor Swift"
33,"Yes, I'm doing better","Chorus","Taylor Swift"
34,"It cut deep to know ya, right to the bone","Chorus","Taylor Swift"
35,"Yes, I got your letter","Chorus","Taylor Swift"
36,"Yes, I'm doing better","Chorus","Taylor Swift"
37,"I know that it's over, I don't need your","Chorus","Taylor Swift"
38,"Closure, closure, your closure","Chorus","Taylor Swift"
39,"Your closure","Chorus","Taylor Swift"
