"line","lyric","element","element_artist"
1,"Break my soul in two looking for you","Verse 1","Taylor Swift"
2,"But you're right here","Verse 1","Taylor Swift"
3,"If I can't relate to you anymore","Verse 1","Taylor Swift"
4,"Then who am I related to?","Verse 1","Taylor Swift"
5,"And if this is the long haul","Verse 1","Taylor Swift"
6,"How'd we get here so soon?","Verse 1","Taylor Swift"
7,"Did I close my fist around something delicate?","Verse 1","Taylor Swift"
8,"Did I shatter you?","Verse 1","Taylor Swift"
9,"And I'm sitting on a bench in Coney Island","Pre-Chorus","Taylor Swift"
10,"Wondering where did my baby go?","Pre-Chorus","Taylor Swift"
11,"The fast times, the bright lights, the merry go","Pre-Chorus","Taylor Swift"
12,"Sorry for not making you my centerfold","Pre-Chorus","Taylor Swift"
13,"Over and over","Chorus","Taylor Swift"
14,"Lost again with no surprises","Chorus","Taylor Swift"
15,"Disappointments, close your eyes","Chorus","Taylor Swift"
16,"And it gets colder and colder","Chorus","Taylor Swift"
17,"When the sun goes down","Chorus","Taylor Swift"
18,"The question pounds my head","Verse 2","Taylor Swift"
19,"What's a lifetime of achievement","Verse 2","Taylor Swift"
20,"If I pushed you to the edge?","Verse 2","Taylor Swift"
21,"But you were too polite to leave me","Verse 2","Taylor Swift"
22,"And do you miss the rogue","Verse 2","Taylor Swift"
23,"Who coaxed you into paradise and left you there?","Verse 2","Taylor Swift"
24,"Will you forgive my soul","Verse 2","Taylor Swift"
25,"When you're too wise to trust me and too old to care?","Verse 2","Taylor Swift"
26,"'Cause we were like the mall before the internet","Pre-Chorus","Taylor Swift"
27,"It was the one place to be","Pre-Chorus","Taylor Swift"
28,"The mischief, the gift-wrapped suburban dreams","Pre-Chorus","Taylor Swift"
29,"Sorry for not winning you an arcade ring","Pre-Chorus","Taylor Swift"
30,"Over and over","Chorus","Taylor Swift"
31,"Lost again with no surprises","Chorus","Taylor Swift"
32,"Disappointments, close your eyes","Chorus","Taylor Swift"
33,"And it gets colder and colder","Chorus","Taylor Swift"
34,"When the sun goes down","Chorus","Taylor Swift"
35,"Were you waiting at our old spot","Bridge","Taylor Swift"
36,"In the tree line","Bridge","Taylor Swift"
37,"By the gold clock","Bridge","Taylor Swift"
38,"Did I leave you hanging every single day?","Bridge","Taylor Swift"
39,"Were you standing in the hallway","Bridge","Taylor Swift"
40,"With a big cake, happy birthday","Bridge","Taylor Swift"
41,"Did I paint your bluest skies the darkest grey?","Bridge","Taylor Swift"
42,"A universe away","Bridge","Taylor Swift"
43,"And when I got into the accident","Bridge","Taylor Swift"
44,"The sight that flashed before me was your face","Bridge","Taylor Swift"
45,"But when I walked up to the podium, I think that I forgot to say your name","Bridge","Taylor Swift"
46,"I'm on a bench in Coney Island","Pre-Chorus","Taylor Swift"
47,"Wondering where did my baby go?","Pre-Chorus","Taylor Swift"
48,"The fast times, the bright lights, the merry go","Pre-Chorus","Taylor Swift"
49,"Sorry for not making you my centerfold","Pre-Chorus","Taylor Swift"
50,"Over and over","Chorus","Taylor Swift"
51,"Lost again with no surprises","Chorus","Taylor Swift"
52,"Disappointments, close your eyes","Chorus","Taylor Swift"
53,"And it gets colder and colder","Chorus","Taylor Swift"
54,"When the sun goes down","Chorus","Taylor Swift"
55,"When the sun goes down","Outro","Taylor Swift"
56,"The sight that flashed before me was your face","Outro","Taylor Swift"
57,"When the sun goes down","Outro","Taylor Swift"
58,"But I think that I forgot to say your name","Outro","Taylor Swift"
59,"Over and over","Outro","Taylor Swift"
60,"Sorry for not making you my, making you my","Outro","Taylor Swift"
61,"Making you my centerfold","Outro","Taylor Swift"
