"line","lyric","element","element_artist"
1,"We were in the backseat","Verse 1","Taylor Swift"
2,"Drunk on something stronger than the drinks in the bar","Verse 1","Taylor Swift"
3,"""I rent a place on Cornelia Street""","Verse 1","Taylor Swift"
4,"I say casually in the car","Verse 1","Taylor Swift"
5,"We were a fresh page on the desk","Verse 1","Taylor Swift"
6,"Filling in the blanks as we go","Verse 1","Taylor Swift"
7,"As if the street lights pointed in an arrow head","Verse 1","Taylor Swift"
8,"Leading us home","Verse 1","Taylor Swift"
9,"And I hope I never lose you, hope it never ends","Chorus","Taylor Swift"
10,"I'd never walk Cornelia Street again","Chorus","Taylor Swift"
11,"That's the kinda heartbreak time could never mend","Chorus","Taylor Swift"
12,"I'd never walk Cornelia Street again","Chorus","Taylor Swift"
13,"And baby, I get mystified by how this city screams your name","Chorus","Taylor Swift"
14,"And baby, I'm so terrified of if you ever walk away","Chorus","Taylor Swift"
15,"I'd never walk Cornelia Street again","Chorus","Taylor Swift"
16,"I'd never walk Cornelia Street again","Chorus","Taylor Swift"
17,"Windows flung right open, autumn air","Verse 2","Taylor Swift"
18,"Jacket 'round my shoulders is yours","Verse 2","Taylor Swift"
19,"We bless the rains on Cornelia Street","Verse 2","Taylor Swift"
20,"Memorize the creaks in the floor","Verse 2","Taylor Swift"
21,"Back when we were card sharks, playing games","Verse 2","Taylor Swift"
22,"I thought you were leading me on","Verse 2","Taylor Swift"
23,"I packed my bags, left Cornelia Street","Verse 2","Taylor Swift"
24,"Before you even knew I was gone","Verse 2","Taylor Swift"
25,"But then you called, showed your hand","Pre-Chorus","Taylor Swift"
26,"I turned around before I hit the tunnel","Pre-Chorus","Taylor Swift"
27,"Sat on the roof, you and I","Pre-Chorus","Taylor Swift"
28,"I hope I never lose you, hope it never ends","Chorus","Taylor Swift"
29,"I'd never walk Cornelia Street again","Chorus","Taylor Swift"
30,"That's the kinda heartbreak time could never mend","Chorus","Taylor Swift"
31,"I'd never walk Cornelia Street again","Chorus","Taylor Swift"
32,"And baby, I get mystified by how this city screams your name","Chorus","Taylor Swift"
33,"And baby, I'm so terrified of if you ever walk away","Chorus","Taylor Swift"
34,"I'd never walk Cornelia Street again","Chorus","Taylor Swift"
35,"I'd never walk Cornelia Street again","Chorus","Taylor Swift"
36,"You hold my hand on the street","Bridge","Taylor Swift"
37,"Walk me back to that apartment","Bridge","Taylor Swift"
38,"Years ago, we were just inside","Bridge","Taylor Swift"
39,"Barefoot in the kitchen","Bridge","Taylor Swift"
40,"Sacred new beginnings","Bridge","Taylor Swift"
41,"That became my religion, listen","Bridge","Taylor Swift"
42,"I hope I never lose you","Chorus","Taylor Swift"
43,"I'd never walk Cornelia Street again","Chorus","Taylor Swift"
44,"Oh, never again","Chorus","Taylor Swift"
45,"And baby, I get mystified by how this city screams your name","Chorus","Taylor Swift"
46,"And baby, I'm so terrified of if you ever walk away","Chorus","Taylor Swift"
47,"I'd never walk Cornelia Street again","Chorus","Taylor Swift"
48,"I'd never walk Cornelia Street again","Chorus","Taylor Swift"
49,"I don't wanna lose you (Hope it never ends)","Post-Chorus","Taylor Swift"
50,"I'd never walk Cornelia Street again","Post-Chorus","Taylor Swift"
51,"I don't wanna lose you (Yeah)","Post-Chorus","Taylor Swift"
52,"""I rent a place on Cornelia Street""","Outro","Taylor Swift"
53,"I say casually in the car","Outro","Taylor Swift"
