"line","lyric","element","element_artist"
1,"And the tennis court was covered up","Verse 1","Taylor Swift"
2,"With some tent-like thing","Verse 1","Taylor Swift"
3,"And you asked me to dance","Verse 1","Taylor Swift"
4,"But I said, ""Dancin' is a dangerous game""","Verse 1","Taylor Swift"
5,"Oh, I thought","Verse 2","Taylor Swift"
6,"This is gonna be one of those things","Verse 2","Taylor Swift"
7,"Now I know","Verse 2","Taylor Swift"
8,"I'm never gonna love again","Verse 2","Taylor Swift"
9,"I've got some tricks up my sleeve","Chorus","Taylor Swift"
10,"Takes one to know one","Chorus","Taylor Swift"
11,"You're a cowboy like me","Chorus","Taylor Swift"
12,"Never wanted love","Verse 3","Taylor Swift"
13,"Just a fancy car","Verse 3","Taylor Swift"
14,"Now I'm waiting by the phone","Verse 3","Taylor Swift"
15,"Like I'm sitting in an airport bar","Verse 3","Taylor Swift"
16,"You had some tricks up your sleeve","Chorus","Taylor Swift"
17,"Takes one to know one","Chorus","Taylor Swift"
18,"You're a cowboy like me","Chorus","Taylor Swift"
19,"Perched in the dark","Post-Chorus 1","Taylor Swift"
20,"Telling all the rich folks anything they wanna hear","Post-Chorus 1","Taylor Swift"
21,"Like it could be love","Post-Chorus 1","Taylor Swift"
22,"I could be the way forward","Post-Chorus 1","Taylor Swift"
23,"Only if they pay for it","Post-Chorus 1","Taylor Swift"
24,"You're a bandit like me","Post-Chorus 1","Taylor Swift"
25,"Eyes full of stars","Post-Chorus 2","Taylor Swift"
26,"Hustling for the good life","Post-Chorus 2","Taylor Swift"
27,"Never thought I'd meet you here","Post-Chorus 2","Taylor Swift"
28,"It could be love","Post-Chorus 2","Taylor Swift"
29,"We could be the way forward","Post-Chorus 2","Taylor Swift"
30,"And I know I'll pay for it","Post-Chorus 2","Taylor Swift"
31,"You're a cowboy like me","Chorus","Taylor Swift"
32,"Perched in the dark","Post-Chorus 1","Taylor Swift"
33,"Telling all the rich folks anything they wanna hear","Post-Chorus 1","Taylor Swift"
34,"Like it could be love","Post-Chorus 1","Taylor Swift"
35,"I could be the way forward","Post-Chorus 1","Taylor Swift"
36,"Only if they pay for it","Post-Chorus 1","Taylor Swift"
37,"You're a bandit like me","Post-Chorus 1","Taylor Swift"
38,"Eyes full of stars","Post-Chorus 2","Taylor Swift"
39,"Hustling for the good life","Post-Chorus 2","Taylor Swift"
40,"Never thought I'd meet you here","Post-Chorus 2","Taylor Swift"
41,"It could be love","Post-Chorus 2","Taylor Swift"
42,"We could be the way forward","Post-Chorus 2","Taylor Swift"
43,"And I know I'll pay for it","Post-Chorus 2","Taylor Swift"
44,"And the skeletons in both our closets","Bridge","Taylor Swift"
45,"Plotted hard to fuck this up","Bridge","Taylor Swift"
46,"And the old men that I've swindled","Bridge","Taylor Swift"
47,"Really did believe I was the one","Bridge","Taylor Swift"
48,"And the ladies lunching have their stories about","Bridge","Taylor Swift"
49,"When you passed through town","Bridge","Taylor Swift"
50,"But that was all before I locked it down","Bridge","Taylor Swift"
51,"Now you hang from my lips","Verse 4","Taylor Swift"
52,"Like the Gardens of Babylon","Verse 4","Taylor Swift"
53,"With your boots beneath my bed","Verse 4","Taylor Swift"
54,"Forever is the sweetest con","Verse 4","Taylor Swift"
55,"I've had some tricks up my sleeve","Chorus","Taylor Swift"
56,"Takes one to know one","Chorus","Taylor Swift"
57,"You're a cowboy like me","Chorus","Taylor Swift"
58,"And I'm never gonna love again","Outro","Taylor Swift"
59,"I'm never gonna love again","Outro","Taylor Swift"
60,"I'm never gonna love again","Outro","Taylor Swift"
