"line","lyric","element","element_artist"
1,"I'd never gone with the wind","Verse 1","Taylor Swift"
2,"Just let it flow","Verse 1","Taylor Swift"
3,"Let it take me where it wants to go","Verse 1","Taylor Swift"
4,"'Til you open the door","Verse 1","Taylor Swift"
5,"There's so much more","Verse 1","Taylor Swift"
6,"I'd never seen it before","Verse 1","Taylor Swift"
7,"I was trying to fly","Verse 1","Taylor Swift"
8,"But I couldn't find wings","Verse 1","Taylor Swift"
9,"But you came along and you changed everything","Verse 1","Taylor Swift"
10,"You lift my feet off the ground","Chorus","Taylor Swift"
11,"You spin me around","Chorus","Taylor Swift"
12,"You make me crazier, crazier","Chorus","Taylor Swift"
13,"Feels like I'm falling and I am lost in your eyes","Chorus","Taylor Swift"
14,"You make me crazier, crazier, crazier","Chorus","Taylor Swift"
15,"I've watched from a distance as you made life your own","Verse 2","Taylor Swift"
16,"Every sky was your own kind of blue","Verse 2","Taylor Swift"
17,"And I wanted to know how that would feel","Verse 2","Taylor Swift"
18,"And you made it so real","Verse 2","Taylor Swift"
19,"You showed me something that I couldn't see","Verse 2","Taylor Swift"
20,"You opened my eyes","Verse 2","Taylor Swift"
21,"And you made me believe","Verse 2","Taylor Swift"
22,"You lift my feet off the ground","Chorus","Taylor Swift"
23,"You spin me around","Chorus","Taylor Swift"
24,"You make me crazier, crazier","Chorus","Taylor Swift"
25,"Feels like I'm falling and I am lost in your eyes","Chorus","Taylor Swift"
26,"You make me crazier, crazier, crazier, oh","Chorus","Taylor Swift"
27,"Baby you showed me what living is for","Bridge","Taylor Swift"
28,"I don't want to hide anymore","Bridge","Taylor Swift"
29,"Oh oh","Bridge","Taylor Swift"
30,"You lift my feet off the ground","Chorus","Taylor Swift"
31,"You spin me around","Chorus","Taylor Swift"
32,"You make me crazier, crazier","Chorus","Taylor Swift"
33,"Feels like I'm falling and I am lost in your eyes","Chorus","Taylor Swift"
34,"You make me crazier, crazier, crazier","Chorus","Taylor Swift"
35,"Crazier, crazier","Chorus","Taylor Swift"
