"line","lyric","element","element_artist"
1,"My love was as cruel as the cities I lived in","Verse 1","Taylor Swift"
2,"Everyone looked worse in the light","Verse 1","Taylor Swift"
3,"There are so many lines that I've crossed unforgiven","Verse 1","Taylor Swift"
4,"I'll tell you the truth, but never goodbye","Verse 1","Taylor Swift"
5,"I don't wanna look at anything else now that I saw you","Chorus","Taylor Swift"
6,"I don't wanna think of anything else now that I thought of you","Chorus","Taylor Swift"
7,"I've been sleeping so long in a 20-year dark night","Chorus","Taylor Swift"
8,"And now I see daylight, I only see daylight","Chorus","Taylor Swift"
9,"Luck of the draw only draws the unlucky","Verse 2","Taylor Swift"
10,"And so I became the butt of the joke","Verse 2","Taylor Swift"
11,"I wounded the good and I trusted the wicked","Verse 2","Taylor Swift"
12,"Clearing the air, I breathed in the smoke","Verse 2","Taylor Swift"
13,"Maybe you ran with the wolves and refused to settle down","Verse 2","Taylor Swift"
14,"Maybe I've stormed out of every single room in this town","Verse 2","Taylor Swift"
15,"Threw out our cloaks and our daggers because it's morning now","Verse 2","Taylor Swift"
16,"It's brighter now, now","Verse 2","Taylor Swift"
17,"I don't wanna look at anything else now that I saw you","Chorus","Taylor Swift"
18,"(I can never look away)","Chorus","Taylor Swift"
19,"I don't wanna think of anything else now that I thought of you","Chorus","Taylor Swift"
20,"(Things will never be the same)","Chorus","Taylor Swift"
21,"I've been sleeping so long in a 20-year dark night","Chorus","Taylor Swift"
22,"(Now I'm wide awake)","Chorus","Taylor Swift"
23,"And now I see daylight (Daylight), I only see daylight (Daylight)","Chorus","Taylor Swift"
24,"I only see daylight, daylight, daylight, daylight","Chorus","Taylor Swift"
25,"I only see daylight, daylight, daylight, daylight","Chorus","Taylor Swift"
26,"And I can still see it all (In my mind)","Bridge","Taylor Swift"
27,"All of you, all of me (Intertwined)","Bridge","Taylor Swift"
28,"I once believed love would be (Black and white)","Bridge","Taylor Swift"
29,"But it's golden (Golden)","Bridge","Taylor Swift"
30,"And I can still see it all (In my head)","Bridge","Taylor Swift"
31,"Back and forth from New York (Sneaking in your bed)","Bridge","Taylor Swift"
32,"I once believed love would be (Burning red)","Bridge","Taylor Swift"
33,"But it's golden","Bridge","Taylor Swift"
34,"Like daylight, like daylight","Bridge","Taylor Swift"
35,"Like daylight, daylight","Bridge","Taylor Swift"
36,"I don't wanna look at anything else now that I saw you","Chorus","Taylor Swift"
37,"(I can never look away)","Chorus","Taylor Swift"
38,"And I don't wanna think of anything else now that I thought of you","Chorus","Taylor Swift"
39,"(Things will never be the same)","Chorus","Taylor Swift"
40,"I've been sleeping so long in a 20-year dark night","Chorus","Taylor Swift"
41,"(Now I'm wide awake)","Chorus","Taylor Swift"
42,"And now I see daylight (I see daylight), I only see daylight (Ah)","Chorus","Taylor Swift"
43,"I only see daylight, daylight, daylight, daylight","Chorus","Taylor Swift"
44,"I only see daylight, daylight, daylight, daylight (Ah)","Chorus","Taylor Swift"
45,"(And I can still see it all)","Chorus","Taylor Swift"
46,"I only see daylight, daylight, daylight, daylight","Chorus","Taylor Swift"
47,"(And I can still see it all, back and forth from New York)","Chorus","Taylor Swift"
48,"I only see daylight, daylight, daylight, daylight","Chorus","Taylor Swift"
49,"(I once believed love would be burning red)","Chorus","Taylor Swift"
50,"Like daylight","Outro","Taylor Swift"
51,"It's golden like daylight","Outro","Taylor Swift"
52,"You gotta step into the daylight and let it go","Outro","Taylor Swift"
53,"Just let it go, let it go","Outro","Taylor Swift"
54,"I wanna be defined by the things that I love","Spoken Outro","Taylor Swift"
55,"Not the things I hate","Spoken Outro","Taylor Swift"
56,"Not the things I'm afraid of, I'm afraid of","Spoken Outro","Taylor Swift"
57,"Or the things that haunt me in the middle of the night","Spoken Outro","Taylor Swift"
58,"I, I just think that","Spoken Outro","Taylor Swift"
59,"You are what you love","Spoken Outro","Taylor Swift"
