"line","lyric","element","element_artist"
1,"Dear reader, if it feels like a trap","Verse 1","Taylor Swift"
2,"You're already in one","Verse 1","Taylor Swift"
3,"Dear reader, get out your map","Verse 1","Taylor Swift"
4,"Pick somewhere and just run","Verse 1","Taylor Swift"
5,"Dear reader, burn all the files","Verse 1","Taylor Swift"
6,"Desert all your past lives","Verse 1","Taylor Swift"
7,"And if you don't recognize yourself","Verse 1","Taylor Swift"
8,"That means you did it right","Verse 1","Taylor Swift"
9,"Never take advice from someone who's falling apart","Chorus","Taylor Swift"
10,"Never take advice from someone who's falling apart","Chorus","Taylor Swift"
11,"Dear reader, bend when you can","Verse 2","Taylor Swift"
12,"Snap when you have to","Verse 2","Taylor Swift"
13,"Dear reader, you don't have to answer","Verse 2","Taylor Swift"
14,"Just 'cause they asked you","Verse 2","Taylor Swift"
15,"(You should find another)","Verse 2","Taylor Swift"
16,"Dear reader, the greatest of luxuries is your secrets","Verse 2","Taylor Swift"
17,"Dear reader, when you aim at the devil","Verse 2","Taylor Swift"
18,"Make sure you don't miss","Verse 2","Taylor Swift"
19,"Never take advice from someone who's falling apart","Chorus","Taylor Swift"
20,"Never take advice from someone who's falling apart","Chorus","Taylor Swift"
21,"So I wander through these nights","Bridge","Taylor Swift"
22,"I prefer hiding in plain sight","Bridge","Taylor Swift"
23,"My fourth drink in my hand","Bridge","Taylor Swift"
24,"These desperate prayers of a cursed man","Bridge","Taylor Swift"
25,"Spilling out to you for free","Bridge","Taylor Swift"
26,"But darling, darling, please","Bridge","Taylor Swift"
27,"You wouldn't take my word for it if you knew who was talking","Bridge","Taylor Swift"
28,"If you knew where I was walking","Bridge","Taylor Swift"
29,"To a house, not a home, all alone 'cause nobody's there","Bridge","Taylor Swift"
30,"Where I pace in my pen and my friends found friends who care","Bridge","Taylor Swift"
31,"No one sees when you lose when you're playing solitaire","Bridge","Taylor Swift"
32,"You should find another guiding light, guiding light","Outro","Taylor Swift"
33,"But I shine so bright","Outro","Taylor Swift"
34,"You should find another guiding light, guiding light","Outro","Taylor Swift"
35,"But I shine so bright","Outro","Taylor Swift"
36,"You should find another, you should find another (Guiding light)","Outro","Taylor Swift"
37,"Find another, you should find another","Outro","Taylor Swift"
38,"You should find another","Outro","Taylor Swift"
