"line","lyric","element","element_artist"
1,"This ain't for the best","Intro","Taylor Swift"
2,"My reputation's never been worse, so","Intro","Taylor Swift"
3,"You must like me for me...","Intro","Taylor Swift"
4,"We can't make","Intro","Taylor Swift"
5,"Any promises now, can we, babe?","Intro","Taylor Swift"
6,"But you can make me a drink","Intro","Taylor Swift"
7,"Dive bar on the East Side, where you at?","Verse 1","Taylor Swift"
8,"Phone lights up my nightstand in the black","Verse 1","Taylor Swift"
9,"Come here, you can meet me in the back","Verse 1","Taylor Swift"
10,"Dark jeans and your Nikes, look at you","Verse 1","Taylor Swift"
11,"Oh damn, never seen that color blue","Verse 1","Taylor Swift"
12,"Just think of the fun things we could do","Verse 1","Taylor Swift"
13,"'Cause I like you","Verse 1","Taylor Swift"
14,"This ain't for the best","Pre-Chorus","Taylor Swift"
15,"My reputation's never been worse, so","Pre-Chorus","Taylor Swift"
16,"You must like me for me...","Pre-Chorus","Taylor Swift"
17,"Yeah, I want you","Pre-Chorus","Taylor Swift"
18,"We can't make","Pre-Chorus","Taylor Swift"
19,"Any promises now, can we, babe?","Pre-Chorus","Taylor Swift"
20,"But you can make me a drink","Pre-Chorus","Taylor Swift"
21,"Is it cool that I said all that?","Chorus","Taylor Swift"
22,"Is it chill that you're in my head?","Chorus","Taylor Swift"
23,"'Cause I know that it's delicate (Delicate)","Chorus","Taylor Swift"
24,"Is it cool that I said all that?","Chorus","Taylor Swift"
25,"Is it too soon to do this yet?","Chorus","Taylor Swift"
26,"'Cause I know that it's delicate","Chorus","Taylor Swift"
27,"Isn't it? Isn't it? Isn't it?","Chorus","Taylor Swift"
28,"Isn't it?","Chorus","Taylor Swift"
29,"Isn't it? Isn't it? Isn't it?","Chorus","Taylor Swift"
30,"Isn't it... delicate?","Chorus","Taylor Swift"
31,"Third floor on the West Side, me and you","Verse 2","Taylor Swift"
32,"Handsome, you're a mansion with a view","Verse 2","Taylor Swift"
33,"Do the girls back home touch you like I do?","Verse 2","Taylor Swift"
34,"Long night, with your hands up in my hair","Verse 2","Taylor Swift"
35,"Echoes of your footsteps on the stairs","Verse 2","Taylor Swift"
36,"Stay here, honey, I don't wanna share","Verse 2","Taylor Swift"
37,"'Cause I like you","Verse 2","Taylor Swift"
38,"This ain't for the best","Pre-Chorus","Taylor Swift"
39,"My reputation's never been worse, so","Pre-Chorus","Taylor Swift"
40,"You must like me for me...","Pre-Chorus","Taylor Swift"
41,"Yeah, I want you...","Pre-Chorus","Taylor Swift"
42,"We can't make","Pre-Chorus","Taylor Swift"
43,"Any promises now, can we, babe?","Pre-Chorus","Taylor Swift"
44,"But you can make me a drink","Pre-Chorus","Taylor Swift"
45,"Is it cool that I said all that?","Chorus","Taylor Swift"
46,"Is it chill that you're in my head?","Chorus","Taylor Swift"
47,"'Cause I know that it's delicate (Delicate)","Chorus","Taylor Swift"
48,"Is it cool that I said all that?","Chorus","Taylor Swift"
49,"Is it too soon to do this yet?","Chorus","Taylor Swift"
50,"'Cause I know that it's delicate","Chorus","Taylor Swift"
51,"Isn't it? Isn't it? Isn't it?","Chorus","Taylor Swift"
52,"Isn't it?","Chorus","Taylor Swift"
53,"Isn't it? Isn't it? Isn't it?","Chorus","Taylor Swift"
54,"Isn't it delicate?","Chorus","Taylor Swift"
55,"Sometimes I wonder when you sleep","Bridge","Taylor Swift"
56,"Are you ever dreaming of me?","Bridge","Taylor Swift"
57,"Sometimes when I look into your eyes","Bridge","Taylor Swift"
58,"I pretend you're mine, all the damn time","Bridge","Taylor Swift"
59,"'Cause I like you","Bridge","Taylor Swift"
60,"Is it cool that I said all that?","Chorus","Taylor Swift"
61,"Is it chill that you're in my head?","Chorus","Taylor Swift"
62,"'Cause I know that it's delicate (Delicate)","Chorus","Taylor Swift"
63,"(Yeah, I want you)","Chorus","Taylor Swift"
64,"Is it cool that I said all that?","Chorus","Taylor Swift"
65,"Is it too soon to do this yet?","Chorus","Taylor Swift"
66,"'Cause I know that it's delicate (Delicate)","Chorus","Taylor Swift"
67,"'Cause I like you","Chorus","Taylor Swift"
68,"Is it cool that I said all that?","Chorus","Taylor Swift"
69,"Isn't it? Isn't it? Isn't it? Isn't it?","Chorus","Taylor Swift"
70,"Is it chill that you're in my head?","Chorus","Taylor Swift"
71,"Isn't it? Isn't it? Isn't it? Isn't it?","Chorus","Taylor Swift"
72,"'Cause I know that it's delicate","Chorus","Taylor Swift"
73,"Isn't it? Isn't it? Isn't it? Isn't it?","Chorus","Taylor Swift"
74,"(Yeah, I want you)","Chorus","Taylor Swift"
75,"Is it cool that I said all that?","Chorus","Taylor Swift"
76,"Isn't it? Isn't it? Isn't it? Isn't it?","Chorus","Taylor Swift"
77,"Is it too soon to do this yet?","Chorus","Taylor Swift"
78,"Isn't it? Isn't it? Isn't it?","Chorus","Taylor Swift"
79,"'Cause I know that it's delicate","Chorus","Taylor Swift"
80,"Isn't it delicate?","Chorus","Taylor Swift"
