"line","lyric","element","element_artist"
1,"Don't blame me, love made me crazy","Chorus","Taylor Swift"
2,"If it doesn't, you ain't doin' it right","Chorus","Taylor Swift"
3,"Lord, save me, my drug is my baby","Chorus","Taylor Swift"
4,"I'll be usin' for the rest of my life","Chorus","Taylor Swift"
5,"I've been breakin' hearts a long time","Verse 1","Taylor Swift"
6,"And toyin' with them older guys","Verse 1","Taylor Swift"
7,"Just playthings for me to use","Verse 1","Taylor Swift"
8,"Something happened for the first time","Verse 1","Taylor Swift"
9,"In the darkest little paradise","Verse 1","Taylor Swift"
10,"Shakin', pacin', I just need you","Verse 1","Taylor Swift"
11,"For you, I would cross the line","Pre-Chorus","Taylor Swift"
12,"I would waste my time","Pre-Chorus","Taylor Swift"
13,"I would lose my mind","Pre-Chorus","Taylor Swift"
14,"They say, ""She's gone too far this time""","Pre-Chorus","Taylor Swift"
15,"Don't blame me, love made me crazy","Chorus","Taylor Swift"
16,"If it doesn't, you ain't doin' it right","Chorus","Taylor Swift"
17,"Lord, save me, my drug is my baby","Chorus","Taylor Swift"
18,"I'll be usin' for the rest of my life","Chorus","Taylor Swift"
19,"Don't blame me, love made me crazy","Chorus","Taylor Swift"
20,"If it doesn't, you ain't doin' it right","Chorus","Taylor Swift"
21,"Oh, Lord, save me, my drug is my baby","Chorus","Taylor Swift"
22,"I'll be usin' for the rest of my life","Chorus","Taylor Swift"
23,"My name is whatever you decide","Verse 2","Taylor Swift"
24,"And I'm just gonna call you mine","Verse 2","Taylor Swift"
25,"I'm insane, but I'm your baby (Your baby)","Verse 2","Taylor Swift"
26,"Echoes of your name inside my mind","Verse 2","Taylor Swift"
27,"Halo hiding my obsession","Verse 2","Taylor Swift"
28,"I once was poison ivy, but now I'm your daisy","Verse 2","Taylor Swift"
29,"And baby, for you, I would fall from grace","Pre-Chorus 2","Taylor Swift"
30,"Just to touch your face","Pre-Chorus 2","Taylor Swift"
31,"If you walk away, I'd beg you on my knees to stay","Pre-Chorus 2","Taylor Swift"
32,"Don't blame me, love made me crazy","Chorus","Taylor Swift"
33,"If it doesn't, you ain't doin' it right","Chorus","Taylor Swift"
34,"Lord, save me, my drug is my baby","Chorus","Taylor Swift"
35,"I'll be usin' for the rest of my life","Chorus","Taylor Swift"
36,"Don't blame me, love made me crazy","Chorus","Taylor Swift"
37,"If it doesn't, you ain't doin' it right","Chorus","Taylor Swift"
38,"Oh, Lord, save me, my drug is my baby","Chorus","Taylor Swift"
39,"I'll be usin' for the rest of my life","Chorus","Taylor Swift"
40,"I get so high, oh!","Bridge","Taylor Swift"
41,"Every time you're, every time you're lovin' me","Bridge","Taylor Swift"
42,"You're lovin' me","Bridge","Taylor Swift"
43,"Trip of my life, oh!","Bridge","Taylor Swift"
44,"Every time you're, every time you're touchin' me","Bridge","Taylor Swift"
45,"You're touchin' me","Bridge","Taylor Swift"
46,"Every time you're, every time you're lovin' me","Bridge","Taylor Swift"
47,"Oh, Lord, save me","Bridge","Taylor Swift"
48,"My drug is my baby","Bridge","Taylor Swift"
49,"I'll be usin' for the rest of my life","Bridge","Taylor Swift"
50,"(Usin' for the rest of my life, oh-whoah-oh-oh)","Bridge","Taylor Swift"
51,"Don't blame me, love made me crazy","Chorus","Taylor Swift"
52,"If it doesn't, you ain't doin' it right (Doin' it right, no)","Chorus","Taylor Swift"
53,"Lord, save me, my drug is my baby","Chorus","Taylor Swift"
54,"I'll be usin' for the rest of my life, oh-oh","Chorus","Taylor Swift"
55,"Don't blame me, love made me crazy (Oh-oh-oh)","Chorus","Taylor Swift"
56,"If it doesn't, you ain't doin' it right (You ain't doin' it right)","Chorus","Taylor Swift"
57,"Oh, Lord, save me, my drug is my baby","Chorus","Taylor Swift"
58,"I'll be usin' for the rest of my life (I'll be usin', I'll be usin')","Chorus","Taylor Swift"
59,"I get so high, oh!","Outro","Taylor Swift"
60,"Every time you're, every time you're lovin' me","Outro","Taylor Swift"
61,"You're lovin' me","Outro","Taylor Swift"
62,"Oh, Lord, save me, my drug is my baby","Outro","Taylor Swift"
63,"I'll be usin' for the rest of my life","Outro","Taylor Swift"
