"line","lyric","element","element_artist"
1,"Hey, I knew I'd run into you somewhere","Verse 1","Taylor Swift"
2,"It's been a while, I didn't mean to stare","Verse 1","Taylor Swift"
3,"I heard she's nothin' like me","Verse 1","Taylor Swift"
4,"I'm sure she'll make you happy","Verse 1","Taylor Swift"
5,"But don't you, don't you","Chorus","Taylor Swift"
6,"Smile at me and ask me how I've been","Chorus","Taylor Swift"
7,"Don't you say you've","Chorus","Taylor Swift"
8,"Missed me if you don't want me again","Chorus","Taylor Swift"
9,"You don't know how much I feel I love you still","Chorus","Taylor Swift"
10,"So why don't you, don't you?","Chorus","Taylor Swift"
11,"Ah, ah, ah, ah","Post-Chorus","Taylor Swift"
12,"Ah, ah, ah","Post-Chorus","Taylor Swift"
13,"Sometimes, I really wish that I could hate you","Verse 2","Taylor Swift"
14,"I've tried, but that's just somethin' I can't do","Verse 2","Taylor Swift"
15,"My heart knows what the truth is","Verse 2","Taylor Swift"
16,"I swore I wouldn't do this","Verse 2","Taylor Swift"
17,"But don't you, don't you","Chorus","Taylor Swift"
18,"Smile at me and ask me how I've been","Chorus","Taylor Swift"
19,"Don't you say you've","Chorus","Taylor Swift"
20,"Missed me if you don't want me again","Chorus","Taylor Swift"
21,"You don't know how much I feel I love you still","Chorus","Taylor Swift"
22,"So why don't you, don't you?","Chorus","Taylor Swift"
23,"So I walk outta here tonight","Bridge","Taylor Swift"
24,"Try to go on with my life","Bridge","Taylor Swift"
25,"And you can say we're still friends","Bridge","Taylor Swift"
26,"(But I don't wanna pretend)","Bridge","Taylor Swift"
27,"So if I see you again","Bridge","Taylor Swift"
28,"Don't you (Don't you), don't you","Chorus","Taylor Swift"
29,"Smile at me and ask me how I've been","Chorus","Taylor Swift"
30,"Don't you (Don't you) say you've","Chorus","Taylor Swift"
31,"Missed me if you don't want me again","Chorus","Taylor Swift"
32,"You don't (You don't) know how much I feel I love you still","Chorus","Taylor Swift"
33,"So why don't you, don't you?","Chorus","Taylor Swift"
34,"Ah, ah, ah, ah","Outro","Taylor Swift"
35,"Don't you (Ah, ah, ah)","Outro","Taylor Swift"
