"line","lyric","element","element_artist"
1,"There I was again tonight","Verse 1","Taylor Swift"
2,"Forcing laughter, faking smiles","Verse 1","Taylor Swift"
3,"Same old tired, lonely place","Verse 1","Taylor Swift"
4,"Walls of insincerity","Verse 1","Taylor Swift"
5,"Shifting eyes and vacancy","Verse 1","Taylor Swift"
6,"Vanished when I saw your face","Verse 1","Taylor Swift"
7,"All I can say is it was enchanting to meet you","Verse 1","Taylor Swift"
8,"Your eyes whispered, ""Have we met?""","Verse 2","Taylor Swift"
9,"Across the room, your silhouette","Verse 2","Taylor Swift"
10,"Starts to make its way to me","Verse 2","Taylor Swift"
11,"The playful conversation starts","Verse 2","Taylor Swift"
12,"Counter all your quick remarks","Verse 2","Taylor Swift"
13,"Like passing notes in secrecy","Verse 2","Taylor Swift"
14,"And it was enchanting to meet you","Verse 2","Taylor Swift"
15,"All I can say is I was enchanted to meet you","Verse 2","Taylor Swift"
16,"This night is sparklin', don't you let it go","Chorus","Taylor Swift"
17,"I'm wonderstruck, blushin' all the way home","Chorus","Taylor Swift"
18,"I'll spend forever wonderin' if you knew","Chorus","Taylor Swift"
19,"I was enchanted to meet you","Chorus","Taylor Swift"
20,"The lingering question kept me up","Verse 3","Taylor Swift"
21,"2AM, who do you love?","Verse 3","Taylor Swift"
22,"I wonder 'til I'm wide awake","Verse 3","Taylor Swift"
23,"And now, I'm pacing back and forth","Verse 3","Taylor Swift"
24,"Wishing you were at my door","Verse 3","Taylor Swift"
25,"I'd open up and you would say","Verse 3","Taylor Swift"
26,"""Hey, it was enchanting to meet you""","Verse 3","Taylor Swift"
27,"All I know is I was enchanted to meet you","Verse 3","Taylor Swift"
28,"This night is sparklin', don't you let it go","Chorus","Taylor Swift"
29,"I'm wonderstruck, blushin' all the way home","Chorus","Taylor Swift"
30,"I'll spend forever wonderin' if you knew","Chorus","Taylor Swift"
31,"This night is flawless, don't you let it go","Chorus","Taylor Swift"
32,"I'm wonderstruck, dancing around all alone","Chorus","Taylor Swift"
33,"I'll spend forever wonderin' if you knew","Chorus","Taylor Swift"
34,"I was enchanted to meet you","Chorus","Taylor Swift"
35,"This is me praying that","Bridge","Taylor Swift"
36,"This was the very first page","Bridge","Taylor Swift"
37,"Not where the storyline ends","Bridge","Taylor Swift"
38,"My thoughts will echo your name","Bridge","Taylor Swift"
39,"Until I see you again","Bridge","Taylor Swift"
40,"These are the words I held back","Bridge","Taylor Swift"
41,"As I was leaving too soon","Bridge","Taylor Swift"
42,"I was enchanted to meet you","Bridge","Taylor Swift"
43,"Please, don't be in love with someone else","Bridge","Taylor Swift"
44,"Please, don't have somebody waitin' on you","Bridge","Taylor Swift"
45,"Please, don't be in love with someone else (Ooh)","Bridge","Taylor Swift"
46,"Please, don't have somebody waitin' on you (Oh-oh)","Bridge","Taylor Swift"
47,"This night is sparklin', don't you let it go","Chorus","Taylor Swift"
48,"I'm wonderstruck, blushin' all the way home","Chorus","Taylor Swift"
49,"I'll spend forever wonderin' if you knew","Chorus","Taylor Swift"
50,"This night is flawless (Please, don't be in love with someone else)","Chorus","Taylor Swift"
51,"Don't you let it go","Chorus","Taylor Swift"
52,"I'm wonderstruck (Please, don't have somebody waitin' on you)","Chorus","Taylor Swift"
53,"Dancing around all alone","Chorus","Taylor Swift"
54,"I'll spend forever (Please, don't be in love with someone else)","Chorus","Taylor Swift"
55,"Wonderin' if you knew","Chorus","Taylor Swift"
56,"I was enchanted to meet you","Chorus","Taylor Swift"
57,"Please, don't be in love with someone else","Outro","Taylor Swift"
58,"Please, don't have somebody waitin' on you","Outro","Taylor Swift"
