"line","lyric","element","element_artist"
1,"I wanna be your end game","Chorus","Taylor Swift"
2,"I wanna be your first string","Chorus","Taylor Swift"
3,"I wanna be your A-Team (Whoa, whoa, whoa)","Chorus","Taylor Swift"
4,"I wanna be your end game, end game","Chorus","Taylor Swift"
5,"Big reputation, big reputation","Post-Chorus","Taylor Swift"
6,"Ooh, you and me, we got big reputations, ah","Post-Chorus","Taylor Swift"
7,"And you heard about me, ooh","Post-Chorus","Taylor Swift"
8,"I got some big enemies (Yeah)","Post-Chorus","Taylor Swift"
9,"Big reputation, big reputation","Post-Chorus","Taylor Swift"
10,"Ooh, you and me would be a big conversation, ah (Git, git)","Post-Chorus","Taylor Swift"
11,"And I heard about you, ooh (Yeah)","Post-Chorus","Taylor Swift"
12,"You like the bad ones, too","Post-Chorus","Taylor Swift"
13,"You so dope, don't overdose, I'm so stoked, I need a toast","Verse 1","Taylor Swift"
14,"We do the most, I'm in the Ghost like I'm whippin' a boat","Verse 1","Taylor Swift"
15,"I got a reputation, girl that don't precede me (Yeah)","Verse 1","Taylor Swift"
16,"I'm one call away whenever you need me (Yeah)","Verse 1","Taylor Swift"
17,"I'm in a G5 (Yeah), come to the A-Side (Yeah)","Verse 1","Taylor Swift"
18,"I got a bad boy persona, that's what they like (What they like)","Verse 1","Taylor Swift"
19,"You love it, I love it too 'cause you my type (You my type)","Verse 1","Taylor Swift"
20,"You hold me down and I protect you with my life","Verse 1","Taylor Swift"
21,"I don't wanna touch you, I don't wanna be","Pre-Chorus","Taylor Swift"
22,"Just another ex-love you don't wanna see","Pre-Chorus","Taylor Swift"
23,"I don't wanna miss you (I don't wanna miss you)","Pre-Chorus","Taylor Swift"
24,"Like the other girls do","Pre-Chorus","Taylor Swift"
25,"I don't wanna hurt you, I just wanna be","Pre-Chorus","Taylor Swift"
26,"Drinking on a beach with you all over me","Pre-Chorus","Taylor Swift"
27,"I know what they all say (I know what they all say)","Pre-Chorus","Taylor Swift"
28,"But I ain't tryna play","Pre-Chorus","Taylor Swift"
29,"I wanna be your end game (End game)","Chorus","Taylor Swift"
30,"I wanna be your first string (First string)","Chorus","Taylor Swift"
31,"I wanna be your A-Team (A-Team)","Chorus","Taylor Swift"
32,"I wanna be your end game, end game","Chorus","Taylor Swift"
33,"Knew her when I was young, reconnected when we were little bit older","Verse 2","Taylor Swift"
34,"Both sprung, I got issues and chips on both of my shoulders","Verse 2","Taylor Swift"
35,"Reputation precedes me, in rumors, I'm knee-deep","Verse 2","Taylor Swift"
36,"The truth is, it's easier to ignore it, believe me","Verse 2","Taylor Swift"
37,"Even when we'd argue, we'd not do it for long","Verse 2","Taylor Swift"
38,"And you understand the good and bad end up in the song","Verse 2","Taylor Swift"
39,"For all your beautiful traits, and the way you do it with ease","Verse 2","Taylor Swift"
40,"For all my flaws, paranoia, and insecurities","Verse 2","Taylor Swift"
41,"I've made mistakes and made some choices, that's hard to deny","Verse 2","Taylor Swift"
42,"After the storm, something was born on the 4th of July","Verse 2","Taylor Swift"
43,"I've passed days without fun, this end game is the one","Verse 2","Taylor Swift"
44,"With four words on the tip of my tongue, I'll never say it","Verse 2","Taylor Swift"
45,"I don't wanna touch you, I don't wanna be","Pre-Chorus","Taylor Swift"
46,"Just another ex-love you don't wanna see","Pre-Chorus","Taylor Swift"
47,"I don't wanna miss you (I don't wanna miss you)","Pre-Chorus","Taylor Swift"
48,"Like the other girls do","Pre-Chorus","Taylor Swift"
49,"I don't wanna hurt you, I just wanna be","Pre-Chorus","Taylor Swift"
50,"Drinking on a beach with you all over me","Pre-Chorus","Taylor Swift"
51,"I know what they all say, yeah","Pre-Chorus","Taylor Swift"
52,"But I ain't tryna play","Pre-Chorus","Taylor Swift"
53,"I wanna be your end game (End game)","Chorus","Taylor Swift"
54,"I wanna be your first string (Wanna be your first string)","Chorus","Taylor Swift"
55,"I wanna be your A-Team (A-Team)","Chorus","Taylor Swift"
56,"I wanna be your end game, end game","Chorus","Taylor Swift"
57,"Big reputation, big reputation","Post-Chorus","Taylor Swift"
58,"Ooh, you and me, we got big reputations, ah","Post-Chorus","Taylor Swift"
59,"And you heard about me, ooh","Post-Chorus","Taylor Swift"
60,"I got some big enemies","Post-Chorus","Taylor Swift"
61,"Hey, big reputation, big reputation","Post-Chorus","Taylor Swift"
62,"Ooh, you and me would be a big conversation, ah","Post-Chorus","Taylor Swift"
63,"And I heard about you, ooh","Post-Chorus","Taylor Swift"
64,"You like the bad ones, too","Post-Chorus","Taylor Swift"
65,"I hit you like bang, we tried to forget it, but we just couldn't","Verse 3","Taylor Swift"
66,"And I bury hatchets, but I keep maps of where I put 'em","Verse 3","Taylor Swift"
67,"Reputation precedes me, they told you I'm crazy","Verse 3","Taylor Swift"
68,"I swear I don't love the drama, it loves me","Verse 3","Taylor Swift"
69,"And I can't let you go, your hand prints on my soul","Verse 3","Taylor Swift"
70,"It's like your eyes are liquor, it's like your body is gold","Verse 3","Taylor Swift"
71,"You've been calling my bluff on all my usual tricks","Verse 3","Taylor Swift"
