"line","lyric","element","element_artist"
1,"(You good to go?)","Intro","Taylor Swift"
2,"All I knew this morning when I woke","Verse 1","Taylor Swift"
3,"Is I know something now","Verse 1","Taylor Swift"
4,"Know something now I didn't before","Verse 1","Taylor Swift"
5,"And all I've seen since 18 hours ago","Verse 1","Taylor Swift"
6,"Is green eyes and freckles and your smile","Verse 1","Taylor Swift"
7,"In the back of my mind, making me feel like","Verse 1","Taylor Swift"
8,"I just wanna know you better","Pre-Chorus","Taylor Swift"
9,"Know you better, know you better now","Pre-Chorus","Taylor Swift"
10,"I just wanna know you better","Pre-Chorus","Taylor Swift"
11,"Know you better, know you better now","Pre-Chorus","Taylor Swift"
12,"I just wanna know you better","Pre-Chorus","Taylor Swift"
13,"Know you better, know you better now","Pre-Chorus","Taylor Swift"
14,"I just wanna know you, know you, know you","Pre-Chorus","Taylor Swift"
15,"'Cause all I know is we said, ""Hello""","Chorus","Taylor Swift"
16,"And your eyes look like coming home","Chorus","Taylor Swift"
17,"All I know is a simple name","Chorus","Taylor Swift"
18,"Everything has changed","Chorus","Taylor Swift"
19,"All I know is you held the door","Chorus","Taylor Swift"
20,"You'll be mine and I'll be yours","Chorus","Taylor Swift"
21,"All I know since yesterday","Chorus","Taylor Swift"
22,"Is everything has changed","Chorus","Taylor Swift"
23,"And all my walls stood tall, painted blue","Verse 2","Taylor Swift"
24,"And I'll take 'em down, take 'em down","Verse 2","Taylor Swift"
25,"And open up the door for you","Verse 2","Taylor Swift"
26,"And all I feel in my stomach is butterflies","Verse 2","Taylor Swift"
27,"The beautiful kind, making up for lost time","Verse 2","Taylor Swift"
28,"Taking flight, making me feel right","Verse 2","Taylor Swift"
29,"I just wanna know you better","Pre-Chorus","Taylor Swift"
30,"Know you better, know you better now","Pre-Chorus","Taylor Swift"
31,"I just wanna know you better","Pre-Chorus","Taylor Swift"
32,"Know you better, know you better now","Pre-Chorus","Taylor Swift"
33,"I just wanna know you better","Pre-Chorus","Taylor Swift"
34,"Know you better, know you better now","Pre-Chorus","Taylor Swift"
35,"I just wanna know you, know you, know you","Pre-Chorus","Taylor Swift"
36,"'Cause all I know is we said, ""Hello""","Chorus","Taylor Swift"
37,"And your eyes look like coming home","Chorus","Taylor Swift"
38,"All I know is a simple name","Chorus","Taylor Swift"
39,"Everything has changed","Chorus","Taylor Swift"
40,"All I know is you held the door","Chorus","Taylor Swift"
41,"You'll be mine and I'll be yours","Chorus","Taylor Swift"
42,"All I know since yesterday","Chorus","Taylor Swift"
43,"Is everything has changed","Chorus","Taylor Swift"
44,"Come back and tell me why","Bridge","Taylor Swift"
45,"I'm feeling like I've missed you all this time","Bridge","Taylor Swift"
46,"And meet me there tonight","Bridge","Taylor Swift"
47,"And let me know that it's not all in my mind","Bridge","Taylor Swift"
48,"I just wanna know you better","Pre-Chorus","Taylor Swift"
49,"Know you better, know you better now","Pre-Chorus","Taylor Swift"
50,"I just wanna know you, know you, know you","Pre-Chorus","Taylor Swift"
51,"'Cause all I know is we said, ""Hello""","Chorus","Taylor Swift"
52,"And your eyes look like coming home","Chorus","Taylor Swift"
53,"All I know is a simple name","Chorus","Taylor Swift"
54,"Everything has changed","Chorus","Taylor Swift"
55,"All I know is you held the door","Chorus","Taylor Swift"
56,"You'll be mine and I'll be yours","Chorus","Taylor Swift"
57,"All I know since yesterday","Chorus","Taylor Swift"
58,"Is everything has changed","Chorus","Taylor Swift"
59,"All I know is we said, ""Hello""","Outro","Taylor Swift"
60,"So dust off your highest hopes","Outro","Taylor Swift"
61,"All I know is pouring rain","Outro","Taylor Swift"
62,"And everything has changed","Outro","Taylor Swift"
63,"All I know is a new found grace","Outro","Taylor Swift"
64,"All my days, I'll know your face","Outro","Taylor Swift"
65,"All I know since yesterday","Outro","Taylor Swift"
66,"Is everything has changed","Outro","Taylor Swift"
