"line","lyric","element","element_artist"
1,"Everybody's waiting","Chorus","Taylor Swift"
2,"Everybody's watching","Chorus","Taylor Swift"
3,"Even when you're sleeping","Chorus","Taylor Swift"
4,"Keep your ey-eyes open","Chorus","Taylor Swift"
5,"The tricky thing","Verse 1","Taylor Swift"
6,"Is yesterday we were just children","Verse 1","Taylor Swift"
7,"Playing soldiers","Verse 1","Taylor Swift"
8,"Just pretending","Verse 1","Taylor Swift"
9,"Dreaming dreams with happy endings","Verse 1","Taylor Swift"
10,"In backyards, winning battles with our wooden swords","Verse 1","Taylor Swift"
11,"But now we've stepped into a cruel world","Verse 1","Taylor Swift"
12,"Where everybody stands and keeps score","Verse 1","Taylor Swift"
13,"Keep your eyes open","Verse 1","Taylor Swift"
14,"Everybody's waiting for you to break down","Chorus","Taylor Swift"
15,"Everybody's watching to see the fallout","Chorus","Taylor Swift"
16,"Even when you're sleeping, sleeping","Chorus","Taylor Swift"
17,"Keep your ey-eyes open","Chorus","Taylor Swift"
18,"Keep your ey-eyes open","Chorus","Taylor Swift"
19,"Keep your ey-eyes open","Chorus","Taylor Swift"
20,"So here you are, two steps ahead and staying on guard","Verse 2","Taylor Swift"
21,"Every lesson forms a new scar","Verse 2","Taylor Swift"
22,"They never thought you'd make it this far","Verse 2","Taylor Swift"
23,"But turn around (turn around)","Verse 2","Taylor Swift"
24,"Oh, they've surrounded you","Verse 2","Taylor Swift"
25,"It's a showdown (showdown)","Verse 2","Taylor Swift"
26,"And nobody comes to save you now","Verse 2","Taylor Swift"
27,"But you've got something they don't","Verse 2","Taylor Swift"
28,"Yeah you've got something they don't","Verse 2","Taylor Swift"
29,"You've just got to keep your eyes open","Verse 2","Taylor Swift"
30,"Everybody's waiting for you to break down","Chorus","Taylor Swift"
31,"Everybody's watching to see the fallout","Chorus","Taylor Swift"
32,"Even when you're sleeping, sleeping","Chorus","Taylor Swift"
33,"Keep your ey-eyes open","Chorus","Taylor Swift"
34,"Keep your ey-eyes open","Chorus","Taylor Swift"
35,"Keep your ey-eyes","Chorus","Taylor Swift"
36,"Keep your feet ready","Bridge","Taylor Swift"
37,"Heartbeat steady","Bridge","Taylor Swift"
38,"Keep your eyes open","Bridge","Taylor Swift"
39,"Keep your aim locked","Bridge","Taylor Swift"
40,"The night goes dark","Bridge","Taylor Swift"
41,"Keep your eyes open","Bridge","Taylor Swift"
42,"(Keep your eyes open)","Bridge","Taylor Swift"
43,"Keep your eyes open","Bridge","Taylor Swift"
44,"Keep your eyes open","Bridge","Taylor Swift"
45,"Keep your eyes open","Bridge","Taylor Swift"
46,"Everybody's waiting for you to break down","Chorus","Taylor Swift"
47,"Everybody's watching to see the fallout","Chorus","Taylor Swift"
48,"Even when you're sleeping, sleeping","Chorus","Taylor Swift"
49,"Keep your ey-eyes open","Outro","Taylor Swift"
50,"Keep your ey-eyes open","Outro","Taylor Swift"
51,"Keep your ey-eyes open","Outro","Taylor Swift"
52,"Keep your ey-eyes open","Outro","Taylor Swift"
53,"Keep your ey-eyes open","Outro","Taylor Swift"
